"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"acquia_search/config/optional/views.view.acquia_search.yml:0","'- All -'","'- Alle -'","",FALSE,"","",""
"acquia_connector.module:75","<a href=""@network-url"">Acquia Subscription</a> (inactive)","","",FALSE,"","",""
"src/Controller/TestStatusController.php:48","<em>Custom test validation failed</em>: @message for parameter '@param_name'; current value '@value'. (<em>Test '@test_name' in module '@module_name'</em>)","","",FALSE,"","",""
"src/Form/SpiChangeForm.php:39","<h2>No changes detected</h2><p>This form is used to address changes in your site's environment. No changes are currently detected.</p>","","",FALSE,"","",""
"src/Form/SettingsForm.php:127","<h3>Connected to Acquia</h3>","","",FALSE,"","",""
"src/Form/SetupForm.php:214","<h3>Connection successful!</h3>You are now connected to Acquia Cloud. Please enter a name for your site to begin sending profile data.","","",FALSE,"","",""
"src/Form/SpiChangeForm.php:58","<strong>The following changes have been detected in your site environment:</strong>","","",FALSE,"","",""
"src/Commands/AcquiaConnectorCommands.php:143","'@fail_count module(s) failed validation: @failures.'","","",FALSE,"","",""
"src/Commands/AcquiaConnectorCommands.php:137","'@pass_count module(s) passed validation: @passes.'","","",FALSE,"","",""
"acquia_connector.install:88","A change in your site's environment has been detected. SPI data cannot be submitted until this is resolved. Please <a href="":config-page"">confirm the action you wish to take</a>.","","",FALSE,"","",""
"acquia_connector.module:298;299","A new invocation of hook_acquia_connector_spi_test() has been detected in @module.","","",FALSE,"","",""
"src/Controller/StartController.php:38","A suite of products and services to create & maintain killer web experiences built on Drupal","","",FALSE,"","",""
"acquia_search/src/Plugin/SolrConnector/SearchApiSolrAcquiaConnector.php:17","Acquia","","",FALSE,"","",""
"acquia_connector.info.yml:0","Acquia Connector","","",FALSE,"","",""
"acquia_connector.links.menu.yml:0","Acquia Connector settings","","",FALSE,"","",""
"acquia_connector.module:41","Acquia Insight supports custom tests for your site. See <strong>acquia_connector.api.php</strong> for information on the custom test hook and validate your tests for inclusion in outgoing SPI data with the Drush command, <strong>spi-test-validate</strong>.","","",FALSE,"","",""
"acquia_connector.routing.yml:0","Acquia SPI Custom Test Validation","","",FALSE,"","",""
"acquia_connector.module:40","Acquia SPI Custom Tests","","",FALSE,"","",""
"acquia_connector.routing.yml:0","Acquia SPI Environment Change Actions","","",FALSE,"","",""
"acquia_connector.routing.yml:0","Acquia SPI send","","",FALSE,"","",""
"config/schema/acquia_connector.schema.yml:0","Acquia SPI server","","",FALSE,"","",""
"acquia_search/config/optional/views.view.acquia_search.yml:0","Acquia Search","","",FALSE,"","",""
"acquia_search/config/optional/views.view.acquia_search.yml:0","Acquia Search Page","","",FALSE,"","",""
