"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Element/ZoneTerritory.php:206","'- All -'","'- Alle -'","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:169;203","'- No override -'","'- Keine Übersteuerung -'","",FALSE,"","",""
"src/Plugin/Validation/Constraint/AddressFormatConstraint.php:37","'@name field is not in the right format.'","","",FALSE,"","",""
"src/Plugin/Validation/Constraint/AddressFormatConstraint.php:30","'@name field is required.'","Das Feld @name ist erforderlich.","",FALSE,"","",""
"src/Plugin/Validation/Constraint/AddressFormatConstraint.php:23","'@name field must be blank.'","Das Feld @name muss leer sein.","",FALSE,"","",""
"src/Plugin/views/filter/AdministrativeArea.php:143","A predefined country code","","",FALSE,"","",""
"src/Element/ZoneTerritory.php:252;264","A regular expression (""/(35|38)[0-9]{3}/"") or comma-separated list, including ranges (""98, 100:200"")","","",FALSE,"","",""
"src/Element/Zone.php:174","Add territory","Gebiet hinzufügen","",FALSE,"","",""
"config/schema/address.schema.yml:0","Additional name","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/AddressDefaultWidget.php:18","Address","Adresse","",FALSE,"","",""
"src/Plugin/diff/Field/AddressFieldBuilder.php:8","Address Field Diff","","",FALSE,"","",""
"src/Plugin/Validation/Constraint/AddressFormatConstraint.php:7","Address Format","","",FALSE,"Validation","",""
"config/schema/address.schema.yml:0","Address field settings","","",FALSE,"","",""
"src/LabelHelper.php:31","Address line 1","","",FALSE,"Address label","",""
"src/LabelHelper.php:32","Address line 2","","",FALSE,"Address label","",""
"address.install:22","Address requires the commerceguys/addressing library.","","",FALSE,"","",""
"config/schema/address.schema.yml:0;0;0","Administrative area","Verwaltungsbereich","",FALSE,"","",""
"src/LabelHelper.php:37","Administrative area (e.g. State or Province)","","",FALSE,"Address label","",""
"src/Plugin/Field/FieldType/CountryItem.php:10","An entity field containing a country","","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:16","An entity field containing a postal address","","",FALSE,"","",""
"src/Plugin/Field/FieldType/ZoneItem.php:11","An entity field containing a zone","","",FALSE,"","",""
"src/LabelHelper.php:104","Area","","",FALSE,"Address label","",""
"src/Plugin/Field/FieldType/AvailableCountriesTrait.php:48","Available countries","Verfügbare Länder","",FALSE,"","",""
"src/LabelHelper.php:105","Canton","","",FALSE,"Address label","",""
"src/LabelHelper.php:70","Cedex","","",FALSE,"Address label","",""
"src/LabelHelper.php:147","City","Stadt","",FALSE,"Address label","",""
"src/LabelHelper.php:30;64","Company","Firma","",FALSE,"Address label","",""
"src/Plugin/Field/FieldWidget/CountryDefaultWidget.php:14","Country","Land","",FALSE,"","",""
"src/Plugin/Validation/Constraint/CountryConstraint.php:7","Country","Land","",FALSE,"Validation","",""
"src/Plugin/views/sort/Country.php:127","Country code","Länderkennung","",FALSE,"","",""
"src/Plugin/views/filter/AdministrativeArea.php:164","Country contextual filter","","",FALSE,"","",""
"config/schema/address.schema.yml:0","Country contextual filter ID","","",FALSE,"","",""
"config/schema/address.schema.yml:0","Country field settings","","",FALSE,"","",""
"src/Plugin/views/sort/Country.php:126","Country name","","",FALSE,"","",""
"src/Plugin/views/filter/AdministrativeArea.php:141","Country source","","",FALSE,"","",""
"src/LabelHelper.php:106","County","","",FALSE,"Address label","",""
"src/Plugin/Field/FieldFormatter/ZoneDefaultFormatter.php:18","Default","Standard","",FALSE,"","",""
"config/schema/address.schema.yml:0","Default address widget settings","","",FALSE,"","",""
"config/schema/address.schema.yml:0","Default country","","",FALSE,"","",""
"config/schema/address.schema.yml:0;0","Default value","Standardwert","",FALSE,"","",""
"config/schema/address.schema.yml:0","Default zone widget settings","","",FALSE,"","",""
"src/LabelHelper.php:107","Department","","",FALSE,"Address label","",""
"config/schema/address.schema.yml:0;0","Dependent locality","Zugehöriger Ort","",FALSE,"","",""
"src/LabelHelper.php:35","Dependent locality (e.g. Neighbourhood)","","",FALSE,"Address label","",""
"src/Plugin/views/field/Country.php:73","Display the country name instead of the country code","","",FALSE,"","",""
"src/Plugin/views/field/Subdivision.php:74","Display the subdivision name instead of the subdivision code","","",FALSE,"","",""
"src/LabelHelper.php:108;148;181","District","","",FALSE,"Address label","",""
"src/LabelHelper.php:109","Do si","","",FALSE,"Address label","",""
"src/Plugin/views/filter/AdministrativeArea.php:243","Dynamic (an appropriate label will be set based on the active country)","","",FALSE,"","",""
"src/LabelHelper.php:216","Eircode","","",FALSE,"Address label","",""
"src/LabelHelper.php:110","Emirate","","",FALSE,"Address label","",""
"src/Plugin/Field/FieldType/AddressItem.php:166","Ensures entered addresses are always formatted in the same language.","Stellt sicher, dass eingegebene Adressen immer in der gleichen Sprache formatiert werden.","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/ZoneDefaultFormatter.php:232","Excluded postal codes","","",FALSE,"","",""
"config/schema/address.schema.yml:0","Exposed country filter ID","","",FALSE,"","",""
"src/Plugin/views/filter/AdministrativeArea.php:197","Exposed country filter to determine values","","",FALSE,"","",""
"config/schema/address.schema.yml:0","Family name","Nachname","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:175","Field overrides","Feldübersteuerungen","",FALSE,"","",""
"address.info.yml:0","Field types","Feldtypen","",FALSE,"","",""
"config/schema/address.schema.yml:0","First line of the address block","","",FALSE,"","",""
"src/LabelHelper.php:27;61","First name","","",FALSE,"Address label","",""
"config/schema/address.schema.yml:0","Given name","Vorname","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/ZoneDefaultWidget.php:54","Hidden","Verborgen","",FALSE,"","",""
"src/Plugin/Field/FieldType/AvailableCountriesTrait.php:49","If no countries are selected, all countries will be available.","Wenn keine Länder ausgewählt sind, stehen alle Länder zur Verfügung.","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/ZoneDefaultFormatter.php:222","Included postal codes","","",FALSE,"","",""
"src/LabelHelper.php:111","Island","","",FALSE,"Address label","",""
"config/schema/address.schema.yml:0","Label","","",FALSE,"","",""
"src/Plugin/views/filter/AdministrativeArea.php:240","Label type","Beschriftungstyp","",FALSE,"","",""
"config/schema/address.schema.yml:0","Language code","Sprachkürzel","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:165","Language override","Sprache übersteuern","",FALSE,"","",""
"src/LabelHelper.php:29;63","Last name","","",FALSE,"Address label","",""
"src/Element/ZoneTerritory.php:242","Limit by postal code","Anhand der Postleitzahl begrenzen","",FALSE,"","",""
"config/schema/address.schema.yml:0;0","Locality","Ort","",FALSE,"","",""
"src/LabelHelper.php:36","Locality (e.g. City)","","",FALSE,"Address label","",""
"src/LabelHelper.php:28;62","Middle name","","",FALSE,"Address label","",""
"src/LabelHelper.php:182","Neighborhood","","",FALSE,"Address label","",""
"src/LabelHelper.php:112","Oblast","","",FALSE,"Address label","",""
"src/Element/Zone.php:143","Operations","Durchführungen","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:199","Optional","","",FALSE,"","",""
"config/schema/address.schema.yml:0","Organization","Organisation","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:182","Override","Übersteuern","",FALSE,"","",""
"src/LabelHelper.php:113","Parish","","",FALSE,"Address label","",""
"src/LabelHelper.php:217","Pin code","","",FALSE,"Address label","",""
"src/Plugin/Field/FieldFormatter/AddressPlainFormatter.php:19","Plain","Einfach","",FALSE,"","",""
"src/Element/Zone.php:210","Please add at least one territory.","Mindestens ein Gebiet muss definiert werden.","",FALSE,"","",""
"src/LabelHelper.php:149","Post town","","",FALSE,"Address label","",""
"config/schema/address.schema.yml:0","Postal code","Postleitzahl","",FALSE,"","",""
"src/LabelHelper.php:33;218","Postal code","Postleitzahl","",FALSE,"Address label","",""
"src/Plugin/views/filter/AdministrativeArea.php:222","Predefined country for administrative areas","","",FALSE,"","",""
"src/LabelHelper.php:114","Prefecture","","",FALSE,"Address label","",""
"src/Plugin/Field/FieldType/AddressItem.php:181","Property","","",FALSE,"","",""
"address.info.yml:0","Provides functionality for handling postal addresses.","","",FALSE,"","",""
"src/LabelHelper.php:115","Province","","",FALSE,"Address label","",""
"src/Element/Zone.php:160","Remove","Entferne","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:200","Required","Erforderlich","",FALSE,"","",""
"config/schema/address.schema.yml:0","Second line of the address block","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/ZoneDefaultWidget.php:41","Show the zone label field","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/ZoneDefaultWidget.php:54","Shown","Angezeigt","",FALSE,"","",""
"src/Plugin/views/sort/Country.php:124","Sort by","Sortieren nach","",FALSE,"","",""
"config/schema/address.schema.yml:0","Sorting code","","",FALSE,"","",""
"src/LabelHelper.php:34","Sorting code","","",FALSE,"Address label","",""
"src/LabelHelper.php:116","State","","",FALSE,"Address label","",""
"src/Plugin/views/filter/AdministrativeArea.php:242","Static","Statisch","",FALSE,"","",""
"src/LabelHelper.php:65","Street address","Adresse","",FALSE,"Address label","",""
"src/LabelHelper.php:67","Street address line 2","Adresszusatz","",FALSE,"Address label","",""
"config/schema/address.schema.yml:0","Subdivision","","",FALSE,"","",""
"src/LabelHelper.php:150;184","Suburb","","",FALSE,"Address label","",""
"config/schema/address.schema.yml:0","Territories","","",FALSE,"","",""
"src/Element/Zone.php:142","Territory","Gebiet","",FALSE,"","",""
"src/Plugin/views/filter/AdministrativeArea.php:300","The  source for the country must be defined for this filter to work.","","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:130","The additional name","","",FALSE,"","",""
"src/Plugin/Validation/Constraint/CountryConstraint.php:36","The country %value is not available.","Das Land %value ist nicht verfügbar.","",FALSE,"","",""
"src/Plugin/Validation/Constraint/CountryConstraint.php:29","The country %value is not valid.","Das Land %value ist nicht gültig.","",FALSE,"","",""
"src/Plugin/views/filter/AdministrativeArea.php:270","The country contextual filter must be defined for this filter to work using 'contextual filter' for the 'Country source'.","","",FALSE,"","",""
"src/Plugin/views/filter/AdministrativeArea.php:282","The country filter must be defined for this filter to work using 'exposed filter' for the 'Country source'.","","",FALSE,"","",""
"address.tokens.inc:38","The country name","Name des Landes","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:116","The dependent locality (i.e. neighbourhood)","","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:132","The family name","","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:122","The first line of the address block","","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:128","The given name","","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:108","The language code","","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:114","The locality (i.e. city)","","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:126","The organization","","",FALSE,"","",""
"src/Plugin/Field/FieldType/AddressItem.php:118","The postal code","","",FALSE,"","",""
