"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Element/ZoneTerritory.php:206","'- All -'","'- Alle -'","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:169;203","'- No override -'","'- Keine Übersteuerung -'","","False","","",""
"src/Plugin/Validation/Constraint/AddressFormatConstraint.php:37","'@name field is not in the right format.'","","","False","","",""
"src/Plugin/Validation/Constraint/AddressFormatConstraint.php:30","'@name field is required.'","Das Feld @name ist erforderlich.","","False","","",""
"src/Plugin/Validation/Constraint/AddressFormatConstraint.php:23","'@name field must be blank.'","Das Feld @name muss leer sein.","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:143","A predefined country code","","","False","","",""
"src/Element/ZoneTerritory.php:252;264","A regular expression (""/(35|38)[0-9]{3}/"") or comma-separated list, including ranges (""98, 100:200"")","","","False","","",""
"src/Element/Zone.php:174","Add territory","Gebiet hinzufügen","","False","","",""
"config/schema/address.schema.yml:0","Additional name","","","False","","",""
"src/Plugin/Field/FieldWidget/AddressDefaultWidget.php:18","Address","Adresse","","False","","",""
"src/Plugin/diff/Field/AddressFieldBuilder.php:8","Address Field Diff","","","False","","",""
"src/Plugin/Validation/Constraint/AddressFormatConstraint.php:7","Address Format","","","False","Validation","",""
"config/schema/address.schema.yml:0","Address field settings","","","False","","",""
"src/LabelHelper.php:31","Address line 1","","","False","Address label","",""
"src/LabelHelper.php:32","Address line 2","","","False","Address label","",""
"address.install:22","Address requires the commerceguys/addressing library.","","","False","","",""
"config/schema/address.schema.yml:0;0;0","Administrative area","Verwaltungsbereich","","False","","",""
"src/LabelHelper.php:37","Administrative area (e.g. State or Province)","","","False","Address label","",""
"src/Plugin/Field/FieldType/CountryItem.php:10","An entity field containing a country","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:16","An entity field containing a postal address","","","False","","",""
"src/Plugin/Field/FieldType/ZoneItem.php:11","An entity field containing a zone","","","False","","",""
"src/LabelHelper.php:104","Area","","","False","Address label","",""
"src/Plugin/Field/FieldType/AvailableCountriesTrait.php:48","Available countries","Verfügbare Länder","","False","","",""
"src/LabelHelper.php:105","Canton","","","False","Address label","",""
"src/LabelHelper.php:70","Cedex","","","False","Address label","",""
"src/LabelHelper.php:147","City","Stadt","","False","Address label","",""
"src/LabelHelper.php:30;64","Company","Firma","","False","Address label","",""
"src/Plugin/Field/FieldWidget/CountryDefaultWidget.php:14","Country","Land","","False","","",""
"src/Plugin/Validation/Constraint/CountryConstraint.php:7","Country","Land","","False","Validation","",""
"src/Plugin/views/sort/Country.php:127","Country code","Länderkennung","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:164","Country contextual filter","","","False","","",""
"config/schema/address.schema.yml:0","Country contextual filter ID","","","False","","",""
"config/schema/address.schema.yml:0","Country field settings","","","False","","",""
"src/Plugin/views/sort/Country.php:126","Country name","","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:141","Country source","","","False","","",""
"src/LabelHelper.php:106","County","","","False","Address label","",""
"src/Plugin/Field/FieldFormatter/ZoneDefaultFormatter.php:18","Default","Standard","","False","","",""
"config/schema/address.schema.yml:0","Default address widget settings","","","False","","",""
"config/schema/address.schema.yml:0","Default country","","","False","","",""
"config/schema/address.schema.yml:0;0","Default value","Standardwert","","False","","",""
"config/schema/address.schema.yml:0","Default zone widget settings","","","False","","",""
"src/LabelHelper.php:107","Department","","","False","Address label","",""
"config/schema/address.schema.yml:0;0","Dependent locality","Zugehöriger Ort","","False","","",""
"src/LabelHelper.php:35","Dependent locality (e.g. Neighbourhood)","","","False","Address label","",""
"src/Plugin/views/field/Country.php:73","Display the country name instead of the country code","","","False","","",""
"src/Plugin/views/field/Subdivision.php:74","Display the subdivision name instead of the subdivision code","","","False","","",""
"src/LabelHelper.php:108;148;181","District","","","False","Address label","",""
"src/LabelHelper.php:109","Do si","","","False","Address label","",""
"src/Plugin/views/filter/AdministrativeArea.php:243","Dynamic (an appropriate label will be set based on the active country)","","","False","","",""
"src/LabelHelper.php:216","Eircode","","","False","Address label","",""
"src/LabelHelper.php:110","Emirate","","","False","Address label","",""
"src/Plugin/Field/FieldType/AddressItem.php:166","Ensures entered addresses are always formatted in the same language.","Stellt sicher, dass eingegebene Adressen immer in der gleichen Sprache formatiert werden.","","False","","",""
"src/Plugin/Field/FieldFormatter/ZoneDefaultFormatter.php:232","Excluded postal codes","","","False","","",""
"config/schema/address.schema.yml:0","Exposed country filter ID","","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:197","Exposed country filter to determine values","","","False","","",""
"config/schema/address.schema.yml:0","Family name","Nachname","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:175","Field overrides","Feldübersteuerungen","","False","","",""
"address.info.yml:0","Field types","Feldtypen","","False","","",""
"config/schema/address.schema.yml:0","First line of the address block","","","False","","",""
"src/LabelHelper.php:27;61","First name","","","False","Address label","",""
"config/schema/address.schema.yml:0","Given name","Vorname","","False","","",""
"src/Plugin/Field/FieldWidget/ZoneDefaultWidget.php:54","Hidden","Verborgen","","False","","",""
"src/Plugin/Field/FieldType/AvailableCountriesTrait.php:49","If no countries are selected, all countries will be available.","Wenn keine Länder ausgewählt sind, stehen alle Länder zur Verfügung.","","False","","",""
"src/Plugin/Field/FieldFormatter/ZoneDefaultFormatter.php:222","Included postal codes","","","False","","",""
"src/LabelHelper.php:111","Island","","","False","Address label","",""
"config/schema/address.schema.yml:0","Label","","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:240","Label type","Beschriftungstyp","","False","","",""
"config/schema/address.schema.yml:0","Language code","Sprachkürzel","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:165","Language override","Sprache übersteuern","","False","","",""
"src/LabelHelper.php:29;63","Last name","","","False","Address label","",""
"src/Element/ZoneTerritory.php:242","Limit by postal code","Anhand der Postleitzahl begrenzen","","False","","",""
"config/schema/address.schema.yml:0;0","Locality","Ort","","False","","",""
"src/LabelHelper.php:36","Locality (e.g. City)","","","False","Address label","",""
"src/LabelHelper.php:28;62","Middle name","","","False","Address label","",""
"src/LabelHelper.php:182","Neighborhood","","","False","Address label","",""
"src/LabelHelper.php:112","Oblast","","","False","Address label","",""
"src/Element/Zone.php:143","Operations","Durchführungen","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:199","Optional","","","False","","",""
"config/schema/address.schema.yml:0","Organization","Organisation","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:182","Override","Übersteuern","","False","","",""
"src/LabelHelper.php:113","Parish","","","False","Address label","",""
"src/LabelHelper.php:217","Pin code","","","False","Address label","",""
"src/Plugin/Field/FieldFormatter/AddressPlainFormatter.php:19","Plain","Einfach","","False","","",""
"src/Element/Zone.php:210","Please add at least one territory.","Mindestens ein Gebiet muss definiert werden.","","False","","",""
"src/LabelHelper.php:149","Post town","","","False","Address label","",""
"config/schema/address.schema.yml:0","Postal code","Postleitzahl","","False","","",""
"src/LabelHelper.php:33;218","Postal code","Postleitzahl","","False","Address label","",""
"src/Plugin/views/filter/AdministrativeArea.php:222","Predefined country for administrative areas","","","False","","",""
"src/LabelHelper.php:114","Prefecture","","","False","Address label","",""
"src/Plugin/Field/FieldType/AddressItem.php:181","Property","","","False","","",""
"address.info.yml:0","Provides functionality for handling postal addresses.","","","False","","",""
"src/LabelHelper.php:115","Province","","","False","Address label","",""
"src/Element/Zone.php:160","Remove","Entfernen","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:200","Required","Erforderlich","","False","","",""
"config/schema/address.schema.yml:0","Second line of the address block","","","False","","",""
"src/Plugin/Field/FieldWidget/ZoneDefaultWidget.php:41","Show the zone label field","","","False","","",""
"src/Plugin/Field/FieldWidget/ZoneDefaultWidget.php:54","Shown","Angezeigt","","False","","",""
"src/Plugin/views/sort/Country.php:124","Sort by","Sortieren nach","","False","","",""
"config/schema/address.schema.yml:0","Sorting code","","","False","","",""
"src/LabelHelper.php:34","Sorting code","","","False","Address label","",""
"src/LabelHelper.php:116","State","","","False","Address label","",""
"src/Plugin/views/filter/AdministrativeArea.php:242","Static","Statisch","","False","","",""
"src/LabelHelper.php:65","Street address","Adresse","","False","Address label","",""
"src/LabelHelper.php:67","Street address line 2","Adresszusatz","","False","Address label","",""
"config/schema/address.schema.yml:0","Subdivision","","","False","","",""
"src/LabelHelper.php:150;184","Suburb","","","False","Address label","",""
"config/schema/address.schema.yml:0","Territories","","","False","","",""
"src/Element/Zone.php:142","Territory","Gebiet","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:300","The  source for the country must be defined for this filter to work.","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:130","The additional name","","","False","","",""
"src/Plugin/Validation/Constraint/CountryConstraint.php:36","The country %value is not available.","Das Land %value ist nicht verfügbar.","","False","","",""
"src/Plugin/Validation/Constraint/CountryConstraint.php:29","The country %value is not valid.","Das Land %value ist nicht gültig.","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:270","The country contextual filter must be defined for this filter to work using 'contextual filter' for the 'Country source'.","","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:282","The country filter must be defined for this filter to work using 'exposed filter' for the 'Country source'.","","","False","","",""
"address.tokens.inc:38","The country name","Name des Landes","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:116","The dependent locality (i.e. neighbourhood)","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:132","The family name","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:122","The first line of the address block","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:128","The given name","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:108","The language code","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:114","The locality (i.e. city)","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:126","The organization","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:118","The postal code","","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:294","The predefined country must be set for this filter to work.","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:124","The second line of the address block","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:120","The sorting code","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:112","The top-level administrative subdivision of the country","","","False","","",""
"src/Plugin/Field/FieldType/AddressItem.php:110","The two-letter country code","","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:144","The value of a contextual filter","Der Wert eines Kontextfilters","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:145","The value of an exposed filter","","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:274","This filter must be exposed to use a contextual filter to specify the country.","","","False","","",""
"src/Plugin/views/filter/AdministrativeArea.php:286","This filter must be exposed to use a filter to specify the country.","","","False","","",""
"src/LabelHelper.php:185","Townland","","","False","Address label","",""
"address.post_update.php:39","Updated the names and subdivisions of each address.","","","False","","",""
