"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/install/views.view.advancedqueue_jobs.yml:0","'- All -'","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","1","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","<pre>{{ payload }}</pre>","","",FALSE,"","",""
"advancedqueue.links.action.yml:0","Add queue","","",FALSE,"","",""
"advancedqueue.permissions.yml:0","Administer queues","","",FALSE,"","",""
"advancedqueue.info.yml:0","Advanced Queue","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Advanced Queue jobs","","",FALSE,"","",""
"advancedqueue.views.inc:13","Advanced queue","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","All","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Apply","","",FALSE,"","",""
"src/Form/DeleteJob.php:41","Are you sure you want to delete job @job_id from the @queue queue?","","",FALSE,"","",""
"src/Form/ReleaseJob.php:41","Are you sure you want to release job @job_id from the @queue queue?","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Asc","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0;0","Available date","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Available from","","",FALSE,"","",""
"src/Form/QueueForm.php:85","Backend","","",FALSE,"","",""
"advancedqueue.views.inc:18","Contains a list of advanced queue jobs.","","",FALSE,"","",""
"src/Commands/AdvancedQueueCommands.php:61","Could not find queue ""@queue_id"".","","",FALSE,"","",""
"src/Form/QueueForm.php:115","Cron","","",FALSE,"","",""
"src/Form/QueueForm.php:116","Daemon (Drush / Drupal Console)","","",FALSE,"","",""
"src/Plugin/AdvancedQueue/Backend/Database.php:10","Database","","",FALSE,"","",""
"config/install/advancedqueue.advancedqueue_queue.default.yml:0","Default","","",FALSE,"","",""
"src/Plugin/views/field/Operations.php:70","Delete","","",FALSE,"","",""
"advancedqueue.routing.yml:0","Delete job","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Desc","","",FALSE,"","",""
"advancedqueue.links.task.yml:0","Edit","","",FALSE,"","",""
"advancedqueue.views.inc:159","Expire date","","",FALSE,"","",""
"src/Plugin/views/field/JobState.php:76","Failure","","",FALSE,"","",""
"src/Plugin/AdvancedQueue/Backend/BackendBase.php:103","How long a job is reserved for processing.","","",FALSE,"","",""
"src/Form/QueueForm.php:123","How long the queue is processed. 0 means ""unlimited"", and requires processing via daemon.","","",FALSE,"","",""
"config/schema/advancedqueue.schema.yml:0","Icon","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Items per page","Elemente pro Seite","",FALSE,"","",""
"src/Form/DeleteJob.php:72","Job @job_id has been deleted.","","",FALSE,"","",""
"src/Form/ReleaseJob.php:72","Job @job_id has been released.","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Job ID","","",FALSE,"","",""
"config/schema/advancedqueue.schema.yml:0","Job state","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0;0","Job type","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Jobs","","",FALSE,"","",""
"config/schema/advancedqueue.schema.yml:0","Json","","",FALSE,"","",""
"src/Form/QueueForm.php:70","Label","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Last »","","",FALSE,"","",""
"src/Plugin/AdvancedQueue/Backend/BackendBase.php:102","Lease time","","",FALSE,"","",""
"src/QueueListBuilder.php:53","List jobs","","",FALSE,"","",""
"config/schema/advancedqueue.schema.yml:0","Locked","","",FALSE,"","",""
"config/schema/advancedqueue.schema.yml:0","Machine-readable name","","",FALSE,"","",""
"advancedqueue.links.menu.yml:0","Manage your queues.","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Master","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Message","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Message: {{ message }}","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","No jobs found","","",FALSE,"","",""
"advancedqueue.views.inc:111","Number of retries","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Number of retries: {{ num_retries }}","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Offset","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Operations","","",FALSE,"","",""
"advancedqueue.info.yml:0","Other","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Page","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Payload","","",FALSE,"","",""
"advancedqueue.views.inc:23","Primary Key: Job ID.","","",FALSE,"","",""
"src/Form/QueueForm.php:113","Process the queue via:","","",FALSE,"","",""
"src/Commands/AdvancedQueueCommands.php:68","Processed @count jobs from the @queue queue in @elapsed seconds.","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Processed date","","",FALSE,"","",""
"src/Plugin/views/field/JobState.php:74","Processing","","",FALSE,"","",""
"src/Form/QueueForm.php:122","Processing time","","",FALSE,"","",""
"config/schema/advancedqueue.schema.yml:0","Processor","","",FALSE,"","",""
"advancedqueue.info.yml:0","Provides a better Queue API.","","",FALSE,"","",""
"advancedqueue.views.inc:176","Provides available operations","","",FALSE,"","",""
"src/Entity/Queue.php:10","Queue","","",FALSE,"","",""
"advancedqueue.views.inc:38","Queue ID","","",FALSE,"","",""
"src/Plugin/views/argument_validator/QueueBackend.php:8","Queue backend","","",FALSE,"","",""
"src/Plugin/views/field/JobState.php:73","Queued","","",FALSE,"","",""
"src/Entity/Queue.php:10","Queues","","",FALSE,"","",""
"src/Plugin/views/field/Operations.php:60","Release","","",FALSE,"","",""
"advancedqueue.routing.yml:0","Release job","","",FALSE,"","",""
"config/install/views.view.advancedqueue_jobs.yml:0","Reset","","",FALSE,"","",""
"src/Form/QueueForm.php:170","Saved the %label queue.","","",FALSE,"","",""
