"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"antibot.module:24","About","Info","","False","","",""
"antibot.permissions.yml:0","Access to the Antibot configurations","","","False","","",""
"antibot.permissions.yml:0","Administer antibot configuration","","","False","","",""
"antibot.links.menu.yml:0","Antibot","","","False","","",""
"antibot.module:72","Antibot (:id): :status","","","False","","",""
"src/Form/AntibotSettings.php:39","Antibot requires that a user has JavaScript enabled in order to use and submit a given form.","","","False","","",""
"antibot.routing.yml:0","Antibot settings","","","False","","",""
"config/schema/antibot.schema.yml:0","Antibot settings.","","","False","","",""
"antibot.links.menu.yml:0","Configure the settings for Antibot.","","","False","","",""
"src/Form/AntibotSettings.php:49","Display form IDs","","","False","","",""
"src/Form/AntibotSettings.php:43","Form IDs","","","False","","",""
"antibot.info.yml:0","Prevent forms from being submitted without JavaScript enabled","","","False","","",""
"config/schema/antibot.schema.yml:0","Show form IDs to admins","","","False","","",""
"antibot.info.yml:0","Spam control","","","False","","",""
"src/Form/AntibotSettings.php:45","Specify the form IDs that should be protected by Antibot. Each form ID should be on a separate line. Wildcard (*) characters can be used.","","","False","","",""
"antibot.routing.yml:0","Submission failed","","","False","","",""
"antibot.module:166","Submission failed. Please reload the page, ensure JavaScript is enabled and try again.","","","False","","",""
"config/schema/antibot.schema.yml:0","The form ID","","","False","","",""
"config/schema/antibot.schema.yml:0","The protected form IDs","","","False","","",""
"src/Form/AntibotSettings.php:51","When enabled, the form IDs of all forms on every page will be displayed to any user with permission to access these settings. Also displayed will be whether or not Antibot is enabled for each form. This should only be turned on temporarily in order to easily determine the form IDs to use.","","","False","","",""
"src/Controller/AntibotPage.php:27","You have reached this page because you submitted a form that required JavaScript to be enabled on your browser. This protection is in place to attempt to prevent automated submissions made on forms. Please return to the page that you came from and enable JavaScript on your browser before attempting to submit the form again.","","","False","","",""
"antibot.module:130","You must have JavaScript enabled to use this form.","","","False","","",""
"antibot.module:74","disabled","","","False","","",""
"antibot.module:74","enabled","","","False","","",""
