"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"captcha.module:63","""CAPTCHA"" is an acronym for ""Completely Automated Public Turing test to tell Computers and Humans Apart"". It is typically a challenge-response test to determine whether the user is human. The CAPTCHA module is a tool to fight automated submission by malicious users (spamming) of for example comments forms, user registration forms, guestbook forms, etc. You can extend the desired forms with an additional challenge, which should be easy for a human to solve correctly, but hard enough to keep automated scripts and spam bots out.","","","False","","",""
"captcha.module:605","'%form_id post blocked by CAPTCHA module: challenge %challenge (by module %module), user answered ""@response"", but the solution was ""@solution"".'","","","False","","",""
"captcha.module:536","'%form_id post blocked by CAPTCHA module: challenge %challenge (by module %module).'","","","False","","",""
"src/Form/CaptchaExamplesForm.php:93","10 more examples of this challenge.","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:208","'@level - high'","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:199","'@level - low'","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:203","'@level - medium'","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:198","'@level - no distortion'","","","False","","",""
"src/Service/CaptchaService.php:82","'@type (from module @module)'","","","False","","",""
"captcha.module:674","'@x + @y ='","","","False","","",""
"captcha.module:72","A CAPTCHA can be added to virtually each Drupal form. Some default forms are already provided in the form list, but arbitrary forms can be easily added and managed when the option <em>Add CAPTCHA administration links to forms</em> is enabled.","","","False","","",""
"captcha.module:62","About","Info","","False","","",""
"src/Form/CaptchaSettingsForm.php:130","Add CAPTCHA administration links to forms","","","False","","",""
"captcha.routing.yml:0","Add CAPTCHA point","","","False","","",""
"src/Form/CaptchaSettingsForm.php:176","Add a configurable description to explain the purpose of the CAPTCHA to the visitor.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:175","Add a description to the CAPTCHA","","","False","","",""
"captcha.links.action.yml:0","Add captcha point","","","False","","",""
"config/schema/captcha.schema.yml:0","Add captcha to all forms.","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:229","Add line noise","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:222","Add salt and pepper noise","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:164","Additional variation of text color","","","False","","",""
"captcha.permissions.yml:0","Administer CAPTCHA settings","","","False","","",""
"captcha.links.menu.yml:0","Administer how and where CAPTCHA is used.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:137","Allow CAPTCHAs and CAPTCHA administration links on administrative pages","","","False","","",""
"captcha.install:97","Already 1 blocked form submission","","","False","","",""
"src/Form/CaptchaPointForm.php:77","Also works with the base form ID.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:224","Always add a challenge.","","","False","","",""
"captcha.links.menu.yml:0","An overview of the available challenge types with examples.'","","","False","","",""
"src/Form/CaptchaPointDeleteForm.php:18","Are you sure you want to delete %name?","Möchtest du %name wirklich löschen?","","False","","",""
"src/Form/CaptchaPointDisableForm.php:18","Are you sure you want to disable the Captcha?","","","False","","",""
"src/Form/CaptchaPointEnableForm.php:18","Are you sure you want to enable the Captcha?","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:148","Background color","Hintergrundfarbe","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:289","Background color is not a valid hexadecimal color value.","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Background color randomness","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Bilinear interpolation","","","False","","",""
"captcha.info.yml:0","CAPTCHA","","","False","","",""
"config/schema/captcha.schema.yml:0","CAPTCHA Persistence","","","False","","",""
"config/schema/captcha.schema.yml:0","CAPTCHA Settings","","","False","","",""
"captcha.routing.yml:0","CAPTCHA configuration","","","False","","",""
"captcha.module:515","CAPTCHA configuration error: Contact the site administrator.","","","False","","",""
"captcha.module:516","CAPTCHA configuration error: cacheable CAPTCHA type %challenge did not provide a validation function.","","","False","","",""
"captcha.module:267","CAPTCHA disabled, Untrusted users won't see the captcha (<a href=""@settings"">general CAPTCHA settings</a>).","","","False","","",""
"captcha.routing.yml:0","CAPTCHA examples","","","False","","",""
"captcha.module:68","CAPTCHA is a trademark of Carnegie Mellon University.","","","False","","",""
"captcha.links.menu.yml:0","CAPTCHA module settings","","","False","","",""
"src/Form/CaptchaSettingsForm.php:163","CAPTCHA placement caching","","","False","","",""
"config/schema/captcha.schema.yml:0","CAPTCHA point","","","False","","",""
"src/Element/Captcha.php:192","CAPTCHA problem: unexpected result from hook_captcha() of module %module when trying to retrieve challenge type %type for form %form_id.","","","False","","",""
"captcha.module:457","CAPTCHA session reuse attack detected on @form_id <br/>Posted CAPTCHA token: @posted_captcha_token <br/>Expected captcha token: @expected_captcha_token","","","False","","",""
"captcha.routing.yml:0","CAPTCHA settings","","","False","","",""
"captcha.module:623","CAPTCHA validation error: unknown CAPTCHA session ID (%csid).","","","False","","",""
"captcha.module:622","CAPTCHA validation error: unknown CAPTCHA session ID. Contact the site administrator if this problem persists.","","","False","","",""
"captcha.module:262","CAPTCHA: challenge ""@type"" disabled","","","False","","",""
"captcha.module:262","CAPTCHA: challenge ""@type"" enabled","","","False","","",""
"captcha.module:280","CAPTCHA: no challenge enabled","","","False","","",""
"src/Entity/CaptchaPoint.php:8","Captcha Point","","","False","","",""
"src/Entity/Controller/CaptchaPointListBuilder.php:18","Captcha Point challenge type","","","False","","",""
"src/Form/CaptchaPointForm.php:113","Captcha Point for %form_id form was created.","","","False","","",""
"src/Form/CaptchaPointForm.php:118","Captcha Point for %form_id form was updated.","","","False","","",""
"src/Entity/Controller/CaptchaPointListBuilder.php:17","Captcha Point form ID","","","False","","",""
"modules/captcha_test/captcha_test.info.yml:0","Captcha Test","","","False","","",""
"config/schema/captcha.schema.yml:0","Captcha Type","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Captcha code length","","","False","","",""
"captcha.module:312","Captcha is currently disabled via settings.php.","","","False","","",""
"src/Form/CaptchaPointDeleteForm.php:40","Captcha point %label has been deleted.","","","False","","",""
"src/Form/CaptchaPointDisableForm.php:48","Captcha point %label has been disabled.","","","False","","",""
"src/Form/CaptchaPointEnableForm.php:48","Captcha point %label has been enabled.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:212","Case insensitive validation: lowercase/uppercase errors are ignored.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:211","Case sensitive validation: the response has to exactly match the solution.","","","False","","",""
"src/Form/CaptchaExamplesForm.php:87","Challenge %challenge by module %module","","","False","","",""
"src/Form/CaptchaSettingsForm.php:181","Challenge description","","","False","","",""
"src/Form/CaptchaPointForm.php:95","Challenge type","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:423","Character spacing","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:115","Characters to use in the code","","","False","","",""
"src/Form/CaptchaSettingsForm.php:168","Clear the CAPTCHA placement cache","","","False","","",""
"src/Form/CaptchaSettingsForm.php:349","Cleared the CAPTCHA placement cache.","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:120","Code length","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:110","Code settings","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:142","Color and image settings","","","False","","",""
"src/Form/CaptchaSettingsForm.php:182","Configurable description of the CAPTCHA. An empty entry will reset the description to default.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:199","Configurable error message that the user gets when it enters an incorrect CAPTCHA answer.","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:143","Configuration of the background, text colors and file format of the image CAPTCHA.","","","False","","",""
"image_captcha/image_captcha.links.menu.yml:0","Configure Image Captcha Settings.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:208","Default CAPTCHA validation","","","False","","",""
"src/Form/CaptchaSettingsForm.php:123","Default challenge on non-listed forms.","","","False","","",""
"src/Service/CaptchaService.php:49","Default challenge type","","","False","","",""
"src/Form/CaptchaSettingsForm.php:209","Define how the response should be processed by default. Note that the modules that provide the actual challenges can override or ignore this.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:229","Define if challenges should be omitted during the rest of a session once the user successfully responds to a challenge.","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:424","Define the average spacing between characters. Note that larger values make the image generation more CPU intensive.","","","False","","",""
"src/Form/CaptchaPointDeleteForm.php:32","Delete","Löschen","","False","","",""
"captcha.routing.yml:0","Delete CAPTCHA point","","","False","","",""
"src/Form/CaptchaPointDisableForm.php:39","Disable","Deaktivieren","","False","","",""
"captcha.routing.yml:0","Disable CAPTCHA point","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Distortion amplitude","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:190","Distortion and noise","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:196","Distortion level","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Dot noise","","","False","","",""
"captcha.routing.yml:0","Edit CAPTCHA point","","","False","","",""
"src/Form/CaptchaPointEnableForm.php:39","Enable","Aktivieren","","False","","",""
"src/Form/CaptchaSettingsForm.php:124","Enable CAPTCHA for every form not listed here","","","False","","",""
"captcha.routing.yml:0","Enable CAPTCHA point","","","False","","",""
"src/Form/CaptchaSettingsForm.php:235","Enable statistics","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:132","Enable this option to render the code from right to left for right to left languages.","","","False","","",""
"captcha.module:272","Enabled challenge","","","False","","",""
"image_captcha/image_captcha.module:168","Encountered an illegal byte while splitting an utf8 string in characters.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:156","Enter one per single line IP-address in format XXX.XXX.XXX.XXX, or IP-address range in format XXX.XXX.XXX.YYY-XXX.XXX.XXX.ZZZ. No spaces allowed. Your current IP address is %ip_address.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:146","Enter the IP addresses or IP address ranges you want to skip all CAPTCHAs on this site.","","","False","","",""
"image_captcha/image_captcha.module:322","Enter the characters shown in the image.","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:149","Enter the hexadecimal code for the background color (e.g. #FFF or #FFCE90). When using the PNG file format with transparent background, it is recommended to set this close to the underlying background color.","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:157","Enter the hexadecimal code for the text color (e.g. #000 or #004283).","","","False","","",""
"image_captcha/src/Controller/CaptchaImageRefresh.php:89","Error has occurred. Please contact to site administrator.","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:97","Example","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:177","File format","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Filename","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Font Size in Image Captcha","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Font filepath","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Font preview map cache","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:363","Font preview of @font (@file)","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:336","Font settings","Schriftarteinstellungen","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:403","Font size","Schriftgrösse","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:389","Fonts","Schriftart","","False","","",""
"src/Form/CaptchaSettingsForm.php:164","For efficiency, the positions of the CAPTCHA elements in each of the configured forms are cached. Most of the time, the structure of a form does not change and it would be a waste to recalculate the positions every time. Occasionally however, the form structure can change (e.g. during site building) and clearing the CAPTCHA placement cache can be required to fix the CAPTCHA placement.","","","False","","",""
"src/Form/CaptchaPointForm.php:76","Form ID","Formular-ID","","False","","",""
"src/Form/CaptchaSettingsForm.php:107","Form protection","","","False","","",""
"captcha.links.task.yml:0","Form settings","","","False","","",""
"image_captcha/src/Response/CaptchaImageResponse.php:85","Generation of image CAPTCHA failed. Check your image CAPTCHA configuration and especially the used font.","","","False","","",""
"image_captcha/image_captcha.module:399","Get new captcha!","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Hexadecimal background color code","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Hexadecimal foreground color code","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:169","High variation","","","False","","",""
"src/Form/CaptchaSettingsForm.php:279","IP address %ip_address is not valid.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:152","IP addresses list","","","False","","",""
"image_captcha/image_captcha.info.yml:0","Image CAPTCHA","","","False","","",""
"image_captcha/image_captcha.links.task.yml:0","Image Captcha","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Image Captcha settings","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:181","JPEG","","","False","","",""
"src/Form/CaptchaSettingsForm.php:236","Keep CAPTCHA related counters in the <a href="":statusreport"">status report</a>. Note that this comes with a performance penalty as updating the counters results in clearing the variable cache.","","","False","","",""
"config/schema/captcha.schema.yml:0","Label","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Line noise","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:167","Little variation","","","False","","",""
"src/Form/CaptchaSettingsForm.php:245","Log wrong responses","","","False","","",""
"modules/captcha_long_form_id_test/captcha_long_form_id_test.routing.yml:0","LongIdForm","","","False","","",""
"src/Form/CaptchaSettingsForm.php:288","Lower IP address %ip_address in range %ip_range is not valid.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:302","Lower IP can't be greater than upper IP addresses in range. Please correct range %ip_range.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:299","Lower and upper IP addresses should be different. Please correct range %ip_range.","","","False","","",""
"captcha.module:672","Math question","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:168","Medium variation","","","False","","",""
"captcha.module:303","Most CAPTCHA methods will disable the caching of pages that contain a CAPTCHA element. Check the different implementations to know more about how it affects caching.","","","False","","",""
"image_captcha/config/schema/image_captcha.settings.yml:0","Name","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:345","No TrueType support","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:166","No variation","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:236","Noise level","","","False","","",""
"captcha.module:76","Note that the CAPTCHA module disables <a href="":performancesettings"">page caching</a> of pages that include a CAPTCHA challenge.","","","False","","",""
"captcha.module:64","Note that the CAPTCHA module interacts with page caching (see <a href="":performancesettings"">performance settings</a>). Because the challenge should be unique for each generated form, the caching of the page it appears on is prevented. Make sure that these forms do not appear on too many pages or you will lose much caching efficiency. For example, if you put a CAPTCHA on the user login block, which typically appears on each page for anonymous visitors, caching will practically be disabled. The comment submission forms are another example. In this case you should set the <em>Location of comment submission form</em> to <em>Display on separate page</em> in the comment settings of the relevant <a href="":contenttypes"">content types</a> for better caching efficiency.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:225","Omit challenges in a multi-step/preview workflow once the user successfully responds to a challenge.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:226","Omit challenges on a form type once the user successfully responds to a challenge on a form of that type.","","","False","","",""
"src/Form/CaptchaSettingsForm.php:227","Omit challenges on all forms once the user successfully responds to any challenge on the site.","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:378","PHP built-in font: <img src=""@font_preview_url"" alt=""@title"" title=""@title"">","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:182","PNG","","","False","","",""
"image_captcha/src/Form/ImageCaptchaSettingsForm.php:183","PNG with transparent background","","","False","","",""
