"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"clipboardjs.info.yml:0","A modern approach to copy text to clipboard.","","","False","","",""
"clipboardjs.module:17","About","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsBase.php:43","Alert style","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsBase.php:71","Alert style: @alert_style","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsBase.php:56","Alert text","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsBase.php:74","Alert text: @alert_text","","","False","","",""
"clipboardjs.module:33;44;55;66;79","Click to copy","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJs.php:5","Clipboard","","","False","","",""
"clipboardjs.info.yml:0","Clipboard.js","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsButton.php:5","Clipboard.js Button","","","False","","",""
"config/schema/clipboardjs.schema.yml:0","Clipboard.js Button formatter settings","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsSnippet.php:5","Clipboard.js Snippet","","","False","","",""
"config/schema/clipboardjs.schema.yml:0","Clipboard.js Snippet formatter settings","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsTextarea.php:5","Clipboard.js Textarea","","","False","","",""
"config/schema/clipboardjs.schema.yml:0","Clipboard.js Textarea formatter settings","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsTextfield.php:5","Clipboard.js Textfield","","","False","","",""
"config/schema/clipboardjs.schema.yml:0","Clipboard.js Textfield formatter settings","","","False","","",""
"config/schema/clipboardjs.schema.yml:0","Clipboard.js formatter settings","","","False","","",""
"clipboardjs.info.yml:0","Content display","","","False","","",""
"clipboardjs.module:35;46;57;68;81","Copied!","","","False","","",""
"js/clipboard.js:0","Copied.","","","False","","",""
"clipboardjs.drush.inc:17","Download and install clipboard.js library.","","","False","","",""
"src/Commands/ClipboardJsCommands.php:32","Downloading library...","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsBase.php:37","Label","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsBase.php:68","Label: @label","","","False","","",""
"js/clipboard.js:0","Press Ctrl-@key to @action","","","False","","",""
"js/clipboard.js:0","Press ⌘-@key to @action","","","False","","",""
"clipboardjs.drush.inc:57","Skip installation of @name to @path.","","","False","","",""
"clipboardjs.drush.inc:83;86","The @name library has been downloaded to @path.","","","False","","",""
"src/Commands/ClipboardJsCommands.php:161","The URL !url could not be downloaded.","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsBase.php:44","The alert style e.g. <em>Tooltip</em>, <em>Alert</em> or <em>None</em>.","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsBase.php:57","The alert text, shown as tooltip or alert.","","","False","","",""
"src/Plugin/Field/FieldFormatter/ClipboardJsBase.php:38","The label on the button or hovertip.","","","False","","",""
"js/clipboard.js:0","This device does not support HTML5 Clipboard Copying. Please copy manually.","","","False","","",""
"clipboardjs.drush.inc:75","Unable to download @url.","","","False","","",""
"clipboardjs.drush.inc:89","Unable to move @name library to @path.","","","False","","",""
