"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"cloner.permissions.yml:0","Access to any cloner form.","","","False","","",""
"cloner.permissions.yml:0","Bypass all checks for every form clone.","","","False","","",""
"src/Form/ClonerCloneForm.php:158","Cancel","","","False","","",""
"src/Form/ClonerCloneForm.php:152","Clone","Klonen","","False","","",""
"modules/cloner_examples/src/Plugin/Cloner/Form/ImageStyleCloneForm.php:10","Clone image style","","","False","","",""
"modules/cloner_examples/src/Plugin/Cloner/Form/NodeArticleCloneForm.php:10","Clone node article","","","False","","",""
"cloner.info.yml:0","Cloner","","","False","","",""
"modules/cloner_examples/cloner_examples.info.yml:0","Cloner Examples","","","False","","",""
"cloner.info.yml:0","Custom","","","False","","",""
"modules/cloner_examples/cloner_examples.info.yml:0","Development","","","False","","",""
"modules/cloner_examples/src/Plugin/Cloner/Form/ImageStyleCloneForm.php:60","The config entity id must be unique","","","False","","",""
"modules/cloner_examples/cloner_examples.info.yml:0","The entity clone plugin examples.","","","False","","",""
"cloner.info.yml:0","The entity clone plugin system.","","","False","","",""
"modules/cloner_examples/src/Plugin/Cloner/Form/NodeArticleCloneForm.php:36","Title for cloned entity","","","False","","",""
"modules/cloner_examples/src/Plugin/Cloner/Form/NodeArticleCloneForm.php:49","Title for new entity must be different from original.","Der Titel für die neue Entität muss sich vom Original unterscheiden.","","False","","",""
