"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"coder_sniffer/Drupal/Test/good/good.php:291;308","Create @entity_type path alias","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:292;309","Path","Pfad","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:298;315","The @entity_type for which to create a path alias.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:300;317","Path alias","Pfad-Alias","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:302;319","Specify an alternative path by which the content can be accessed. For example, 'about' for an about page. Use a relative path and do not add a trailing slash.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/Arrays/disallow_long_array_d8/disallow_long_array_d8.info.yml:0","Disallow Long Array Test","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/Arrays/disallow_long_array_d8/disallow_long_array_d8.info.yml:0","Test module.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/Commenting/FileCommentUnitTest.5.inc:2","You are here","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/ControlStructures/ControlSignatureUnitTest.inc:7;9;12","Failed to get data ""%error"".","","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/Objects/src/ExampleService.php:30","Test","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/Semantics/FunctionTUnitTest.inc:25","This string should avoid backslashes for '","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/Semantics/FunctionTUnitTest.inc:33","Do not start with a space","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/bad/bad.php:175","Front Page","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/bad/bad.php:175","All Pages","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/bad/bad.php:175","List Pages","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:542","This module inserts funny text into posts randomly.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/bad/bad.php:433","She's a good person.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/bad/bad.php:434","This is a ""fancy"" string.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/bad/bad.php:440","Number of attempts:","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/bad/bad.php:738","Log message here.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/bad/bad.module:44","Example Page","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/bad/bad.module:45","My example module page that does something.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/bad/bad.install:13","The base table for nodes.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/bad/bad.install:16","The primary identifier for a node.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:164;174","xyz @url","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:746","special character: \""","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:747","special character: '","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:749","Link to Drupal's <a href=""@url"">admin pages</a>.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:753;756;758;763;765;767;769;772;774;777;779;810;818","x","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:1100","Some long mulit-line 
  text is weird, but allowed.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:1159","add job","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:1598","Item will be removed permanently when configuration is saved.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:1183","Delete any path alias","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:1183","Existing system path alias","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:1183","Specifies the existing path alias you wish to delete, for example 'about/team'. Use a relative path and do not add a trailing slash.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:1286","Reaction Rule","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:1622","Email","E-Mail","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:1622","Notification","Benachrichtigung","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.php:1622","Sends a webform submission via an email.","","",FALSE,"","",""
"coder_sniffer/Drupal/Test/good/good.tpl.php:12;13;21;22","Home","Startseite","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/FunctionDefinitions/test.module:22","Secret stuff","","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/FunctionDefinitions/test.install:12","Message","Nachricht","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/General/OptionsTUnitTest.inc:5","Display","Anzeige","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/General/VariableNameUnitTest.inc:6","Minimum cache refresh time","","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/General/VariableNameUnitTest.inc:7","The minimum amount of time before cron will force a cache clear.","","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/General/VariableNameUnitTest.inc:12","Minutes","","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/InfoFiles/dependencies_test.info.yml:0","Node","Beitrag","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/InfoFiles/dependencies_test.info.yml:0","Allows content to be submitted to the site and displayed on pages.","Ermöglicht die Erstellung von Inhalt, der dann auf Seiten angezeigt wird.","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/InfoFiles/dependencies_test.info.yml:0","Core","Kernsystem","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/Objects/GlobalFunctionUnitTest.inc:6;12","Example text","","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/Objects/GlobalFunctionUnitTest.inc:7","test","","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/ProjectDetection/modules/drupal8/testmodule.info.yml:0","Test module","","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/ProjectDetection/modules/drupal8/testmodule.info.yml:0","Test.","","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/Yaml/routing_access_test.routing.yml:0;0;0","Reset your password","Passwort zurücksetzen","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/good/good.php:12","View Mode","","",FALSE,"","",""
"coder_sniffer/DrupalPractice/Test/good/good.php:13","test description","","",FALSE,"","",""
