"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/order/config/install/views.view.commerce_orders.yml:0","#","","","False","","",""
"modules/tax/src/Plugin/Commerce/TaxType/Custom.php:163","'%'","","","False","","",""
"modules/order/src/Plugin/Validation/Constraint/PurchasedEntityAvailableConstraint.php:22","'%label is not available with a quantity of %quantity.'","","","False","","",""
"modules/order/src/Controller/AddressBookController.php:120","'%label is now the default address.'","","","False","","",""
"modules/payment/src/Form/PaymentMethodAddForm.php:188","'%label saved to your payment methods.'","","","False","","",""
"modules/tax/src/Plugin/Validation/Constraint/TaxNumberConstraint.php:22","'%name could not be verified.'","","","False","","",""
"modules/tax/src/Plugin/Validation/Constraint/TaxNumberConstraint.php:20","'%name is not in the right format.'","","","False","","",""
"modules/tax/src/Plugin/Field/FieldType/TaxNumberItem.php:159","'%name: may not be longer than @max characters.'","","","False","","",""
"modules/product/src/ProductVariationListBuilder.php:187","'%product variations'","","","False","","",""
"modules/price/src/Element/Number.php:132","'%title must be a number.'","","","False","","",""
"modules/price/src/Element/Number.php:138","'%title must be higher than or equal to %min.'","","","False","","",""
"modules/price/src/Element/Number.php:145","'%title must be lower than or equal to %max.'","","","False","","",""
"src/Form/CommerceBundleEntityDeleteFormBase.php:27","'%type is used by 1 %entity on your site. You cannot remove this %entity_type until you have removed all of the %type %entities.'","","","False","","",""
"modules/product/src/ProductTranslationHandler.php:45","(this translation)","","","False","","",""
"modules/order/src/Plugin/Commerce/InlineForm/CustomerProfile.php:512","'+ Enter a new address'","","","False","","",""
"modules/store/config/install/views.view.commerce_stores.yml:0;0",",","","","False","","",""
"modules/store/config/install/views.view.commerce_stores.yml:0","'- All -'","","","False","","",""
"modules/store/commerce_store.module:48","'- All countries -'","","","False","","",""
"modules/product/src/Form/ProductTypeForm.php:114","'- Create new -'","","","False","","",""
"modules/tax/src/Plugin/Commerce/TaxType/CanadianSalesTax.php:66","'- Federal -'","","","False","","",""
"src/CommerceEntityViewsData.php:236","'- No value -'","","","False","","",""
"modules/order/src/Plugin/Field/FieldWidget/AdjustmentDefaultWidget.php:39","'- Select -'","","","False","","",""
"modules/promotion/src/Plugin/Field/FieldWidget/UsageLimitWidget.php:99","1 use","","","False","","",""
"modules/payment/commerce_payment.module:211","<em>Payment information</em> and <em>Payment process</em> panes need to be on separate steps.","","","False","","",""
"modules/payment/src/Plugin/Commerce/PaymentMethodType/CreditCard.php:28","'@card_type ending in @card_number'","","","False","","",""
