"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Entity/Consumer.php:119","A description of the consumer. This text will be shown to the users to authorize sharing their data to create an access token.","","",FALSE,"","",""
"consumers.post_update.php:42","A flag indicating whether this is the default translation.","Eine Kennzeichnung, die angibt, ob es sich um die Standardübersetzung handelt.","",FALSE,"","",""
"consumers.links.action.yml:0","Add Consumer","","",FALSE,"","",""
"consumers.permissions.yml:0","Administer Consumer entities","","",FALSE,"","",""
"consumers.permissions.yml:0","Allow to access the administration form to configure Consumer entities.","","",FALSE,"","",""
"src/Entity/Form/MakeDefaultForm.php:16","Are you sure you want to make %consumer the default consumer?","","",FALSE,"","",""
"consumers.info.yml:0","Authentication","Authentifizierung","",FALSE,"","",""
"src/Entity/Consumer.php:16","Consumer","","",FALSE,"","",""
"consumers.links.menu.yml:0","Consumers","","",FALSE,"","",""
"consumers.post_update.php:52","Consumers have been converted to be translatable.","","",FALSE,"","",""
"consumers.permissions.yml:0","Create new Consumer entities","","",FALSE,"","",""
"src/Entity/Form/ConsumerForm.php:31","Created the %label Consumer.","","",FALSE,"","",""
"consumers.info.yml:0","Declare all the consumers of your API","","",FALSE,"","",""
"src/ConsumerListBuilder.php:46","Default","","",FALSE,"","",""
"consumers.post_update.php:41","Default translation","Standardübersetzung","",FALSE,"","",""
"consumers.permissions.yml:0","Delete Consumer entities","","",FALSE,"","",""
"src/Entity/Consumer.php:118","Description","Beschreibung","",FALSE,"","",""
"consumers.permissions.yml:0","Edit Consumer entities","","",FALSE,"","",""
"src/ConsumerListBuilder.php:20","Is Default?","","",FALSE,"","",""
"src/Entity/Consumer.php:155","Is this consumer 3rd party?","","",FALSE,"","",""
"src/Entity/Consumer.php:170","Is this the default consumer?","","",FALSE,"","",""
"src/Entity/Consumer.php:101","Label","Beschriftung","",FALSE,"","",""
"consumers.post_update.php:27","Language","Sprache","",FALSE,"","",""
"src/Entity/Consumer.php:134","Logo","","",FALSE,"","",""
"src/Entity/Consumer.php:135","Logo of the consumer.","","",FALSE,"","",""
"src/Entity/Form/MakeDefaultForm.php:37","Make Default","","",FALSE,"","",""
"src/Entity/Consumer.php:156","Mark this if the organization behind this consumer is not the same as the one behind the Drupal API.","","",FALSE,"","",""
"consumers.links.menu.yml:0","Register and configure the decoupled consumers to your API.","","",FALSE,"","",""
"src/Entity/Form/ConsumerForm.php:37","Saved the %label Consumer.","","",FALSE,"","",""
"src/Negotiator.php:70","The ""_consumer_id"" query string parameter is deprecated and it will be removed in the next major version of the module, please use ""consumerId"" instead.","","",FALSE,"","",""
"src/Entity/Form/MakeDefaultForm.php:23","The consumer currently marked as default will lose this property, since there can only be one default consumer. This may break current assumptions in existing client-side applications.","","",FALSE,"","",""
"src/Entity/Consumer.php:102","The consumer label.","","",FALSE,"","",""
"src/Entity/Consumer.php:171","There can only be one default consumer. Mark this to use this consumer when none other applies.","","",FALSE,"","",""
"src/ConsumerListBuilder.php:18","UUID","UUID","",FALSE,"","",""
"src/EntityOwnerTrait.php:42","User ID","","",FALSE,"","",""
"consumers.permissions.yml:0","View Consumer entities","","",FALSE,"","",""
