"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Field/FieldType/OptionsEmailItem.php:60","""emails"" are the email addresses to add to the recipients list (each separated by a comma).","","",FALSE,"","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:58","""key"" is the message that is added to the body of the message.","","",FALSE,"","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:59","""label"" is the value displayed in the dropdown menu on the contact form.","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0;0",",","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","'- All -'","","",FALSE,"","",""
"contact_storage.module:27","About","","",FALSE,"","",""
"contact_storage.module:60","Add URL alias","","",FALSE,"","",""
"src/MessageViewsData.php:29","Add a form element that lets you run operations on multiple messages.","","",FALSE,"","",""
"contact_storage.module:77","Allow preview","","",FALSE,"","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:62","Allowed HTML tags in labels: @tags","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0","Allowed value with label","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0","Allowed values function","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0","Allowed values list","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Apply","","",FALSE,"","",""
"src/Form/DeleteMultiple.php:90","Are you sure you want to delete this message?","","",FALSE,"","",""
"src/Form/ContactFormDisableForm.php:18","Are you sure you want to disable the contact form %form?","","",FALSE,"","",""
"src/Form/ContactFormEnableForm.php:18","Are you sure you want to enable the contact form %form?","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Asc","","",FALSE,"","",""
"src/MessageEditForm.php:23","Author name","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0","Autoreply format","","",FALSE,"","",""
"src/Form/ContactFormCloneForm.php:145","Clone","","",FALSE,"","",""
"contact_storage.module:34","Configuring contact message pages","","",FALSE,"","",""
"config/schema/contact_storage.views.schema.yml:0","Contact Message bulk form","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0","Contact Storage settings","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0;0","Contact form","","",FALSE,"","",""
"src/Form/ContactFormCloneForm.php:136;137","Contact form %label has been added.","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0","Contact form redirection","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0;0;0","Contact messages","","",FALSE,"","",""
"contact_storage.routing.yml:0","Contact settings","","",FALSE,"","",""
"contact_storage.info.yml:0","Contact storage","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Created","","",FALSE,"","",""
"src/Form/ContactFormDisableForm.php:49","Default disabled contact form message","","",FALSE,"","",""
"contact_storage.module:72","Default message to display if the contact form is disabled.","","",FALSE,"","",""
"src/Form/ContactFormDisableForm.php:50","Default message to display if the contact form is disabled. It will be saved when clicking ""Disable"".","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0","Default value","","",FALSE,"","",""
"src/Form/DeleteMultiple.php:104","Delete","","",FALSE,"","",""
"config/install/system.action.message_delete_action.yml:0","Delete message","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0","Delete message configuration","","",FALSE,"","",""
"src/Form/DeleteMultiple.php:135","Deleted 1 message.","","",FALSE,"","",""
"src/Form/DeleteMultiple.php:134","Deleted @count messages.","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Desc","","",FALSE,"","",""
"src/Form/ContactFormDisableForm.php:32","Disable","","",FALSE,"","",""
"contact_storage.routing.yml:0","Disable contact form","","",FALSE,"","",""
"src/Form/ContactFormDisableForm.php:63","Disabled contact form %form.","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0","Disabled contact form message","","",FALSE,"","",""
"src/Form/ContactFormDisableForm.php:39","Disabled contact forms are not displayed. This action can be undone from the contact forms administration page.","","",FALSE,"","",""
"src/Form/ContactFormCloneForm.php:135","Edit","","",FALSE,"","",""
"src/Controller/ContactStorageController.php:69","Edit @label","","",FALSE,"","",""
"src/Form/ContactFormEnableForm.php:32","Enable","","",FALSE,"","",""
"contact_storage.routing.yml:0","Enable contact form","","",FALSE,"","",""
"src/Form/ContactFormEnableForm.php:47","Enabled contact form %form.","","",FALSE,"","",""
"src/Form/ContactFormEnableForm.php:39","Enabling the contact form will make it visible. This action can be undone from the contact forms administration page.","","",FALSE,"","",""
"src/Form/ContactFormCloneForm.php:68","Example: 'website feedback' or 'product information'.","","",FALSE,"","",""
"src/MessageViewsData.php:19","Form","","",FALSE,"","",""
"contact_storage.links.task.yml:0","Forms","","",FALSE,"","",""
"src/Plugin/Mail/HTMLTestingMailSystem.php:8","HTML test mailer","","",FALSE,"","",""
"contact_storage.install:91","IP address","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Items per page","Elemente pro Seite","",FALSE,"","",""
"src/Form/ContactFormCloneForm.php:65","Label","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","List","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Master","","",FALSE,"","",""
"src/Plugin/Validation/Constraint/ConstactStorageMaximumSubmissionsConstraint.php:7","Maximum submission limit","","",FALSE,"Validation","",""
"config/schema/contact_storage.schema.yml:0","Maximum submission limit per user","","",FALSE,"","",""
"contact_storage.module:83","Maximum submissions","","",FALSE,"","",""
"contact_storage.module:221","Message ID","","",FALSE,"","",""
"src/MessageViewsData.php:28","Message operations bulk form","","",FALSE,"","",""
"src/Plugin/views/field/MessageBulkForm.php:18","No message selected.","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Offset","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Operations","","",FALSE,"","",""
"contact_storage.module:61","Optionally add an URL alias to the contact form.","","",FALSE,"","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:11","Options email","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0;0","Options email item settings","","",FALSE,"","",""
"contact_storage.module:55","Override the submit button's default <em>Send message</em> text.","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Page","","",FALSE,"","",""
"contact_storage.module:380","Preview","","",FALSE,"","",""
"contact_storage.info.yml:0","Provides storage and edit capability for contact messages.","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0","Redirect URI","","",FALSE,"","",""
"contact_storage.module:33","Registered users can access stored messages on the <a href="":url"">Contact messages</a> page.  This page can be manually accessed from the Administration menu path ""Home >> Administration >> Structure >> Contact forms"".  The Contact Storage module places the ""List"" tab on the ""Contact forms"" page. The ""Contact messages"" page is displayed when the List tab is selected.  View, edit and delete operations can be performed on individual messages from this listing of contact messages.","","",FALSE,"","",""
"contact_storage.module:381","Rendered preview","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Reset","","",FALSE,"","",""
"src/Form/ContactStorageSettingsForm.php:38","Send HTML","","",FALSE,"","",""
"contact_storage.module:56","Send message","","",FALSE,"","",""
"src/MessageEditForm.php:29","Sender email address","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Sender's name","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0","Show preview button","","",FALSE,"","",""
"contact_storage.module:78","Show the preview button?","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Sort by","","",FALSE,"","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:11","Stores e-mail recipients for the provided options.","","",FALSE,"","",""
"config/install/views.view.contact_messages.yml:0","Subject","","",FALSE,"","",""
"config/schema/contact_storage.schema.yml:0","Submit Text","","",FALSE,"","",""
"contact_storage.module:54","Submit button text","","",FALSE,"","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:29","Text value","","",FALSE,"","",""
"contact_storage.module:28","The <a href=""https://www.drupal.org/project/contact_storage"">Contact Storage</a> module allows registered <em>users</em> on your site to see messages sent by <em>visitors</em> when using personal or site-wide forms. The Contact Storage module provides the ability to store the messages so registered users can later view them thru the site.","","",FALSE,"","",""
"contact_storage.install:92","The IP address of the submitter.","","",FALSE,"","",""
"contact_storage.module:29","The combination of  <a href=""contact"">Contact</a> and Contact Storage modules allows for a general means to create, read, update and delete user generated data. For more information, see the <a href="":contact_storage"">online documentation for the Contact Storage module</a>.","","",FALSE,"","",""
"src/Controller/ContactStorageController.php:32","The contact form has not been configured. <a href="":add"">Add one or more forms</a> .","","",FALSE,"","",""
"src/MessageEditForm.php:41","The contact message %subject has been updated.","","",FALSE,"","",""
"src/MessageViewsData.php:20","The label of the associated form.","","",FALSE,"","",""
"contact_storage.module:35","The listing of Contact messages is a <a href="":url"">Views</a> page.  This page can be manually accessed from the Administration menu path ""Home >> Administration >> Structure >> Views"" like any other view. It has a VIEW NAME of ""Contact messages"". Registered users can perform Edit, Duplicate, Disable and Delete Operations from the Views listing page.","","",FALSE,"","",""
"contact_storage.module:84","The maximum number of times, per user, the form can be submitted (0 for unlimited).","","",FALSE,"","",""
"contact_storage.module:222","The message ID.","","",FALSE,"","",""
"src/Plugin/Field/FieldType/OptionsEmailItem.php:57","The possible values this field can contain. Enter one value per line, in the format key|label|emails.","","",FALSE,"","",""
