"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/CropTypeDeleteForm.php:76","'%type is used by 1 piece of content on your site. You can not remove this content type until you have removed all of the %type content.'","'%type wird von 1 Inhalt auf der Website verwendet. Sie können diesen Inhaltstyp nicht entfernen, solange Sie nicht alle Inhalte des Typs %type entfernt haben.'","","False","","",""
"src/Plugin/ImageEffect/CropEffect.php:173","'- Select a Provider -'","","","False","","",""
"crop.module:128","'- Skip field -'","'- Feld überspringen -'","","False","","",""
"crop.module:54","<a href="":focal_point"">Focal point</a>","","","False","","",""
"crop.module:49","<a href="":image_widget_crop"">Image widget crop</a>","","","False","","",""
"crop.module:39","<a href=':crop'>Crop</a> provides basic API for image cropping. This module won't do much by itself. Users should pick one of UI modules that utilize this API.</a>","","","False","","",""
"src/CropTypeListBuilder.php:111","'@first, @second and @count more'","'@first, @second und @count mehr'","","False","","",""
"src/Form/CropTypeForm.php:44","A unique machine-readable name for this crop type. It must only contain lowercase letters, numbers, and underscores.","Der eindeutige Systemname der Bildzuschnittvorlage. Der Name darf nur Kleinbuchstaben, Ziffern und Unterstriche enthalten.","","False","","",""
"crop.module:38","About","Info","","False","","",""
"src/Form/CropTypeForm.php:22","Add crop type","Bildzuschnittvorlage hinzufügen.","","False","","",""
"src/Form/CropTypeForm.php:179","Added crop type %name.","Bildzuschnittvorlage %name hinzugefügt.","","False","","",""
"crop.permissions.yml:0","Administer crop settings","Einstellungen für das Zuschneiden von Bildern verwalten","","False","","",""
"crop.permissions.yml:0","Administer crop types","Bildzuschnittvorlagen verwalten","","False","","",""
"crop.permissions.yml:0","Administer crop types.","Bildzuschnittvorlagen verwalten","","False","","",""
"crop.permissions.yml:0","Administer the basic settings for Crop API.","Grundlgende Einstellungen des Crop-API-Moduls verwalten.","","False","","",""
"src/Plugin/ImageEffect/CropEffect.php:21","Applies manually provided crop to the image.","Wendet einen Manuell festgelegten Bildzuschnitt auf ein Bild an.","","False","","",""
"src/Form/CropTypeDeleteForm.php:47","Are you sure you want to delete the crop type %type?","Möchten Sie den Zuschneidungstyp %type wirklich löschen?","","False","","",""
"src/Form/CropTypeForm.php:55","Aspect Ratio","Seitenverhältnis","","False","","",""
"config/schema/crop.schema.yml:0","Aspect ratio","Seitenverhältnis","","False","","",""
"src/Plugin/ImageEffect/CropEffect.php:172","Automatic crop provider","","","False","","",""
"crop.module:45","Configuration","","","False","","",""
"src/Entity/Crop.php:14","Crop","Zuschneiden","","False","","",""
"crop.info.yml:0","Crop API","","","False","","",""
"config/schema/crop.schema.yml:0","Crop API settings","Crop-API-Einstellungen","","False","","",""
"src/Entity/Crop.php:281","Crop ID","Bildzuschnitt-ID","","False","","",""
"src/Plugin/Validation/Constraint/CropTypeAspectRatioValidationConstraint.php:7","Crop Type aspect ratio","","","False","Validation","",""
"src/Plugin/Validation/Constraint/CropTypeMachineNameValidationConstraint.php:7","Crop Type machine name","","","False","Validation","",""
"crop.module:106","Crop configuration","Zuschnittkonfiguration","","False","","",""
"config/schema/crop.schema.yml:0","Crop effect configuration","Bildzuschnitteffektkonfiguration","","False","","",""
"config/schema/crop.schema.yml:0","Crop settings","Bildzuschnitteinstellungen","","False","","",""
"src/Plugin/ImageEffect/CropEffect.php:163","Crop type","Bildzuschnittvorlage","","False","","",""
"src/Plugin/ImageEffect/CropEffect.php:166","Crop type to be used for the image style.","Die Bildzuschnittvorlage, die zusammen mit diesem Bildstil verwendet wird.","","False","","",""
"crop.routing.yml:0","Crop types","Bildzuschnittvorlagen","","False","","",""
"src/Form/CropTypeForm.php:90","Define crop size hard limit. User is not allowed to make a smaller selection than defined here.","Mindesgröße des Bildzuschnitts definieren. Benutzern ist es nicht erlaubt, einen Bilauschnitt zu wählen, der kleiner ist, als hier angegeben.","","False","","",""
"src/Form/CropTypeForm.php:65","Define crop size soft limit. Warning will be displayed if crop smaller than that is selected.","Gibt eine Mindestgröße vor, die angewendt werden soll. Warnung: Bilder werden auch dann zugeschnitten, wenn die Mindeströße vom Benutzer unterschritten wird.","","False","","",""
"src/Form/CropTypeDeleteForm.php:61","Delete","löschen","","False","","",""
"src/Form/CropTypeForm.php:121","Delete crop type","Bildzuschnittvorlage löschen","","False","","",""
"src/Form/CropTypeDeleteForm.php:92","Deleted crop type %name.","Bildzushnittvorlage %name löschen.","","False","","",""
"modules/crop_media_entity/crop_media_entity.info.yml:0","Deprecated.","Veraltet.","","False","","",""
