"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"devel.module:255","'%type: @message in %function (line %line of %file).'","'%type: @message in %function (Zeile %line in %file).'","",FALSE,"","",""
"drush/devel.drush8.inc:198","// file: @file, lines @startline-@endline","","",FALSE,"","",""
"devel_generate/src/Plugin/DevelGenerate/ContentDevelGenerate.php:348","1 node created.","","",FALSE,"","",""
"devel_generate/src/Plugin/DevelGenerate/UserDevelGenerate.php:189","1 user","","",FALSE,"","",""
"devel_generate/src/Plugin/DevelGenerate/UserDevelGenerate.php:157","1 user deleted","","",FALSE,"","",""
"src/Form/SettingsForm.php:109","<em>Kint backtrace</em> displays nice debug information when any type of error is noticed, but only to users with the %perm permission.","","",FALSE,"","",""
"src/Form/SettingsForm.php:107","<em>None</em> is a good option when stepping through the site in your debugger.","","",FALSE,"","",""
"src/Form/SettingsForm.php:108","<em>Standard Drupal</em> does not display all the information that is often needed to resolve an issue.","","",FALSE,"","",""
"devel_generate/src/Plugin/DevelGenerate/ContentDevelGenerate.php:228","<strong>Delete all content</strong> in these content types before generating new content.","","",FALSE,"","",""
"src/Form/SettingsForm.php:1","<strong>Not available</strong>. You may need to install external dependencies for use this plugin.","","",FALSE,"","",""
"devel.module:67","<strong>Warning</strong> - will delete your module tables and configuration.","","",FALSE,"","",""
"devel_generate/src/Plugin/DevelGenerate/UserDevelGenerate.php:188","'@num_users created.'","","",FALSE,"","",""
"drush/devel.drush8.inc:21","A space-separated list of project names.","","",FALSE,"","",""
"src/Controller/RouteInfoController.php:96","ANY","","",FALSE,"","",""
"devel.module:37","About","Info","",FALSE,"","",""
"src/Form/SettingsForm.php:109","Access developer information","","",FALSE,"","",""
"kint/kint.permissions.yml:0","Access kint information","","",FALSE,"","",""
"webprofiler/webprofiler.permissions.yml:0","Access webprofiler","","",FALSE,"","",""
"webprofiler/webprofiler.permissions.yml:0","Access webprofiler collected data.","","",FALSE,"","",""
"webprofiler/templates/Collector/views.html.twig:36","Action","Aktion","",FALSE,"","",""
