"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_features/social_user/src/Form/SocialUserLoginForm.php:258","
        <p>Oops, there was an error. This may have happened for the following reasons:</p>
        <ul>
          <li>Invalid username/email and password combination. </li>
          <li>There has been more than one failed login attempt for this account. It is temporarily blocked. </li>
          <li>Too many failed login attempts from your computer (IP address). This IP address is temporarily blocked. </li>
        </ul>
        <p>To solve the issue, try using different login information, try again later, or <a href="":url"">request a new password</a></p>","
        <p>Hoppla, es ist ein Fehler aufgetreten. Dies kann aus folgenden Gründen geschehen sein:</p>
        <ul>
          <li>Ungültige Kombination aus Benutzer:innenname, E-Mail und Passwort. </li>
          <li>Für dieses Konto ist mehr als ein Anmeldeversuch fehlgeschlagen. Es ist vorübergehend gesperrt. </li>
          <li>Zu viele fehlgeschlagene Anmeldeversuche von Ihrem Computer (IP-Adresse). Diese IP-Adresse ist vorübergehend gesperrt. </li>
        </ul>
        <p>Um das Problem zu beheben, versuche es mit anderen Anmeldeinformationen, versuchen es später erneut oder  <a href="":url"">beantrage ein neues Passwort</a></p>","",FALSE,"","",""
"translations.php:29","
        Oops, there was an error. This may have happened for the following reasons: <br>
        - Invalid username/email and password combination. <br>
        - There has been more than one failed login attempt for this account. It is temporarily blocked. <br>
        - Too many failed login attempts from your computer (IP address). This IP address is temporarily blocked. <br> <br>
        To solve the issue, try using different login information, try again later, or <a href="":url"">request a new password</a>","
        Hoppala, hier ist etwas schief gelaufen. Dies kann verschiedene Gründe haben: <br>
        - Ungültige Kombination aus Benutzername/E-mail und Passwort. <br>
        - Es gab mehr als einen fehlgeschlagenen Anmeldeversuch für dieses Konto. Es ist vorübergehend gesperrt. <br>
        - Zu viele fehlgeschlagene Anmeldeversuche von diesem Computer (IP-Adresse). Diese IP-Adresse ist vorübergehend gesperrt. <br> <br>
        Um das Problem zu beheben, verwende andere Anmeldeinformationen, versuche es später erneut oder <a href="":url"">beantrage ein neues Passwort</a>","",FALSE,"","",""
"modules/social_features/social_swiftmail/social_swiftmail.module:72","#MadeToShare","","",FALSE,"","",""
"modules/custom/activity_send/modules/activity_send_email/src/Plugin/EmailFrequency/Immediately.php:93","'%subject'","","",FALSE,"","",""
"modules/social_features/social_post/post.page.inc:40","'%time ago'","vor %time","",FALSE,"","",""
"modules/social_features/social_post/src/Service/PostPermissions.php:48","'%type_name: Create new Post entities'","","",FALSE,"","",""
"modules/social_features/social_activity/social_activity.tokens.inc:130","(+ @count other groups)","","",FALSE,"","",""
"modules/social_features/social_event/modules/social_event_max_enroll/social_event_max_enroll.module:29;199","(1 spot left)","(1 Platz frei)","",FALSE,"","",""
"modules/social_features/social_event/config/install/views.view.upcoming_events.yml:0","(Upcoming) Community events","(Bevorstehende) Community-Veranstaltungen","",FALSE,"","",""
"modules/social_features/social_search/config/install/views.view.search_content.yml:0","(ascending)","(aufsteigend)","",FALSE,"","",""
"modules/social_features/social_search/config/install/views.view.search_content.yml:0","(descending)","(absteigend)","",FALSE,"","",""
"modules/social_features/social_user/config/install/views.view.user_admin_people.yml:0;0;0",",",",","",FALSE,"","",""
"modules/social_features/social_user/config/install/views.view.user_admin_people.yml:0","'- All -'","'-Alle-'","",FALSE,"","",""
"modules/social_features/social_user/social_user.module:134","'- Any -'","'- Alle -'","",FALSE,"","",""
"modules/social_features/social_group/config/install/views.view.groups.yml:0","'- Any -\|- Any -
True\|My muted groups
False\|My unmuted groups'","","",FALSE,"","",""
"modules/social_features/social_group/modules/social_group_default_route/social_group_default_route.module:44","'- Default -'","'- Standard -'","",FALSE,"","",""
"modules/social_features/social_core/src/Entity/Element/EntityAutocomplete.php:29","'- Restricted access -'","'- Eingeschränkter Zugriff -'","",FALSE,"","",""
"translations.php:89","'-- Select action --'","'-- Aktion auswählen --'","",FALSE,"","",""
"modules/custom/download_count/src/Plugin/Field/FieldFormatter/FieldDownloadCount.php:150","0 downloads","0 Downloads","",FALSE,"","",""
"modules/social_features/social_follow_taxonomy/config/install/views.view.following_tags.yml:0","1","1","",FALSE,"","",""
"translations.php:148","1 attachment.","1 Anhang.","",FALSE,"","",""
"modules/custom/download_count/src/Plugin/Field/FieldFormatter/FieldDownloadCount.php:147","1 download","1 Download","",FALSE,"","",""
"modules/social_features/social_follow_taxonomy/modules/social_follow_tag/templates/social-tagging-popup.html.twig:34","1 follower","","",FALSE,"","",""
"modules/social_features/social_group/modules/social_group_invite/social_group_invite.module:309","1 group invite","1 Gruppen-Einladung","",FALSE,"","",""
"modules/social_features/social_follow_taxonomy/modules/social_follow_tag/templates/social-tagging-popup.html.twig:30","1 item","1 Element","",FALSE,"","",""
"modules/social_features/social_post/social_post.admin.inc:166","1 item successfully processed:","1 Element wurde erfolgreich verarbeitet:","",FALSE,"","",""
"modules/social_features/social_activity/templates/message-group-preview.html.twig:9","1 member","","",FALSE,"","",""
"modules/social_features/social_group/modules/social_group_invite/social_group_invite.module:298","1 membership invite for group: @group_name","1 Einaldung zur Gruppe: @group_name","",FALSE,"","",""
"translations.php:113","1 selected enrollee has been exported successfully","1 ausgewähltes Mitglied wurde erfolgreich exportiert","",FALSE,"","",""
"translations.php:117","1 selected enrollee has been removed from the event successfully","1 ausgewählte(r) Teilnehmer:in wurde erfolgreich von der Veranstaltung entfernt","",FALSE,"","",""
"translations.php:114","1 selected enrollee has not been exported successfully","1 ausgewähltes Mitglied wurde nicht erfolgreich exportiert","",FALSE,"","",""
"translations.php:118","1 selected enrollee has not been removed from the event successfully","1 ausgewählte(r) Teilnehmer:in wurde nicht erfolgreich von der Veranstaltung entfernt","",FALSE,"","",""
"translations.php:119","1 selected member has been exported successfully","1 ausgewähltes Mitglied wurde erfolgreich exportiert","",FALSE,"","",""
"translations.php:121","1 selected member has been removed successfully","1 ausgewähltes Mitglied wurde erfolgreich entfernt","",FALSE,"","",""
"translations.php:120","1 selected member has not been exported","1 ausgewähltes Mitglied wurde nicht exportiert","",FALSE,"","",""
"translations.php:122","1 selected member has not been removed successfully","1 ausgewähltes Mitglied wurde nicht erfolgreich entfernt","",FALSE,"","",""
"modules/social_features/social_core/src/Plugin/Field/FieldFormatter/CommentNodeFormatter.php:139",":num_comments comment",":num_comments Kommentar","",FALSE,"","",""
"modules/social_features/social_core/src/Plugin/Field/FieldFormatter/CommentNodeFormatter.php:135",":num_comments comments",":num_comments Kommentare","",FALSE,"","",""
"modules/custom/grequest/config/optional/views.view.group_pending_members.yml:0","<a href=""/group/{{ gid }}/content/{{ id }}/approve-membership?destination=/group/{{ gid }}/members-pending"">Approve membership</a>","<a href=""/group/{{ gid }}/content/{{ id }}/approve-membership?destination=/group/{{ gid }}/members-pending"">Mitgliedschaft zustimmen</a>","",FALSE,"","",""
"modules/custom/grequest/config/optional/views.view.group_pending_members.yml:0","<a href=""/group/{{ gid }}/content/{{ id }}/reject-membership?destination=/group/{{ gid }}/members-pending"">Reject Membership</a>","<a href=""/group/{{ gid }}/content/{{ id }}/reject-membership?destination=/group/{{ gid }}/members-pending"">Mitgliedschaft ablehnen</a>","",FALSE,"","",""
"modules/social_features/social_event/config/install/views.view.event_enrollments.yml:0","<a href=""/node/{{ raw_arguments.nid }}/enrollments"">See all enrollments</a>","<a href=""/node/{{ raw_arguments.nid }}/enrollments"">Alle Anmeldungen anzeigen</a>","",FALSE,"","",""
"modules/social_features/social_album/config/install/views.view.albums.yml:0","<a href=""/node/{{ raw_arguments.nid }}/image/{{ id }}/{{ field_post_image__target_id }}"" class=""use-ajax"" data-dialog-type=""modal"" data-dialog-options='{""width"":""100%"",""dialogClass"":""post""}'>{{ field_post_image }}</a>","","",FALSE,"","",""
