"X1.location","X1.source","X1.target","X1.id","X1.fuzzy","X1.context","X1.translator_comments","X1.developer_comments"
"modules/filter/src/Plugin/Filter/FilterAlign.php:54","
        <p>You can align images, videos, blockquotes and so on to the left, right or center. Examples:</p>
        <ul>
          <li>Align an image to the left: <code>&lt;img src="""" data-align=""left"" /&gt;</code></li>
          <li>Align an image to the center: <code>&lt;img src="""" data-align=""center"" /&gt;</code></li>
          <li>Align an image to the right: <code>&lt;img src="""" data-align=""right"" /&gt;</code></li>
          <li>… and you can apply this to other elements as well: <code>&lt;video src="""" data-align=""center"" /&gt;</code></li>
        </ul>","
        <p>Bilder, Videos, Zitate und so weiter können linksbündig, rechtsbündig oder zentriert ausgerichtet werden. Beispiele:</p> <ul> <li>Ein Bild Linksbündig ausrichten: <code>&lt;img src="""" data-align=""left"" /&gt;</code></li> <li>Ein bild Zentriert ausrichten: <code>&lt;img src="""" data-align=""center"" /&gt;</code></li> <li>Ein Bild rechtsbündig ausrichten: <code>&lt;img src="""" data-align=""right"" /&gt;</code></li> <li>… und diese Technik  kann auch auf andere Elemente angewendet werden: <code>&lt;video src="""" data-align=""center"" /&gt;</code></li> </ul>","","False","","",""
"modules/filter/src/Plugin/Filter/FilterCaption.php:153","
        <p>You can caption images, videos, blockquotes, and so on. Examples:</p>
        <ul>
            <li><code>&lt;img src="""" data-caption=""This is a caption"" /&gt;</code></li>
            <li><code>&lt;video src="""" data-caption=""The Drupal Dance"" /&gt;</code></li>
            <li><code>&lt;blockquote data-caption=""Dries Buytaert""&gt;Drupal is awesome!&lt;/blockquote&gt;</code></li>
            <li><code>&lt;code data-caption=""Hello world in JavaScript.""&gt;alert(""Hello world!"");&lt;/code&gt;</code></li>
        </ul>","
        <p>Sie können Bilder, Videos, Blockzitate usw. beschriften. Beispiele:</p>
        <ul>
            <li><code>&lt;img src="""" data-caption=""Dies ist eine Beschriftung"" /&gt;</code></li>
            <li><code>&lt;video src="""" data-caption=""Der Drupal-Tanz"" /&gt;</code></li>
            <li><code>&lt;blockquote data-caption=""Dries Buytaert""&gt;Drupal ist grossartig!&lt;/blockquote&gt;</code></li>
            <li><code>&lt;code data-caption=""Hello World in JavaScript.""&gt;alert(""Hello World!"");&lt;/code&gt;</code></li>
        </ul>","","False","","",""
"modules/media/src/Plugin/Filter/MediaEmbed.php:354","
      <p>You can embed media items:</p>
      <ul>
        <li>Choose which media item to embed: <code>&lt;drupal-media data-entity-uuid=""07bf3a2e-1941-4a44-9b02-2d1d7a41ec0e"" /&gt;</code></li>
        <li>Optionally also choose a view mode: <code>data-view-mode=""tiny_embed""</code>, otherwise the default view mode is used.</li>
        <li>The <code>data-entity-type=""media""</code> attribute is required for consistency.</li>
      </ul>","","","False","","",""
"modules/views/src/Plugin/views/argument_validator/None.php:5"," - Basic validation - "," - Einfache Validierung - ","","False","","",""
"modules/tour/js/tour.js:0","!tour_item of !total","!tour_item von !total","","False","","",""
"modules/views/src/Plugin/views/display/PathPluginBase.php:495","""%"" may not be used for the first segment of a path.","„%“ darf nicht als erstes Segment eines Pfades verwendet werden.","","False","","",""
"modules/layout_builder/src/EventSubscriber/BlockComponentRenderArray.php:135","""@block"" block","","","False","","",""
"modules/layout_builder/src/Plugin/Block/FieldBlock.php:180","""@field"" field","","","False","","",""
"lib/Drupal/Core/Field/Plugin/Field/FieldType/BooleanItem.php:76","""Off"" label","„Aus“-Beschriftung","","False","","",""
"lib/Drupal/Core/Field/Plugin/Field/FieldType/BooleanItem.php:70","""On"" label","„An“-Beschriftung","","False","","",""
"modules/content_translation/content_translation.module:617","""Show language selector"" is not compatible with translating content that has default language: %choice. Either do not hide the language selector or pick a specific language.","„Sprachauswahl anzeigen“ ist nicht kompatibel mit Inhalten, die eine Standardsprache wie folgende haben: %choice. Es muss entweder eine bestimmte Sprache ausgewählt oder das Sprachauswahlmenü darf nicht ausgeblendet werden.","","False","","",""
"modules/media/config/schema/media.schema.yml:0","""Video"" media source configuration","„Video-Medienquellenkonfiguration","","False","","",""
"modules/menu_ui/src/MenuForm.php:301","'%capital_name contains 1 menu link with pending revisions. Manipulation of a menu tree having links with pending revisions is not supported, but you can re-enable manipulation by getting each menu link to a published state.'","","","False","","",""
"modules/taxonomy/src/Form/OverviewTerms.php:307","'%capital_name contains 1 term with pending revisions. Drag and drop of terms with pending revisions is not supported, but you can re-enable drag-and-drop support by getting each term to a published state.'","","","False","","",""
"modules/taxonomy/src/Form/OverviewTerms.php:291","'%capital_name contains terms grouped under parent terms'","'%capital_name enthält Begriffe, die unter übergeordneten Begriffen gruppiert sind'","","False","","",""
"modules/taxonomy/src/Form/OverviewTerms.php:276","'%capital_name contains terms grouped under parent terms. You can reorganize the terms in %capital_name using their drag-and-drop handles.'","'%capital_name enthält Begriffe, die übergeordneten Begriffen zugeordnet sind. Die Begriffe in %capital_name können mit Hilfe der Drag-and-Drop-Anfasser sortiert werden.'","","False","","",""
"modules/views/src/Plugin/views/area/DisplayLink.php:100","'%current_display: The link in the %area area has no configured display.'","","","False","","",""
"modules/views/src/Plugin/views/area/DisplayLink.php:119","'%current_display: The link in the %area area points to the %linked_display display which does not have a path.'","","","False","","",""
"modules/views/src/Plugin/views/area/DisplayLink.php:109","'%current_display: The link in the %area area points to the %linked_display display which no longer exists.'","","","False","","",""
"modules/views/src/Plugin/views/area/DisplayLink.php:144","'%current_display: The link in the %area area points to the %linked_display display which uses different settings than the %current_display display for: %unequal_options. To make sure users see the exact same result when clicking the link, please check that the settings are the same.'","","","False","","",""
"modules/field_ui/src/FieldUiPermissions.php:61","'%entity_label: Administer fields'","'%entity_label: Felder verwalten'","","False","","",""
"modules/field_ui/src/FieldUiPermissions.php:65","'%entity_label: Administer form display'","'%entity_label: Formularanzeige verwalten'","","False","","",""
"modules/layout_builder/src/LayoutBuilderOverridesPermissions.php:84","'%entity_type - %bundle: Configure all layout overrides'","","","False","","",""
"modules/layout_builder/src/LayoutBuilderOverridesPermissions.php:88","'%entity_type - %bundle: Configure layout overrides for @entity_type_plural that the user can edit'","","","False","","",""
"modules/field_ui/src/Form/FieldConfigEditForm.php:66","'%field settings for %bundle'","'%field Einstellungen für %bundle'","","False","","",""
"modules/media/src/MediaSourceBase.php:198","'%field_name field is used to store the essential information about the media item.'","Das Feld %field_name wird genutzt, um die grundlegenden Informationen zu diesem Medienelement zu speichern.","","False","","",""
"modules/media/src/MediaSourceBase.php:189","'%field_type field will be automatically created on this type to store the essential information about the media item.'","Das Feld %field_type wird automatisch für diesen Medientyp erstellt, um grundlegende Informationen zu diesem Medium zu speichern.","","False","","",""
"modules/comment/src/Form/CommentTypeDeleteForm.php:83","'%label is used by 1 comment on your site. You can not remove this comment type until you have removed all of the %label comments.'","'%label wird auf Ihrer Website von einem Kommentar verwendet. Sie können diesen Kommentartyp erst entfernen, wenn Sie alle Kommentare vom Typ %label entfernt haben.'","","False","","",""
"modules/language/src/Form/NegotiationUrlForm.php:118","'%language (%langcode) path prefix (Default language)'","Pfadpräfix für %language (%langcode) (Standardsprache)","","False","","",""
"lib/Drupal/Core/Extension/ModuleInstaller.php:328","'%module module installed.'","Das Modul %module wurde installiert.","","False","","",""
"lib/Drupal/Core/Extension/ModuleInstaller.php:502","'%module module uninstalled.'","'%module Modul deinstalliert.'","","False","","",""
"lib/Drupal/Core/Render/Element/FormElement.php:139","'%name field is not in the right format.'","Das Feld %name enthält ein ungütiges Format.","","False","","",""
"modules/user/src/Form/UserPasswordForm.php:171","'%name is not recognized as a username or an email address.'","'%name wird nicht als Benutzername oder E-Mail-Adresse erkannt.'","","False","","",""
"lib/Drupal/Core/Render/Element/Number.php:72","'%name must be a number.'","'%name muss eine Zahl sein.'","","False","","",""
"lib/Drupal/Core/Render/Element/Color.php:66","'%name must be a valid color.'","'%name ist keine gültige Farbe.'","","False","","",""
"lib/Drupal/Core/Render/Element/Number.php:78","'%name must be higher than or equal to %min.'","'%name muss grösser oder gleich %min sein.'","","False","","",""
"modules/telephone/src/Plugin/Field/FieldType/TelephoneItem.php:69","'%name: the telephone number may not be longer than @max characters.'","'%name: die Telefonnummer darf nicht länger als @max Zeichen sein.'","","False","","",""
"modules/text/src/Plugin/Field/FieldType/TextItem.php:64","'%name: the text may not be longer than @max characters.'","'%name: der Text darf nicht länger als @max Zeichen sein.'","","False","","",""
"lib/Drupal/Core/Field/Plugin/Field/FieldType/NumericItemBase.php:100","'%name: the value may be no greater than %max.'","'%name: dieser Wert darf nicht grösser sein als %max.'","","False","","",""
"lib/Drupal/Core/Field/Plugin/Field/FieldType/NumericItemBase.php:88","'%name: the value may be no less than %min.'","'%name: dieser Wert darf nicht kleiner sein als %min.'","","False","","",""
"modules/update/src/Form/UpdateManagerInstall.php:227","'%project is already installed.'","'%project ist bereits installiert.'","","False","","",""
"modules/contact/src/ContactFormEditForm.php:146","'%recipient is an invalid email address.'","'%recipient ist eine ungültige E-Mail-Adresse.'","","False","","",""
"modules/contact/src/MailHandler.php:143","'%sender-name (@sender-from) sent %recipient-name an email.'","'%sender-name (@sender-from) hat eine E-Mail an %recipient-name gesendet.'","","False","","",""
"modules/contact/src/MailHandler.php:136","'%sender-name (@sender-from) sent an email regarding %contact_form.'","'%sender-name (@sender-from) hat Ihnen eine Nachricht über  %contact_form geschickt.'","","False","","",""
"modules/views/src/Plugin/views/field/Date.php:160;170","'%time hence'","in %time","","False","","",""
"modules/aggregator/src/Controller/AggregatorController.php:128","'%time left'","'%time verbleibend'","","False","","",""
"modules/book/src/Form/BookRemoveForm.php:72","'%title has associated child pages, which will be relocated automatically to maintain their connection to the book. To recreate the hierarchy (as it was before removing this page), %title may be added again using the Outline tab, and each of its former child pages will need to be relocated manually.'","'%title besitzt untergeordnete Seiten, welche automatisch verschoben werden um deren Verbindung mit dem Buch zu erhalten. Um die Hierarchie wieder (so wie sie bis vor dem Entfernen der Seite war)  herzustellen, kann %title wieder über den Reiter für das Inhaltsverzeichnis hinzugefügt werden, die zuvor untergeordneten Seiten müssen allerdings manuell verschoben werden.'","","False","","",""
"modules/book/book.module:346","'%title is part of a book outline, and has associated child pages. If you proceed with deletion, the child pages will be relocated automatically.'","'%title ist Teil eines Buchs und besitzt Unterseiten. Wenn die Löschung durchgeführt wird, werden die Unterseiten automatisch verschoben.'","","False","","",""
"includes/errors.inc:170","'%type: @message in %function (line %line of %file) @backtrace_string.'","'%type: @message in %function (Zeile %line in %file) @backtrace_string.'","","False","","",""
