"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/responsive_image/config/schema/responsive_image.schema.yml:0","Sizes attribute","„Sizes“-Attribut","","False","","",""
"modules/responsive_image/responsive_image.module:38","Sizes field","Grössenfeld","","False","","",""
"modules/comment/comment.permissions.yml:0","Skip comment approval","Freigabe von Kommentaren überspringen","","False","","",""
"modules/views/src/Plugin/views/argument/ArgumentPluginBase.php:559","Skip default argument for view URL","Standard-Argument für die URL der Ansicht überspringen","","False","","",""
"themes/starterkit_theme/templates/layout/html.html.twig:48","Skip to main content","Direkt zum Inhalt","","False","","",""
"themes/bartik/color/color.inc:80","Slate","Schiefer","","False","","",""
"modules/system/src/Form/SystemBrandingOffCanvasForm.php:96","Slogan","","","False","","",""
"lib/Drupal/Core/Locale/CountryManager.php:250","Slovakia","Slowakei","","False","","",""
"lib/Drupal/Core/Locale/CountryManager.php:248","Slovenia","Slowenien","","False","","",""
"themes/olivero/olivero.breakpoints.yml:0","Small","","","False","","",""
"profiles/demo_umami/config/install/image.style.small_21_9.yml:0","Small 21:9 (768x330)","","","False","","",""
"themes/olivero/olivero.info.yml:0","Social Bar","","","False","","",""
"lib/Drupal/Core/Locale/CountryManager.php:242","Solomon Islands","Salomonen","","False","","",""
"lib/Drupal/Core/Locale/CountryManager.php:254","Somalia","","","False","","",""
"modules/field/field.module:81","Some content entity types are further grouped into sub-types (for example, you could have article and page content types within the main site content entity type, and tag and category vocabularies within the taxonomy term entity type); other entity types, such as user accounts, do not have sub-types. Programmers use the term <em>bundle</em> for entity sub-types.","Einige Entitätstypen für Inhalte werden darüber hinaus in Subtypen gruppiert. Man kann zum Beispiel Inhaltstypen für Artikel und Seiten im Inhaltstyp der Hauptseite haben und zudem Tag- und Kategorie-Vokabulare innerhalb des Entitätstypen des Taxonomiebegriffs. Andere Entitätstypen, wie Benutzerkontos, haben keine Subtypen. Programmierer benutzen den Begriff <em>Subtyp</em> für Subtypen von Entitäten.","","False","","",""
"modules/system/system.install:813","Some modules have database schema updates to install. You should run the <a href="":update"">database update script</a> immediately.","Einige Module müssen Änderungen an der Datenbank vornehmen. Das <a href="":update"">Datenbankaktualisierungsskript</a> sollte umgehend ausgeführt werden.","","False","","",""
"modules/jsonapi/jsonapi.install:24;50","Some multilingual features currently do not work well with JSON:API. See the <a href="":jsonapi-docs"">JSON:API multilingual support documentation</a> for more information on the current status of multilingual support.","","","False","","",""
"modules/help_topics/help_topics/system.cache.html.twig:5","Some of the calculations that are done when your site loads a page take a long time to run. To save time when these calculations would need to be done again, their results can be <em>cached</em> in your site's database. There are internal mechanisms to <em>clear</em> cached data when the conditions or assumptions that went into the calculation have changed, but you can also clear cached data manually. When your site is misbehaving, a good first step is to clear the cache and see if the problem goes away.","","","False","","",""
"modules/help_topics/help_topics/filter.overview.html.twig:8","Some of the more commonly used text filters are:","","","False","","",""
"modules/system/src/Controller/DbUpdateController.php:340","Some of the pending updates cannot be applied because their dependencies were not met.","Manche der anstehenden Aktualisierungen können nicht angewendet werden, da die Voraussetzungen nicht erfüllt sind.","","False","","",""
"modules/system/src/Form/ModulesListConfirmForm.php:81","Some required modules must be enabled","Benötigte Module müssen aktiviert werden.","","False","","",""
"modules/node/node.views.inc:30","Some roles lack permission to access content, but display %display has no access control.","Einigen Rollen fehlt die Berechtigung zum Zugriff auf Inhalte, aber Ansicht @display hat keine Zugriffssteuerung.","","False","","",""
"modules/search/search.module:70","Some search page plugins, such as the core Content search page, index searchable text using the Drupal core search index, and will not work unless content is indexed. Indexing is done during <em>cron</em> runs, so it requires a <a href="":cron"">cron maintenance task</a> to be set up. There are also several settings affecting indexing that can be configured on the <a href="":search-settings"">Search pages page</a>: the number of items to index per cron run, the minimum word length to index, and how to handle Chinese, Japanese, and Korean characters.","Einige Plugins für die Suchseite, wie die Seite Inhalte suchen, die mit Drupals Kernsystem ausgeliefert wird, speichern durchsuchbaren Text unter Verwendung des Suchindex, der im Core enthalten ist. Diese funktionieren nicht, solange noch keine Inhalte indexiert wurden. Die Indexierung geschieht während <em>Corn</em>-Wartungsläufen. Deshalb wird eine <a href="":cron"">Cron-Wartungsaufgabe</a> benötigt, um  diese Plug-ins funktionsfähig zu halten. Es gibt ausserdem mehrere Einstellungen, die die Indexierung beeinflussen. Diese können auf der Seite <a href="":search-settings"">Suchseiten</a> konfiguriert werden. Dazu gehören: Die Anzahl der Einträge, die pro Cron-Lauf erfasst werden, Die minimale Wortlänge die indiziert werden soll und wie chinesische, japanische und Koreanische Buchstaben behandelt werden sollen.","","False","","",""
"modules/media/src/Plugin/Validation/Constraint/OEmbedResourceConstraint.php:34","Sorry, the @name provider is not allowed.","Entschuldigung, der Anbieter @name ist nicht erlaubt.","","False","","",""
"modules/views_ui/config/optional/tour.tour.views-ui.yml:0","Sort Criteria","Sortierkriterium","","False","","",""
"modules/views_ui/config/optional/tour.tour.views-ui.yml:0","Sort actions","Sortieraktionen","","False","","",""
"modules/views/src/Plugin/views/sort/SortPluginBase.php:191","Sort ascending","Aufsteigend sortieren","","False","","",""
"profiles/demo_umami/config/optional/views.view.media.yml:0","Sort by","Sortieren nach","","False","","",""
"modules/comment/src/CommentViewsData.php:190","Sort by the threaded order. This will keep child comments together with their parents.","Nach der gruppierten Reihenfolge sortieren. Dies wird die Unterkommentare mit ihren Eltern zusammenlassen.","","False","","",""
"modules/views/src/Plugin/views/area/DisplayLink.php:133","Sort criteria","Sortierkriterium","","False","","",""
"modules/views/src/Views.php:451","Sort criterion","Sortierkriterien","","False","","",""
"modules/views/src/Plugin/views/sort/SortPluginBase.php:192","Sort descending","Absteigend sortieren","","False","","",""
"lib/Drupal/Core/Entity/Plugin/EntityReferenceSelection/DefaultSelection.php:256","Sort direction","Sortierrichtung","","False","","",""
"modules/views/src/Plugin/views/sort/SortPluginBase.php:217","Sort field identifier","","","False","","",""
"modules/views/src/Plugin/views/argument/ArgumentPluginBase.php:636","Sort order","Sortierreihenfolge","","False","","",""
"config/schema/core.data_types.schema.yml:0","Sort settings","Sortiereinstellungen","","False","","",""
"modules/views_ui/views_ui.theme.inc:406","Sortable","Sortierbar","","False","","",""
"modules/views/src/Plugin/views/style/Table.php:287","Sortable for @field","Sortierbar über @field","","False","","",""
"modules/views/config/schema/views.data_types.schema.yml:0;0","Sorts","Sortierungen","","False","","",""
"modules/media/config/schema/media.schema.yml:0","Source","Quelle","","False","","",""
"modules/ckeditor5/config/schema/ckeditor5.schema.yml:0","Source Editing","","","False","","",""
"modules/ckeditor5/src/Plugin/Validation/Constraint/SourceEditingPreventSelfXssConstraint.php:9","Source Editing should never allow self-XSS.","","","False","Validation","",""
"modules/migrate_drupal_ui/src/Batch/MigrateUpgradeImportBatch.php:364","Source ID @source_id: @message","Quell-ID @source_id: @message","","False","","",""
"modules/ckeditor/src/Plugin/CKEditorPlugin/Internal.php:310","Source code","Quelltext","","False","","",""
"modules/migrate_drupal_ui/src/Form/CredentialForm.php:112","Source database","Quelldatenbank","","False","","",""
"modules/migrate_drupal_ui/src/Form/CredentialForm.php:245","Source database does not contain a recognizable Drupal version.","Die Quelldatenbank enthält keine unterstützte Drupal-Version.","","False","","",""
"modules/migrate_drupal_ui/src/Form/CredentialForm.php:248","Source database is Drupal version @version but version @selected was selected.","Die Quellendatenbank weist die Drupal-Version @version auf, aber Version @selected wurde ausgewählt.","","False","","",""
"modules/ckeditor5/src/Plugin/Validation/Constraint/SourceEditingRedundantTagsConstraint.php:9","Source editing should only use otherwise unavailable tags and attributes","","","False","Validation","",""
