"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"embed.module:33","A CKEditor button with ID %id already exists.","Ein CKEditor-Button mit der ID %id existiert bereits.","","False","","",""
"src/Form/EmbedButtonForm.php:90","A unique machine-readable name for this embed button. It must only contain lowercase letters, numbers, and underscores.","Ein einzigartiger Systemname für diesen Einbetten-Button. Der Name darf nur Kleinbuchstaben, Ziffern und Unterstriche enthalten.","","False","","",""
"embed.routing.yml:0","Add embed button","Einbetten-Button hinzufügen","","False","","",""
"src/Form/EmbedButtonForm.php:228","Added embed button %label.","Einbetten-Button %label hinzugefügt.","","False","","",""
"embed.permissions.yml:0","Administer embed buttons","Einbetten-Button für Textedtoren verwalten.","","False","","",""
"config/schema/embed.schema.yml:0","Base-64 encoded image contents","","","False","","",""
"src/Form/EmbedButtonForm.php:132","Button icon","Symbol des Buttons","","False","","",""
"src/Form/EmbedButtonForm.php:149","Current icon preview","","","False","","",""
"embed.routing.yml:0","Delete embed button","Einbetten-Button löschen","","False","","",""
"config/schema/embed.schema.yml:0","Deprecated icon image file entity UUID","","","False","","",""
"embed.routing.yml:0","Edit embed button","Einbetten-Button bearbeiten","","False","","",""
"embed.info.yml:0","Embed","Einbetten","","False","","",""
"src/Entity/EmbedButton.php:11","Embed button","Einbetten-Button","","False","","",""
"embed.routing.yml:0","Embed buttons","Einbetten-Buttons","","False","","",""
"config/schema/embed.schema.yml:0","Embed settings","Embed-Einstellungen","","False","","",""
"src/Form/EmbedButtonForm.php:95","Embed type","Einbettungstyp","","False","","",""
"config/schema/embed.schema.yml:0","Embed type plugin ID","Einbettungstyp-Plugin-ID","","False","","",""
"config/schema/embed.schema.yml:0","Embed type settings","Einbettungstyp-Einstellungen","","False","","",""
"src/Form/EmbedSettingsForm.php:78","File directory","Dateiverzeichnis","","False","","",""
"config/schema/embed.schema.yml:0","File scheme for button icons","Dateitypen-Button-Symbole","","False","","",""
"embed.info.yml:0","Filters","","","False","","",""
"src/EmbedButtonListBuilder.php:21","Icon","","","False","","",""
"src/EmbedButtonListBuilder.php:39","Icon for the @label button.","Symbol für den Button @label.","","False","","",""
"config/schema/embed.schema.yml:0","Image file URI","","","False","","",""
"config/schema/embed.schema.yml:0","Image icon data","","","False","","",""
"src/Form/EmbedButtonForm.php:74","Label","Beschriftung","","False","","",""
"embed.links.task.yml:0","List","Liste","","False","","",""
"config/schema/embed.schema.yml:0","Machine name","Systemname","","False","","",""
"embed.links.menu.yml:0","Manage text editor embed buttons.","Einbetten-Button für Textedtoren verwalten.","","False","","",""
"config/schema/embed.schema.yml:0","Name","","","False","","",""
"src/Form/EmbedButtonForm.php:106","No embed types found.","Keine Einbindungstypen gefunden.","","False","","",""
"src/EmbedButtonListBuilder.php:43","None","Keine","","False","","",""
"src/Form/EmbedSettingsForm.php:80","Optional subdirectory within the upload destination where files will be stored. Do not include preceding or trailing slashes.","Optionales Unterverzeichnis im Zielverzeichnis des Uploads, in dem Dateien gespeichert werden. Keine Schrägstriche voranstellen oder anhängen.","","False","","",""
"src/Form/EmbedButtonForm.php:154","Preview of @label button icon","","","False","","",""
"embed.info.yml:0","Provides a framework for different types of embeds in text editors.","Stellt ein Framework für verschiedene Arten von Button zum Einbetten verschiedener Medien in Texteditoren bereit.","","False","","",""
"src/Form/EmbedButtonForm.php:143","Reset to default icon","","","False","","",""
"src/Form/EmbedSettingsForm.php:73","Select where the uploaded button icon files should be stored.","Den Speicherort der über den Button hochgeladenen Dateien zu wählen.","","False","","",""
"embed.routing.yml:0","Settings","Einstellungen","","False","","",""
"embed.links.menu.yml:0","Text editor embed buttons","Buttons zum Einbetten von Entitäten für den Texteditor","","False","","",""
"embed.module:105","The %filter-label filter must be enabled to use the %button button.","","","False","","",""
"src/Form/EmbedButtonForm.php:227","The embed button %label has been added.","Der Einbetten-Button %label wurde hinzugefügt.","","False","","",""
"src/Form/EmbedButtonForm.php:223","The embed button %label has been updated.","Der Einbetten-Button %label wurde aktualisiert.","","False","","",""
"embed.post_update.php:30","The embed button @label had an uploaded icon image file with UUID @uuid, but it no longer exists in the database. It has been reverted back to the default button icon and you may wish to re-upload a new version.","","","False","","",""
"src/Form/EmbedButtonForm.php:77","The human-readable name of this embed button. This text will be displayed when the user hovers over the CKEditor button. This name must be unique.","der für Menschen lesbare Name des Einbetten-Buttons. Dieser Text wird angezeigt, wenn der Benutzer den Mauszeiger über den CKEditor-Button hält. Der Name muss einzigartig sein.","","False","","",""
"src/Entity/EmbedButton.php:101","Unknown","Unbekannt","","False","","",""
"src/Form/EmbedButtonForm.php:224","Updated embed button %label.","","","False","","",""
"src/Form/EmbedSettingsForm.php:70","Upload destination","Ziel beim Hochladen","","False","","",""
"config/schema/embed.schema.yml:0","Upload directory for button icons","Verzeichnis für hochgeladen Button-Symbole für Einbetten-Button","","False","","",""
