"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/example/config/install/views.view.nodes_entity_browser.yml:0;0",",","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","'- All -'","","","False","","",""
"modules/entity_form/entity_browser_entity_form.module:176","'- None -'","'- Keine -'","","False","","",""
"src/Plugin/EntityBrowser/Widget/View.php:270","'- Select a view -'","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:340","'@name field is required.'","","","False","","",""
"src/Plugin/EntityBrowser/Widget/View.php:262","'@view : @display'","","","False","","",""
"src/Plugin/views/argument_default/EntityBrowserWidgetContext.php:82","AND","","","False","","",""
"entity_browser.module:24","About","","","False","","",""
"src/Plugin/EntityBrowser/Widget/Upload.php:176","Accept multiple files","","","False","","",""
"src/Permissions.php:54","Access @name pages","","","False","","",""
"src/Permissions.php:55","Access pages that %browser uses to operate.","","","False","","",""
"src/Form/EntityBrowserForm.php:180","Access to the widget forbidden.","","","False","","",""
"src/Form/WidgetsConfig.php:108","Actions","","","False","","",""
"entity_browser.routing.yml:0","Add Entity browser","","","False","","",""
"entity_browser.views.inc:19;43","Add a form element that lets you use a view as a base to select entities in entity browser.","","","False","","",""
"src/Form/WidgetsConfig.php:84","Add widget plugin","","","False","","",""
"src/Plugin/EntityBrowser/Widget/Upload.php:16","Adds an upload field browser's widget.","","","False","","",""
"entity_browser.permissions.yml:0","Administer entity browsers","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Allow multiple uploads","","","False","","",""
"src/Plugin/EntityBrowser/Widget/MediaImageUpload.php:100","Allowed extensions","","","False","","",""
"src/Plugin/EntityBrowser/Widget/Upload.php:182","Allowed file extensions","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:347","Alternative text","","","False","","",""
"src/Controllers/EntityBrowserController.php:89","An edit form couldn't be found.","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:743","Append","","","False","","",""
"src/Element/EntityBrowserElement.php:106","Append to selection","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Apply","","","False","","",""
"src/Form/EntityBrowserDeleteForm.php:17","Are you sure you want to delete entity browser %label?","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Asc","","","False","","",""
"modules/example/config/install/field.field.node.entity_browser_test.field_files.yml:0","Attach files. Click on the link below and pick or upload them.","","","False","","",""
"modules/example/config/install/field.field.node.entity_browser_test.field_files1.yml:0","Attach files. Click on the link below and upload them.","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Authored on","","","False","","",""
"config/schema/entity_browser.schema.yml:0;0","Auto open","","","False","","",""
"src/Plugin/EntityBrowser/Display/IFrame.php:265","Auto open entity browser","","","False","","",""
"src/Plugin/EntityBrowser/SelectionDisplay/MultiStepDisplay.php:512","Automatically select submission after upload, this will only work if your form does not require any other input besides the image.","","","False","","",""
"src/Plugin/EntityBrowser/SelectionDisplay/MultiStepDisplay.php:510","Automatically select submissions","","","False","","",""
"src/WidgetBase.php:220","Automatically submit selection","","","False","","",""
"modules/example/config/install/field.field.node.entity_browser_test.body.yml:0","Body","","","False","","",""
"modules/entity_form/src/Plugin/EntityBrowser/Widget/EntityForm.php:188","Bundle","","","False","","",""
"modules/entity_form/config/schema/entity_browser_entity_form.schema.yml:0","Bundle ID","","","False","","",""
"src/Plugin/EntityBrowser/WidgetValidation/Cardinality.php:10","Cardinality validator","","","False","","",""
"src/Plugin/EntityBrowser/WidgetSelector/DropDown.php:54","Change","","","False","","",""
"src/Plugin/EntityBrowser/Widget/Upload.php:105","Choose a file","","","False","","",""
"src/Form/EntityBrowserEditForm.php:317","Choose here how the entity browser should be presented to the end user.","","","False","","",""
"modules/example/config/install/field.field.node.entity_browser_test.field_nodes.yml:0","Click on the link below and pick related content.","","","False","","",""
"src/Plugin/views/argument_default/EntityBrowserWidgetContext.php:78","Conjunction to use when handling multiple values. NOTE: for multiple values to work, at the bottom of this form expand the ""More"" fieldset and and check ""Allow multiple values"".","","","False","","",""
"src/Plugin/views/argument_default/EntityBrowserWidgetContext.php:65","Context key","","","False","","",""
"entity_browser.permissions.yml:0","Create and modify entity browsers for generating browsing, creating and selecting entities.","","","False","","",""
"modules/example/config/install/views.view.files_entity_browser.yml:0","Created","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Created on","","","False","","",""
"src/Plugin/EntityBrowser/WidgetSelector/Tabs.php:8","Creates horizontal tabs on the top of the entity browser, each tab representing one available widget.","","","False","","",""
"src/Plugin/EntityBrowser/FieldWidgetDisplay/RenderedEntity.php:114","Default","","","False","","",""
"src/Form/WidgetsConfig.php:138","Delete","Löschen","","False","","",""
"src/Form/EntityBrowserDeleteForm.php:27","Delete Entity Browser","","","False","","",""
"entity_browser.routing.yml:0","Delete Entity browser","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Desc","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:338","Description","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:262","Determines how selection in entity browser will be handled. Will selection be appended/prepended or it will be replaced in case of editing.","","","False","","",""
"src/Form/EntityBrowserEditForm.php:122","Display","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:234","Display Edit button","","","False","","",""
"src/Form/EntityBrowserEditForm.php:151","Display Plugin settings","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:241","Display Remove button","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:247","Display Replace button","","","False","","",""
"src/Form/EntityBrowserEditForm.php:135","Display plugin","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Display plugin ID","","","False","","",""
"src/Plugin/views/display/EntityBrowser.php:9","Displays a view as Entity browser widget.","","","False","","",""
"src/Plugin/EntityBrowser/FieldWidgetDisplay/EntityLabel.php:13","Displays entity with a label.","","","False","","",""
"src/Plugin/EntityBrowser/FieldWidgetDisplay/RenderedEntity.php:14","Displays fully rendered entity.","","","False","","",""
"src/Plugin/EntityBrowser/FieldWidgetDisplay/ImageThumbnail.php:15","Displays image files as thumbnails","","","False","","",""
"src/Plugin/EntityBrowser/WidgetSelector/Single.php:8","Displays only the first configured widget. Use this if you plan to have only one widget available.","","","False","","",""
"src/Plugin/EntityBrowser/Display/Standalone.php:9","Displays the entity browser as a standalone form. Only intended for testing or very specific use cases.","","","False","","",""
"src/Plugin/EntityBrowser/Display/Modal.php:16","Displays the entity browser in a modal window.","","","False","","",""
"src/Plugin/EntityBrowser/Display/IFrame.php:24","Displays the entity browser in an iFrame container embedded into the main page.","","","False","","",""
"src/Plugin/EntityBrowser/WidgetSelector/DropDown.php:8","Displays the widgets in a drop down.","","","False","","",""
"src/Plugin/EntityBrowser/WidgetSelector/DropDown.php:8","Drop down widget","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:368","Edit","","","False","","",""
"src/Controllers/EntityBrowserController.php:76","Edit @entity","","","False","","",""
"entity_browser.routing.yml:0","Edit Entity Browser","","","False","","",""
"src/Controllers/EntityBrowserListBuilder.php:52","Edit Widgets","","","False","","",""
"src/Element/EntityBrowserElement.php:108","Edit selection","","","False","","",""
"entity_browser.module:32","Embedding entities into wysiwyg","","","False","","",""
"src/Plugin/EntityBrowser/Display/Modal.php:173","Empty value for responsive height.","","","False","","",""
"src/Plugin/EntityBrowser/Display/Modal.php:167","Empty value for responsive width.","","","False","","",""
"config/schema/entity_browser.schema.yml:0;0","Entity Browser","","","False","","",""
"src/Plugin/views/argument_default/EntityBrowserWidgetContext.php:10","Entity Browser Context","","","False","","",""
"modules/entity_form/entity_browser_entity_form.info.yml:0","Entity Browser IEF","","","False","","",""
"entity_browser.views.inc:28","Entity Browser Target Bundles","","","False","","",""
"src/Form/EntityBrowserEditForm.php:111","Entity Browser creation instructions","","","False","","",""
"modules/example/entity_browser_example.info.yml:0","Entity Browser example","","","False","","",""
"src/Plugin/views/display/EntityBrowser.php:92","Entity Browser requires Views to use AJAX.","","","False","","",""
"config/schema/entity_browser.views.schema.yml:0","Entity Browser select","","","False","","",""
"entity_browser.routing.yml:0","Entity Browsers","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Entity browser","","","False","","",""
"src/Form/EntityBrowserDeleteForm.php:41","Entity browser %label was deleted.","","","False","","",""
"src/Element/EntityBrowserElement.php:181","Entity browser @browser not found.","","","False","","",""
"entity_browser.views.inc:18","Entity browser bulk select form","","","False","","",""
"entity_browser.views.inc:42","Entity browser bulk select form for Search API views","","","False","","",""
"entity_browser.module:29","Entity browser comes with an example module that can be used as a starting point.","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Entity browser display options","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Entity browser entity reference widget","","","False","","",""
"modules/example/entity_browser_example.info.yml:0","Entity browser example module.","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Entity browser file widget","","","False","","",""
"modules/entity_form/entity_browser_entity_form.info.yml:0","Entity browser inline entity form integration.","","","False","","",""
"src/Plugin/EntityBrowser/SelectionDisplay/MultiStepDisplay.php:456","Entity browser itself does not need information about entity type being selected. It can actually select entities of different type. However, some of the display plugins need to know which entity type they are operating with. Display plugins that do not need this info will ignore this configuration value.","","","False","","",""
"src/Element/EntityBrowserElement.php:181","Entity browser not found.","","","False","","",""
"src/Plugin/EntityBrowser/Widget/View.php:120","Entity browser select form field not found on a view. <a href="":link"">Go fix it</a>!","","","False","","",""
"src/Plugin/EntityBrowser/Widget/View.php:125","Entity browser select form field not found on a view. Go fix it!","","","False","","",""
"modules/example/config/install/node.type.entity_browser_test.yml:0","Entity browser test","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:761","Entity browser: @browser","","","False","","",""
"modules/entity_form/entity_browser_entity_form.module:199","Entity browser: @entity_browser.","","","False","","",""
"entity_browser.links.menu.yml:0","Entity browsers","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:178","Entity display plugin","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:192","Entity display plugin configuration","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:319","Entity display: @name","","","False","","",""
"modules/entity_form/src/Plugin/EntityBrowser/Widget/EntityForm.php:18","Entity form","","","False","","",""
"modules/entity_form/config/schema/entity_browser_entity_form.schema.yml:0","Entity form widget configuration","","","False","","",""
"src/Plugin/EntityBrowser/FieldWidgetDisplay/EntityLabel.php:13","Entity label","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Entity label display config","","","False","","",""
"src/Plugin/EntityBrowser/SelectionDisplay/MultiStepDisplay.php:455","Entity type","","","False","","",""
"modules/entity_form/config/schema/entity_browser_entity_form.schema.yml:0","Entity type ID","","","False","","",""
"src/Plugin/EntityBrowser/WidgetValidation/EntityType.php:7","Entity type validator","","","False","","",""
"entity_browser.module:30","Example use cases","","","False","","",""
"src/Plugin/views/argument_default/EntityBrowserWidgetContext.php:71","Fallback value","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Field widget display","","","False","","",""
"config/schema/entity_browser.schema.yml:0;0","Field widget edit","","","False","","",""
"config/schema/entity_browser.schema.yml:0;0","Field widget remove","","","False","","",""
"config/schema/entity_browser.schema.yml:0;0","Field widget replace","","","False","","",""
"modules/example/config/install/views.view.files_entity_browser.yml:0","File size","","","False","","",""
"src/Plugin/EntityBrowser/WidgetValidation/File.php:9","File validator","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:161","File view mode","","","False","","",""
"modules/example/config/install/views.view.files_entity_browser.yml:0","Filename","","","False","","",""
"modules/example/config/install/field.field.node.entity_browser_test.field_files1.yml:0","Files","","","False","","",""
"modules/example/config/install/field.field.node.entity_browser_test.field_files_over_ajax.yml:0","Files (with auto loading)","","","False","","",""
"modules/example/config/install/views.view.files_entity_browser.yml:0","Files entity browser","","","False","","",""
"modules/example/config/install/entity_browser.browser.test_files_ajax.yml:0","Files listing","","","False","","",""
"src/Form/WidgetsConfig.php:106","Form","","","False","","",""
"modules/entity_form/config/schema/entity_browser_entity_form.schema.yml:0","Form display mode ID","","","False","","",""
"modules/entity_form/src/Plugin/EntityBrowser/Widget/EntityForm.php:199","Form mode","","","False","","",""
"entity_browser.module:28","General","","","False","","",""
"entity_browser.links.task.yml:0","General Settings","","","False","","",""
"src/Plugin/EntityBrowser/Display/IFrame.php:283","Height must be greater than 0.","","","False","","",""
"src/Plugin/EntityBrowser/Display/IFrame.php:252","Height of the iFrame","","","False","","",""
"src/Plugin/EntityBrowser/Display/Modal.php:171","Height of the modal","","","False","","",""
"js/entity_browser.multi_step_display.js:0","Hide selected","","","False","","",""
"src/Controllers/EntityBrowserListBuilder.php:24","ID","","","False","","",""
"modules/entity_form/config/schema/entity_browser_entity_form.schema.yml:0","ID of entity browser to be used as replacement for autocomplete field","","","False","","",""
"modules/entity_form/config/schema/entity_browser_entity_form.schema.yml:0","IEF entity browser existing functionality","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:255","If marked, the fieldset container that wraps the browser on the entity form will be loaded initially expanded.","","","False","","",""
"src/Plugin/views/field/SelectForm.php:90","If the view is used in a context where cardinality is 1, use radios instead of checkboxes.","","","False","","",""
"modules/example/config/install/field.field.node.entity_browser_test.field_image_browser.yml:0","Image","","","False","","",""
"src/Plugin/EntityBrowser/FieldWidgetDisplay/ImageThumbnail.php:100","Image style","","","False","","",""
"src/Plugin/EntityBrowser/FieldWidgetDisplay/ImageThumbnail.php:15","Image thumbnail","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Image thumbnail display config","","","False","","",""
"src/Form/EntityBrowserEditForm.php:322","In the last step of the entity browser configuration you can decide how the widgets will be available to the editor.","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:332","Include file in display","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Items per page","","","False","","",""
"src/Form/EntityBrowserEditForm.php:94","Label","","","False","","",""
"src/Form/WidgetsConfig.php:130","Label (%label)","","","False","","",""
"src/Form/EntityBrowserEditForm.php:97","Label for the Entity Browser.","","","False","","",""
"src/Plugin/EntityBrowser/Display/IFrame.php:259","Link text","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Machine name","","","False","","",""
"entity_browser.links.menu.yml:0","Manage entity browsers.","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Master","","","False","","",""
"modules/example/entity_browser_example.info.yml:0","Media","","","False","","",""
"src/Plugin/EntityBrowser/Widget/MediaImageUpload.php:124","Media type","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:254","Metadata","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:764;765","Missing entity browser!","","","False","","",""
"src/Plugin/EntityBrowser/Display/Modal.php:16","Modal","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Modal display configuration","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Modal height","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Modal width","","","False","","",""
"src/Plugin/EntityBrowser/SelectionDisplay/MultiStepDisplay.php:16","Multi step selection display","","","False","","",""
"src/Plugin/EntityBrowser/Widget/Upload.php:178","Multiple uploads will only be accepted if the source field allows more than one value.","","","False","","",""
"src/Plugin/views/argument_default/EntityBrowserWidgetContext.php:77","Multiple values","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Multistep display configuration","","","False","","",""
"src/Controllers/EntityBrowserListBuilder.php:25","Name","","","False","","",""
"src/Element/EntityBrowserPagerElement.php:77","Next ›","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:757","No entity browser selected.","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:232","No files yet","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:198","No preview image","","","False","","",""
"src/Plugin/EntityBrowser/SelectionDisplay/NoDisplay.php:8","No selection display","","","False","","",""
"src/Form/EntityBrowserForm.php:161","No widgets are available.","","","False","","",""
"modules/example/config/install/entity_browser.browser.test_nodes.yml:0","Node listing","","","False","","",""
"modules/example/config/install/field.field.node.entity_browser_test.field_nodes.yml:0","Nodes","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Nodes entity browser","","","False","","",""
"src/Plugin/views/argument_default/EntityBrowserWidgetContext.php:81","OR","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Offset","","","False","","",""
"config/schema/entity_browser.schema.yml:0;0","Open","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:255","Operations","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:256","Order","","","False","Sort order","",""
"src/Element/EntityBrowserPagerElement.php:71","Page @page","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Page path","","","False","","",""
"src/Plugin/EntityBrowser/Display/Standalone.php:27","Path","","","False","","",""
"src/Plugin/EntityBrowser/Display/IFrame.php:247","Positive integer for absolute size or a relative size in percentages.","","","False","","",""
"entity_browser.module:31","Powerfull entity reference widget","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:743","Prepend","","","False","","",""
"src/Element/EntityBrowserElement.php:107","Prepend selection","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:245","Preview","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:169","Preview image style","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:195","Preview image style: @style","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:190","Preview with @view_mode","","","False","","",""
"entity_browser.info.yml:0","Provide a generic entity browser/picker/selector.","","","False","","",""
"modules/entity_form/src/Plugin/EntityBrowser/Widget/EntityForm.php:18","Provides entity form widget.","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:399","Remove","","","False","","",""
"src/Plugin/EntityBrowser/FieldWidgetDisplay/RenderedEntity.php:14","Rendered entity","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Rendered entity display config","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:382","Replace","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Reset","","","False","","",""
"src/Form/WidgetsConfig.php:164","Save","Speichern","","False","","",""
"modules/entity_form/src/Plugin/EntityBrowser/Widget/EntityForm.php:91","Save entity","","","False","","",""
"src/Form/WidgetsConfig.php:62","Select a widget to add it","","","False","","",""
"src/Plugin/EntityBrowser/SelectionDisplay/MultiStepDisplay.php:496","Select button text","","","False","","",""
"modules/example/config/install/entity_browser.browser.test_nodes.yml:0","Select entities","","","False","","",""
"modules/example/config/install/entity_browser.browser.test_files_ajax.yml:0","Select files","","","False","","",""
"src/Plugin/EntityBrowser/FieldWidgetDisplay/ImageThumbnail.php:101","Select image style to be used to display thumbnails.","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Select text","","","False","","",""
"src/Plugin/views/field/SelectForm.php:154","Select this item","","","False","","",""
"src/Plugin/EntityBrowser/FieldWidgetDisplay/RenderedEntity.php:130","Select view mode to be used when rendering entities.","","","False","","",""
"src/Form/EntityBrowserEditForm.php:221","Selection Display","","","False","","",""
"src/Form/EntityBrowserEditForm.php:250","Selection Display Plugin settings","","","False","","",""
"src/Form/EntityBrowserEditForm.php:234","Selection display plugin","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Selection display plugin ID","","","False","","",""
"src/Plugin/EntityBrowser/SelectionDisplay/MultiStepDisplay.php:503","Selection hidden by default","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:261","Selection mode","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:772","Selection mode: @selection_mode","","","False","","",""
"src/Plugin/EntityBrowser/Widget/Upload.php:183","Separate extensions with a space or comma and do not include the leading dot.","","","False","","",""
"src/Plugin/EntityBrowser/SelectionDisplay/MultiStepDisplay.php:171","Show selected","","","False","","",""
"src/Plugin/Field/FieldWidget/EntityReferenceBrowserWidget.php:254","Show widget details as open by default","","","False","","",""
"src/Plugin/EntityBrowser/SelectionDisplay/MultiStepDisplay.php:16","Shows the current selection display, allowing to mix elements selected through different widgets in several steps.","","","False","","",""
"src/Plugin/EntityBrowser/WidgetSelector/Single.php:8","Single widget","","","False","","",""
"templates/html--entity-browser--iframe.html.twig:42","Skip to main content","","","False","","",""
"src/Plugin/EntityBrowser/SelectionDisplay/NoDisplay.php:8","Skips the current selection display and immediately delivers the entities selected.","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Sort by","","","False","","",""
"config/schema/entity_browser.schema.yml:0","Standalone display configuration","","","False","","",""
"src/Plugin/EntityBrowser/Display/Standalone.php:9","Standalone form","","","False","","",""
"modules/example/config/install/views.view.nodes_entity_browser.yml:0","Status","","","False","","",""
"src/WidgetBase.php:212","Submit button text","","","False","","",""
"src/Plugin/EntityBrowser/WidgetSelector/Tabs.php:8","Tabs","","","False","","",""
"modules/example/config/install/entity_browser.browser.test_files1.yml:0","Test entity browser for files","","","False","","",""
"modules/example/config/install/entity_browser.browser.test_files_ajax.yml:0","Test entity browser for files (with auto loading)","","","False","","",""
"modules/example/config/install/entity_browser.browser.test_nodes.yml:0","Test entity browser for nodes","","","False","","",""
"modules/example/config/install/node.type.entity_browser_test.yml:0","Testing entity browser.","","","False","","",""
"src/Plugin/EntityBrowser/SelectionDisplay/MultiStepDisplay.php:498","Text to display on the entity browser select button.","","","False","","",""
"src/Plugin/EntityBrowser/Widget/View.php:193","The @type Entity @id does not exist.","","","False","","",""
"entity_browser.module:25","The Entity Browser module provides a generic entity browser/picker/selector. It can be used in any context where one needs to select a few entities and do something with them. For more information, see the online documentation for <a href="":entity_browser-documentation"">Entity Browser</a>.","","","False","","",""
"src/Plugin/EntityBrowser/Widget/View.php:201","The Entity Type @type does not exist.","","","False","","",""
"src/Plugin/EntityBrowser/Display/Standalone.php:74","The Path field must begin with a forward slash.","","","False","","",""
"src/Form/WidgetsConfig.php:68","The available plugins are:","","","False","","",""
"src/Plugin/EntityBrowser/Widget/MediaImageUpload.php:42","The configured media type is not using the image plugin.","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:342","The description may be used as the label of the link to the file.","","","False","","",""
"src/Form/EntityBrowserEditForm.php:468","The entity browser %name has been added. Now you may configure the widgets you would like to use.","","","False","","",""
"src/Form/WidgetsConfig.php:230","The entity browser %name has been updated.","","","False","","",""
"src/Plugin/views/argument_default/EntityBrowserWidgetContext.php:72","The fallback value to use when the context is not present. (ex: ""all"")","","","False","","",""
"entity_browser.module:159","The image exceeds the maximum allowed dimensions.","","","False","","",""
"entity_browser.module:168","The image is too small; the minimum dimensions are %dimensions pixels.","","","False","","",""
"entity_browser.module:156","The image was resized to fit within the maximum allowed dimensions of %dimensions pixels.","","","False","","",""
"src/Plugin/views/argument_default/EntityBrowserWidgetContext.php:66","The key within the widget context.","","","False","","",""
"src/Plugin/EntityBrowser/Widget/Upload.php:211","The list of allowed extensions is not valid, be sure to exclude leading dots and to separate extensions with a comma or space.","","","False","","",""
"src/Plugin/EntityBrowser/Widget/MediaImageUpload.php:38","The media type is not configured correctly.","","","False","","",""
"src/Plugin/EntityBrowser/Display/Standalone.php:29","The path at which the browser will be accessible. Must begin with a forward slash.","","","False","","",""
"src/Plugin/Field/FieldWidget/FileBrowserWidget.php:173","The preview image will be shown while editing the content. Only relevant if using the default file view mode.","","","False","","",""
