"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Filter/EntityEmbedFilter.php:244","
        <p>You can embed entities. Additional properties can be added to the embed tag like data-caption and data-align if supported. Example:</p>
        <code>&lt;drupal-entity data-entity-type=""node"" data-entity-uuid=""07bf3a2e-1941-4a44-9b02-2d1d7a41ec0e"" data-view-mode=""teaser"" /&gt;</code>","","","False","","",""
"entity_embed.module:21","About","","","False","","",""
"src/Form/EntityEmbedDialog.php:518","Align","","","False","","",""
"src/Plugin/EmbedType/Entity.php:159","Allowed Entity Embed Display plugins","","","False","","",""
"entity_embed.info.yml:0","Allows entities to be embedded using a text editor.","","","False","","",""
"src/Plugin/entity_embed/EntityEmbedDisplay/MediaImageDecorator.php:133","Alternate text","","","False","","",""
"src/Plugin/entity_embed/EntityEmbedDisplay/MediaImageDecorator.php:136","Alternative text is required.<br />(Only in rare cases should this be left empty. To create empty alternative text, enter <code>""""</code> — two double quotes without any content).","","","False","","",""
"entity_embed.module:28","As mentioned above, this module is especially helpful for embedding media in textual content, but it is not necessarily restricted to that; it allows <em>any</em> entity to be embedded. On an e-commerce site, you may want to embed products, on a company blog you may want to embed past projects, and so on.","","","False","","",""
"src/Form/EntityEmbedDialog.php:549","Back","Zurück","","False","","",""
"config/schema/entity_embed.schema.yml:0","Bundle","","","False","","",""
"src/Plugin/EmbedType/Entity.php:149","Bundles","","","False","","",""
"src/Form/EntityEmbedDialog.php:621","Cannot embed @type entity @id because it does not have a UUID.","","","False","","",""
"src/Form/EntityEmbedDialog.php:536","Caption","","","False","","",""
"src/Form/EntityEmbedDialog.php:523","Center","","","False","","",""
"src/Plugin/entity_embed/EntityEmbedDisplay/FileFieldFormatter.php:52","Description","","","False","","",""
"src/Form/EntityEmbedDialog.php:479","Display as","","","False","","",""
"src/Plugin/Filter/EntityEmbedFilter.php:21","Display embedded entities","","","False","","",""
"config/schema/entity_embed.schema.yml:0","Display review step","","","False","","",""
"js/plugins/drupalentity/plugin.js:0","Edit @buttonLabel","","","False","","",""
"src/Plugin/CKEditorPlugin/DrupalEntity.php:43","Edit entity","","","False","","",""
"src/Form/EntityEmbedDialog.php:559","Embed","","","False","","",""
"src/Form/EntityEmbedDialog.php:418","Embed @type","","","False","","",""
"entity_embed.routing.yml:0","Embed entity","","","False","","",""
"js/plugins/drupalentity/plugin.js:0","Embedded @buttonLabel","","","False","","",""
"js/plugins/drupalentity/plugin.js:0","Embedded entity","","","False","","",""
"entity_embed.module:27","Embedding arbitrary content","","","False","","",""
"entity_embed.module:25","Embedding media","","","False","","",""
"src/Plugin/Filter/EntityEmbedFilter.php:21","Embeds entities using data attributes: data-entity-type, data-entity-uuid, and data-view-mode. Should usually run as the last filter, since it does not contain user input.","","","False","","",""
"js/plugins/drupalentity/plugin.js:0","Enter caption here","","","False","","",""
"src/Plugin/EmbedType/Entity.php:18","Entity","","","False","","",""
"entity_embed.info.yml:0","Entity Embed","","","False","","",""
"config/schema/entity_embed.schema.yml:0","Entity Embed Display plugin","","","False","","",""
"src/Plugin/entity_embed/EntityEmbedDisplay/EntityReferenceFieldFormatter.php:16","Entity Reference","","","False","","",""
"src/Plugin/EmbedType/Entity.php:182","Entity browser","","","False","","",""
"src/Plugin/EmbedType/Entity.php:189","Entity browser settings","","","False","","",""
"src/Plugin/EmbedType/Entity.php:183","Entity browser to be used to select entities to be embedded. Only compatible browsers will be available to be chosen.","","","False","","",""
"config/schema/entity_embed.schema.yml:0","Entity embed settings","","","False","","",""
"src/Plugin/EmbedType/Entity.php:133","Entity type","","","False","","",""
"src/Entity/EntityEmbedFakeEntity.php:7","Fake entity type","","","False","","",""
"src/Plugin/entity_embed/EntityEmbedDisplay/FileFieldFormatter.php:7","File","","","False","","",""
"entity_embed.info.yml:0","Filters","","","False","","",""
"src/Plugin/EmbedType/Entity.php:152","If none are selected, all are allowed.","","","False","","",""
"src/Plugin/EmbedType/Entity.php:162","If none are selected, all are allowed. Note that these are the plugins which are allowed for this entity type, all of these might not be available for the selected entity.","","","False","","",""
