"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/EuCookieComplianceConfigForm.php:290","""Accept all categories"" button label","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:276","""Save preferences"" button label","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:653","""Thank you"" banner message","Nachricht des „Vielen Dank“-Banners","","False","","",""
"eu_cookie_compliance.module:691","'%name must be a HEX value (without leading #) or empty.'","'%name muss einem HEX-Wert (ohne vorangestelltes #) entsprechen oder leer sein.'","","False","","",""
"config/install/eu_cookie_compliance.settings.yml:0","<front>","","","False","","",""
"config/install/eu_cookie_compliance.settings.yml:0","<h2>Thank you for accepting cookies</h2><p>You can now hide this message or find out more about cookies.</p>","<h2>Vielen Dank für das Akzeptieren der Cookies</h2><p>Sie können diese Meldung jetzt ausblenden oder mehr über Cookies erfahren.</p>","","False","","",""
"config/install/eu_cookie_compliance.settings.yml:0","<h2>We use cookies on this site to enhance your user experience</h2><p>By clicking the Accept button, you agree to us doing so.</p>","","","False","","",""
"config/install/eu_cookie_compliance.settings.yml:0","<h2>We use cookies on this site to enhance your user experience</h2><p>By tapping the Accept button, you agree to us doing so.</p>","","","False","","",""
"config/install/eu_cookie_compliance.settings.yml:0","<h2>We use cookies on this site to enhance your user experience</h2><p>You have given your consent for us to set cookies.</p>","","","False","","",""
"src/Form/EuCookieComplianceConfigForm.php:339","<span class='eu-cookie-compliance-word-break'>Include the full path of JavaScripts, each on a separate line. When using the opt-in or opt-out consent options, you can block certain JavaScript files from being loaded when consent isn't given. The on-site JavaScripts should be written as root relative paths <strong>without the leading slash</strong>, you can use public://path/to/file.js and private://path/to/file.js, and off-site JavaScripts should be written as complete URLs <strong>with the leading http(s)://</strong>. Note that after the user gives consent, the scripts will be executed in the order you enter here.<br /><br />Libraries and scripts that attach to Drupal.behaviors are supported. To indicate a behavior that needs to be loaded on consent, append the behavior name after the script with a | (vertical bar). If you also want to conditionally load a library, place that as the third parameter, following another | (vertical bar). <strong>Example: modules/custom/custom_module/js/custom.js|customModule|custom_module/custom_module</strong>.<br />If your script file does not attach to Drupal.attributes, you may skip the second parameter. <strong>Example: modules/custom/custom_module/js/custom.js||custom_module/custom_module</strong><br /><strong>Note that Drupal behavior name and library parameters are both optional</strong>, but may be required to achieve your objective.</span>","","","False","","",""
