"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/FacetSettingsForm.php:207","'%plugin settings'","","",FALSE,"","",""
"src/Form/FacetForm.php:301","'%processor settings'","","",FALSE,"","",""
"src/Form/FacetForm.php:139","'%widget settings'","","",FALSE,"","",""
"src/Form/FacetForm.php:131","'%widget widget needs no configuration.'","","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:363","0 days ago","vor 0 Tagen","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:357","0 days hence","","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:384","0 hours ago","vor 0 Stunden","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:378","0 hours hence","","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:406","0 minutes ago","vor 0 Minuten","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:400","0 minutes hence","","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:343","0 months ago","vor 0 Monaten","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:337","0 months hence","","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:429","0 seconds ago","vor 0 Sekunden","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:423","0 secondss hence","","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:374;395;417","1 day","1 Tag","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:362","1 day ago","vor 1 Tag","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:356","1 day hence","","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:396;418","1 hour","1 Stunde","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:383","1 hour ago","vor 1 Stunde","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:377","1 hour hence","","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:419","1 minute","1 Minute","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:405","1 minute ago","vor 1 Minute","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:399","1 minute hence","","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:353;373;394;416","1 month","1 Monat","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:342","1 month ago","vor 1 Monat","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:336","1 month hence","","",FALSE,"","",""
"modules/facets_summary/templates/facets-summary-count.html.twig:11","1 result found","","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:428","1 second ago","vor 1 Sekunde","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:422","1 second hence","","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:333;352;372;393;415","1 year","1 Jahr","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:324","1 year ago","vor 1 Jahr","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:320","1 year hence","","",FALSE,"","",""
"src/Plugin/facets/widget/DropdownWidget.php:9","A configurable widget that shows a dropdown.","","",FALSE,"","",""
"src/Plugin/facets/widget/CheckboxWidget.php:5","A configurable widget that shows a list of checkboxes","","",FALSE,"","",""
"modules/facets_searchbox_widget/src/Plugin/facets/widget/SearchboxCheckboxWidget.php:7","A configurable widget that shows a searchable list of checkboxes","","",FALSE,"","",""
"modules/facets_summary/config/schema/facets_summary.facets_summary.schema.yml:0","A processor","","",FALSE,"","",""
"src/Plugin/facets/widget/LinksWidget.php:11","A simple widget that shows a list of links","","",FALSE,"","",""
"modules/facets_searchbox_widget/src/Plugin/facets/widget/SearchboxLinksWidget.php:7","A simple widget that shows a searchable list of links","","",FALSE,"","",""
"src/Plugin/facets/widget/ArrayWidget.php:9","A widget that builds an array with results. This widget is not supposed to display any results, but it is needed for rest integration.","","",FALSE,"","",""
"modules/facets_range_widget/src/Plugin/facets/widget/RangeSliderWidget.php:7","A widget that shows a range slider.","","",FALSE,"","",""
"modules/facets_range_widget/src/Plugin/facets/widget/SliderWidget.php:9","A widget that shows a slider.","","",FALSE,"","",""
"src/Form/FacetForm.php:437","AND","UND","",FALSE,"","",""
"src/Form/FacetForm.php:438","AND filters are exclusive and narrow the result set. OR filters are inclusive and widen the result set.","","",FALSE,"","",""
"facets.module:30","About","Über","",FALSE,"","",""
"config/schema/facets.processor.schema.yml:0;0","Active widget order","","",FALSE,"","",""
"src/Plugin/facets/processor/DateItemProcessor.php:60","Actual date with granularity","","",FALSE,"","",""
"src/Form/FacetSettingsForm.php:82","Add facet","","",FALSE,"","",""
"modules/facets_summary/facets_summary.links.action.yml:0","Add facet summary","","",FALSE,"","",""
"modules/facets_summary/src/Form/FacetsSummarySettingsForm.php:134","Add facets summary","","",FALSE,"","",""
"modules/facets_range_widget/src/Plugin/facets/processor/RangeSliderProcessor.php:9","Add range results for all the steps between min and max range.","","",FALSE,"","",""
"modules/facets_range_widget/src/Plugin/facets/processor/SliderProcessor.php:10","Add results for all the steps between min and max range.","","",FALSE,"","",""
"src/Plugin/facets/processor/CombineFacetProcessor.php:108","Add that facet's results to this facet's results (union).","","",FALSE,"","",""
"modules/facets_rest/facets_rest.info.yml:0","Adds facets to rest views based on a Search API index.","","",FALSE,"","",""
"modules/facets_summary/src/Plugin/facets_summary/processor/ResetFacetsProcessor.php:12","Adds reset facets link.","","",FALSE,"","",""
"facets.permissions.yml:0","Administer Facets","","",FALSE,"","",""
"src/Form/FacetForm.php:559","Advanced settings","Erweiterte Einstellungen","",FALSE,"","",""
"src/Form/FacetForm.php:512","Always expand hierarchy","","",FALSE,"","",""
"src/Form/FacetSourceEditForm.php:104","Append active facets to breadcrumb","","",FALSE,"","",""
"src/Form/FacetDeleteConfirmForm.php:18","Are you sure you want to delete the facet %name?","","",FALSE,"","",""
"src/Plugin/facets/widget/ArrayWidget.php:9","Array with raw results","","",FALSE,"","",""
"src/Processor/SortProcessorPluginBase.php:24","Ascending","","",FALSE,"","",""
"modules/facets_range_widget/src/Plugin/facets/widget/SliderWidget.php:114;136","Based on search result","","",FALSE,"","",""
"facets.module:36","Below is a list of facets grouped by facetsources they are associated with. A facetsource is the instance where the facet does the actual filtering, for example a View on a Search API index.","","",FALSE,"","",""
"config/schema/facets.blocks.schema.yml:0","Block ID","","",FALSE,"","",""
"src/Plugin/facets/processor/BooleanItemProcessor.php:12","Boolean item label","","",FALSE,"","",""
"config/schema/facets.processor.schema.yml:0","Boolean processor","","",FALSE,"","",""
"src/Form/FacetSourceEditForm.php:100","Breadcrumb","Pfadnavigation","",FALSE,"","",""
"src/Plugin/facets/processor/HierarchyProcessor.php:9","Build hierarchy tree","","",FALSE,"","",""
"src/Processor/ProcessorPluginManager.php:54","Build stage","","",FALSE,"","",""
"src/Plugin/facets/processor/HierarchyProcessor.php:9","Build the tree for facets that use hierarchy..","","",FALSE,"","",""
"src/Form/FacetSettingsForm.php:310","Caching of view %view has been disabled.","","",FALSE,"","",""
"src/Form/FacetForm.php:386","Check this to ensure that only <em>one</em> result at a time can be selected for this facet.","","",FALSE,"","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:112","Check whether the facet is present.","","",FALSE,"","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:113","Check whether the facet is selected / not empty.","","",FALSE,"","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:114","Check whether the facet is set to specific values.","","",FALSE,"","",""
"src/FacetListBuilder.php:50","Clone facet","","",FALSE,"","",""
"src/Form/FacetCloneForm.php:104","Clone the facet to this facet source:","","",FALSE,"","",""
"config/schema/facets.processor.schema.yml:0","Combination mode","","",FALSE,"","",""
"src/Plugin/facets/processor/CombineFacetProcessor.php:99","Combine","","",FALSE,"","",""
"src/Plugin/facets/processor/CombineFacetProcessor.php:14","Combine facets","","",FALSE,"","",""
"config/schema/facets.processor.schema.yml:0","Combine facets processor","","",FALSE,"","",""
"src/Plugin/facets/processor/CombineFacetProcessor.php:14","Combine the results of two or more facets. The raw value of a result item is used to identify a resuls item. It is up to you to ensure that the combination of the result sets makes sense. As the combination bases on the raw calues it makes sense to place this processor on an early position, especially before the URL handler","","",FALSE,"","",""
"config/schema/facets.processor.schema.yml:0","Combine this facet","","",FALSE,"","",""
"src/Plugin/facets/processor/ExcludeSpecifiedItemsProcessor.php:74","Comma separated list of titles or values that should be excluded, matching either an item's title or value.","","",FALSE,"","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:109","Condition mode","","",FALSE,"","",""
"config/schema/facets.facet.schema.yml:0;0","Configuration","Konfiguration","",FALSE,"","",""
"src/FacetListBuilder.php:208","Configure","Konfigurieren","",FALSE,"","",""
"src/Form/FacetSettingsForm.php:142","Configure facet source","","",FALSE,"","",""
"src/Form/FacetForm.php:215","Configure widget","","",FALSE,"","",""
"src/FacetListBuilder.php:304","Core search facets has been moved to a separate project. You need to download and enable this module from @project_link to continue using your core search facets.","","",FALSE,"","",""
"src/Plugin/facets/processor/CountLimitProcessor.php:10","Count limit","","",FALSE,"","",""
"config/schema/facets.processor.schema.yml:0","Count limit widget","","",FALSE,"","",""
"config/schema/facets.processor.schema.yml:0","Count widget order","","",FALSE,"","",""
"src/Plugin/facets/processor/DateItemProcessor.php:76","Create a hierarchical facet instead of a flat list. It is important to also activate ""use hierarchy"" and to select ""date item hierarchy"" as hierarchy type.","","",FALSE,"","",""
"facets.permissions.yml:0","Create and configure Facets for your Search pages.","","",FALSE,"","",""
"facets.links.menu.yml:0","Create and configure facets and configure existing facet sources.","","",FALSE,"","",""
"src/Plugin/facets/query_type/SearchApiDate.php:8","Date","Datum","",FALSE,"","",""
"src/Plugin/facets/processor/DateItemProcessor.php:57","Date display","","",FALSE,"","",""
"src/Plugin/facets/processor/DateItemProcessor.php:81","Date format","Datumsformat","",FALSE,"","",""
"src/Plugin/facets/hierarchy/DateItems.php:7","Date item hierarchy","","",FALSE,"","",""
"src/Plugin/facets/processor/DateItemProcessor.php:11","Date item processor","","",FALSE,"","",""
"src/Plugin/facets/processor/DateItemProcessor.php:42","Day","Tag","",FALSE,"","",""
"src/Plugin/facets/widget/DropdownWidget.php:56","Default option label","","",FALSE,"","",""
"config/schema/facets.widgets.schema.yml:0","Default widget configuration","","",FALSE,"","",""
"src/Form/FacetDeleteConfirmForm.php:32","Delete","Löschen","",FALSE,"","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:14","Dependent facet","","",FALSE,"","",""
"config/schema/facets.processor.schema.yml:0","Dependent facet processor","","",FALSE,"","",""
"src/Processor/SortProcessorPluginBase.php:25","Descending","Absteigend","",FALSE,"","",""
"js/index-active-formatters.js:0","Disabled","Deaktiviert","",FALSE,"","",""
"src/Plugin/facets/processor/BooleanItemProcessor.php:12","Display configurable On/Off labels instead 1/0 values for boolean fields.","","",FALSE,"","",""
"src/Plugin/facets/processor/DateItemProcessor.php:11","Display dates with granularity options for date fields.","","",FALSE,"","",""
"src/Plugin/facets/hierarchy/DateItems.php:7","Display hierarchical dates.","","",FALSE,"","",""
"src/Form/FacetForm.php:448","Display no more than this number of facet items.","","",FALSE,"","",""
"config/schema/facets.processor.schema.yml:0","Display term widget order","","",FALSE,"","",""
"src/Form/FacetForm.php:413","Display text","","",FALSE,"","",""
"src/Plugin/facets/processor/TranslateEntityAggregatedFieldProcessor.php:20","Display the entity label instead of its ID (for example the term name instead of the taxonomy term ID) in aggregated fields.","","",FALSE,"","",""
