"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Commands/FeaturesCommands.php:198","  @methods","","","False","","",""
"src/Commands/FeaturesCommands.php:654","(missing from active)","","","False","","",""
"src/Commands/FeaturesCommands.php:661","(not exported)","","","False","","",""
"modules/features_ui/src/Form/AssignmentConfigureForm.php:227","'--New--'","","","False","","",""
"modules/features_ui/features_ui.admin.inc:51","'@details'","","","False","","",""
"modules/features_ui/src/Form/FeaturesExportForm.php:195","'@name'","","","False","","",""
"modules/features_ui/src/Form/AssignmentConfigureForm.php:279","A description of the bundle.","","","False","","",""
"modules/features_ui/src/Form/AssignmentConfigureForm.php:248","A unique human-readable name of this bundle.","","","False","","",""
"modules/features_ui/src/Form/AssignmentConfigureForm.php:267","A unique machine-readable name of this bundle.  Used to prefix exported packages. It must only contain lowercase letters, numbers, and underscores.","","","False","","",""
"features.module:17","About","Info","","False","","",""
"src/Commands/FeaturesCommands.php:636","Active config matches stored config for @module.","","","False","","",""
"modules/features_ui/src/Form/FeaturesDiffForm.php:219","Active site config","","","False","","",""
"drush/features.drush8.inc:536","Active:  drush features-export will update the exported feature with the displayed active config","","","False","","",""
"src/Commands/FeaturesCommands.php:648","Active: drush features-export will update the exported feature with the displayed active config","","","False","","",""
"modules/features_ui/src/Form/AssignmentProfileForm.php:32","Add commonly-needed configuration","","","False","","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentNamespace.php:7","Add config to packages that contain that package's machine name.","","","False","","",""
"config/schema/features.schema.yml:0","Add configuration and files from Standard profile","","","False","","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentProfile.php:8","Add configuration and other files to the optional install profile from the Drupal core Standard install profile. Without these additions, a generated install profile will be missing some important initial setup.","","","False","","",""
"src/Plugin/FeaturesAssignment/FeaturesAssignmentExisting.php:8","Add exported config to existing packages.","","","False","","",""
"config/schema/features.schema.yml:0","Add module and theme dependencies from Standard profile","","","False","","",""
