"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"formatters/tabs/horizontal-tabs.js:0","(active tab)","(aktiver Reiter)","",FALSE,"","",""
"src/Form/FieldGroupAddForm.php:156","'- Select a field group type -'","","",FALSE,"","",""
"includes/field_ui.inc:387","<p class=""fieldgroup-help"">Fields can be dragged into groups with unlimited nesting. Each fieldgroup format comes with a configuration form, specific for that format type.<br />Note that some formats come in pair. These types have a html wrapper to nest its fieldgroup children. E.g. Place accordion items into the accordion, vertical tabs in vertical tab group and horizontal tabs in the horizontal tab group. There is one exception to this rule, you can use a vertical tab without a wrapper when the additional settings tabs are available. E.g. node forms.</p>","","",FALSE,"","",""
"contrib/field_group_migrate/src/Plugin/migrate/D7FieldGroupDeriver.php:59","'@label of @entity_type (bundle: @bundle)'","","",FALSE,"","",""
"config/schema/field_group.entity_display.schema.yml:0;0","A field group","Eine Feldgruppe","",FALSE,"","",""
"src/Form/FieldGroupAddForm.php:182","A unique machine-readable name containing letters, numbers, and underscores.","Ein eindeutiger Systemname kann nur Kleinbuchstaben, Ziffern und Unterstriche enthalten.","",FALSE,"","",""
"field_group.module:27","About","Info","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/Accordion.php:10","Accordion","Akkordeon","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/AccordionItem.php:8","Accordion Item","Akkordeonelement","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/Details.php:8","Add a details element","","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/DetailsSidebar.php:5","Add a details sidebar element","","",FALSE,"","",""
"src/Form/FieldGroupAddForm.php:154","Add a new group","Eine neue Gruppe hinzufügen","",FALSE,"","",""
"src/Plugin/Derivative/FieldGroupLocalAction.php:66","Add field group","","",FALSE,"","",""
"src/Form/FieldGroupDeleteForm.php:109","Are you sure you want to delete the group %group?","Soll die Gruppe %group wirklich gelöscht werden?","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/HtmlElement.php:166","Attributes","Eigenschaften","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/HtmlElement.php:226","Attributes: @attributes","Attribute: @attributes","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/Tabs.php:107","Auto-disable the Tabs widget if the window width is equal or smaller than this breakpoint.","","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/HtmlElement.php:179","Blind","","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/Accordion.php:69","Bounce slide","","",FALSE,"","",""
"contrib/field_group_migrate/src/Plugin/migrate/source/d7/FieldGroup.php:110","Bundle","Subtyp","",FALSE,"","",""
"includes/field_ui.inc:270","Cancel","Abbrechen","",FALSE,"","",""
"config/schema/field_group.field_group_formatter_plugin.schema.yml:0","Classes of the fieldgroup","CSS-Klassen der Feldgruppe","",FALSE,"","",""
"includes/field_ui.inc:400","Clone","Duplizieren","",FALSE,"","",""
"includes/field_ui.inc:393","Clone fieldgroups from selected display to the current display","","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/HtmlElement.php:178","Collapsible","Zusammenklappbar","",FALSE,"","",""
"src/Form/FieldGroupAddForm.php:234","Create group","Gruppe erstellen","",FALSE,"","",""
"contrib/field_group_migrate/src/Plugin/migrate/source/d7/FieldGroup.php:114","Data","Daten","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/Tab.php:92","Default state","Standardmodus","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/Details.php:103","Default state closed","","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/Details.php:100","Default state open","","",FALSE,"","",""
"src/Form/FieldGroupDeleteForm.php:116","Delete","löschen","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/Tab.php:85","Description","Beschreibung","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/AccordionItem.php:116","Description : @description","Beschreibung : @description","",FALSE,"","",""
"config/schema/field_group.field_group_formatter_plugin.schema.yml:0","Description of the element","","",FALSE,"","",""
"config/schema/field_group.field_group_formatter_plugin.schema.yml:0;0","Description of the item","","",FALSE,"","",""
"config/schema/field_group.field_group_formatter_plugin.schema.yml:0","Description of the tab","","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/Details.php:8","Details","Details","",FALSE,"","",""
"src/Plugin/field_group/FieldGroupFormatter/DetailsSidebar.php:5","Details Sidebar","","",FALSE,"","",""
