"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Element/FileMetadataCaching.php:107","'@path' is an invalid URI path","","",FALSE,"","",""
"config/schema/file_mdm.data_types.schema.yml:0","Cache entry duration","","",FALSE,"","",""
"src/Element/FileMetadataCaching.php:74","Cache expires","","",FALSE,"","",""
"src/Element/FileMetadataCaching.php:65","Cache metadata","Cache-Metadaten","",FALSE,"","",""
"config/schema/file_mdm.data_types.schema.yml:0;0","Cache settings","","",FALSE,"","",""
"file_mdm.links.menu.yml:0","Configure file metadata settings.","","",FALSE,"","",""
"file_mdm_exif/src/Plugin/FileMetadata/Exif.php:18","EXIF","","",FALSE,"","",""
"file_mdm_exif/config/schema/file_mdm_exif.data_types.schema.yml:0","EXIF IFD","","",FALSE,"","",""
"config/schema/file_mdm.data_types.schema.yml:0","Enable metadata caching","","",FALSE,"","",""
"src/FileMetadata.php:215","Error deleting @key from @metadata_id metadata for @uri. Message: @message","","",FALSE,"","",""
"src/FileMetadata.php:194","Error getting @metadata_id@key metadata for @uri. Message: @message","","",FALSE,"","",""
"src/FileMetadata.php:171","Error getting supported keys for @metadata metadata for @uri. Message: @message","","",FALSE,"","",""
"src/FileMetadata.php:235","Error setting @metadata_id@key metadata for @uri. Message: @message","","",FALSE,"","",""
"src/Element/FileMetadataCaching.php:86","Excluded paths","","",FALSE,"","",""
"file_mdm_font/file_mdm_font.info.yml:0","File metadata","","",FALSE,"","",""
"file_mdm_exif/file_mdm_exif.info.yml:0","File metadata - EXIF","","",FALSE,"","",""
"file_mdm_font/file_mdm_font.info.yml:0","File metadata - Font","","",FALSE,"","",""
"file_mdm_exif/config/schema/file_mdm_exif.schema.yml:0","File metadata EXIF plugin settings","","",FALSE,"","",""
"file_mdm.routing.yml:0","File metadata manager","","",FALSE,"","",""
"file_mdm_exif/src/Plugin/FileMetadata/Exif.php:18","File metadata plugin for EXIF image information, using the PHP Exif Library (PEL).","","",FALSE,"","",""
"src/Plugin/FileMetadata/GetImageSize.php:7","File metadata plugin for PHP getimagesize().","","",FALSE,"","",""
"file_mdm_font/src/Plugin/FileMetadata/Font.php:10","File metadata plugin for TTF/OTF/WOFF font information, using the PHP Font Lib.","","",FALSE,"","",""
"config/schema/file_mdm.data_types.schema.yml:0","FileMetadata plugin settings","","",FALSE,"","",""
"file_mdm_font/src/Plugin/FileMetadata/Font.php:10","Font","Schriftart","",FALSE,"","",""
"src/Plugin/FileMetadata/GetImageSize.php:7","Getimagesize","","",FALSE,"","",""
"file_mdm_exif/config/schema/file_mdm_exif.data_types.schema.yml:0","IFD type","","",FALSE,"","",""
"src/Element/FileMetadataCaching.php:67","If selected, metadata retrieved from files will be cached for further access.","","",FALSE,"","",""
"file_mdm_exif/config/schema/file_mdm_exif.data_types.schema.yml:0","Literal representation of IFD","","",FALSE,"","",""
"config/schema/file_mdm.schema.yml:0","Main metadata caching","","",FALSE,"","",""
"src/Plugin/FileMetadata/FileMetadataPluginBase.php:176","Metadata caching","","",FALSE,"","",""
"src/Element/FileMetadataCaching.php:71","Never","Nie","",FALSE,"","",""
"src/Element/FileMetadataCaching.php:89","Only files prefixed by a valid URI scheme will be cached, like for example <kbd>public://</kbd>. Files in the <kbd>temporary://</kbd> scheme will never be cached. Specify here if there are any paths to be additionally <strong>excluded</strong> from caching, one per line. Use wildcard patterns when entering the path. For example, <kbd>public://styles/*</kbd>.","","",FALSE,"","",""
"config/schema/file_mdm.data_types.schema.yml:0","Override general settings","","",FALSE,"","",""
"src/Plugin/FileMetadata/FileMetadataPluginBase.php:169","Override main caching settings","","",FALSE,"","",""
"config/schema/file_mdm.data_types.schema.yml:0","Paths to be excluded from caching","","",FALSE,"","",""
"config/schema/file_mdm.data_types.schema.yml:0","Plugin overridden cache settings","","",FALSE,"","",""
"file_mdm_exif/file_mdm_exif.info.yml:0","Provides a file metadata plugin for EXIF image information.","","",FALSE,"","",""
"file_mdm_font/file_mdm_font.info.yml:0","Provides a file metadata plugin for TTF/OTF/WOFF font information.","","",FALSE,"","",""
"file_mdm.info.yml:0","Provides a service to manage file metadata.","","",FALSE,"","",""
"src/Element/FileMetadataCaching.php:77","Specify the required lifetime of cached entries. Longer times may lead to increased cache sizes.","","",FALSE,"","",""
"file_mdm_exif/config/schema/file_mdm_exif.schema.yml:0","exif plugin settings","","",FALSE,"","",""
"config/schema/file_mdm.schema.yml:0","file_mdm settings","","",FALSE,"","",""
"file_mdm_font/config/schema/file_mdm_font.schema.yml:0","font file metadata plugin settings","","",FALSE,"","",""
"file_mdm_font/config/schema/file_mdm_font.schema.yml:0","font plugin settings","","",FALSE,"","",""
"config/schema/file_mdm.schema.yml:0","getimagesize file metadata plugin settings","","",FALSE,"","",""
"config/schema/file_mdm.schema.yml:0","getimagesize plugin settings","","",FALSE,"","",""
