"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"google_analytics.module:50","<a href="":ga_url"">Google Analytics</a> is a free (registration required) website traffic and marketing effectiveness service.","","",FALSE,"","",""
"js/google_analytics.admin.js:0;0;0;0","'@items enabled'","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:308;358","'@module (<span class=""admin-enabled"">enabled</span>)'","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:308;358","'@module (<span class=""admin-missing"">disabled</span>)'","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:944","A create only field requires a value.","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:294","A file extension list separated by the | character that will be tracked as download when clicked. Regular expressions are supported. For example: @extensions","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:618","A list of top-level domains is required if <em>Multiple top-level domains</em> has been selected.","","",FALSE,"","",""
"js/google_analytics.admin.js:0","A single domain","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:139","A single domain (default)","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:612","A valid Google Analytics Web Property ID is case sensitive and formatted like UA-xxxxxxx-yy.","","",FALSE,"","",""
"google_analytics.module:40","About","Info","",FALSE,"","",""
"js/google_analytics.admin.js:0","AdSense ads","","",FALSE,"","",""
"google_analytics.permissions.yml:0","Add JavaScript snippets","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:230","Add to every role except the selected ones","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:229","Add to the selected roles only","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:227","Add tracking for specific roles","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:202","Add tracking to specific pages","","",FALSE,"","",""
"google_analytics.module:45","Additional features","","",FALSE,"","",""
"google_analytics.permissions.yml:0","Administer Google Analytics","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:510","Advanced settings","","",FALSE,"","",""
"js/google_analytics.admin.js:0","All pages with exceptions","","",FALSE,"","",""
"google_analytics.module:44","All settings for this module can be found on the <a href="":ga_settings"">Google Analytics settings</a> page. When entering the Google Analytics account number here, it will automatically add the required JavaScript to every page generated. The <em>General Settings</em> section on this page provides additional instruction about setting up tracking thru the Google account.","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:253","Allow users to customize tracking on their account page","","",FALSE,"","",""
"google_analytics.permissions.yml:0","Allow users to decide if tracking code will be added to pages or not.","","",FALSE,"","",""
"google_analytics.info.yml:0","Allows your site to be tracked by Google Analytics by adding a Javascript tracking code to every page.","","",FALSE,"","",""
"js/google_analytics.admin.js:0","Anonymize IP","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:389","Anonymize visitors IP address","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:329","By default, the URL reported to Google Analytics will not include the ""fragment identifier"" (i.e. the portion of the URL beginning with a hash sign), and hash changes by themselves will not cause new pageviews to be reported. Checking this box will cause hash changes to be reported as pageviews (in modern browsers) and all pageview URLs to include the fragment where applicable.","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:561","Code in this textarea will be added <strong>after</strong> <code>ga(""send"", ""pageview"");</code>. This is useful if you'd like to track a site in two accounts.","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:553","Code in this textarea will be added <strong>before</strong> <code>ga(""send"", ""pageview"");</code>.","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:557","Code snippet (after)","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:549","Code snippet (before)","","",FALSE,"","",""
"js/google_analytics.admin.js:0","Colorbox","","",FALSE,"","",""
"google_analytics.links.menu.yml:0","Configure tracking behavior to get insights into your website traffic and marketing effectiveness.","","",FALSE,"","",""
"google_analytics.module:43","Configuring Google Analytics","","",FALSE,"","",""
"config/schema/google_analytics.schema.yml:0","Create field","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:920","Create only field name %name is a disallowed field name. Changing the <em>Tracker Name</em> is currently not supported.","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:926","Create only field name %name is a disallowed field name. Please enable <em>Track User ID</em> under <em>Tracking scope > Users</em>.","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:923","Create only field name %name is a disallowed field name. Please select <em>Multiple top-level domains</em> under <em>Tracking scope > Domains</em> to enable cross domain tracking.","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:929","Create only field name %name is an unknown field name. Field names are case sensitive. Please see <a href="":url"">create only fields</a> documentation for supported field names.","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:541","Create only fields","","",FALSE,"","",""
"src/Form/GoogleAnalyticsAdminSettingsForm.php:535","Custom JavaScript code","","",FALSE,"","",""
"config/schema/google_analytics.schema.yml:0","Custom code snippets","","",FALSE,"","",""
