"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/migrate/source/GgwEventAnEnrollment.php:70","Attendee ID","","",FALSE,"","",""
"src/Plugin/migrate/source/GgwEventAnEnrollment.php:73","Attendee verified status","","",FALSE,"","",""
"src/Plugin/migrate/source/GgwPrivateMessage.php:148","Body of the message","","",FALSE,"","",""
"config/install/migrate_plus.migration.gpi_comment.yml:0","Comments","Kommentare","",FALSE,"","",""
"src/Plugin/migrate/source/GgwEventAnEnrollment.php:79","Country prefix of the phone number","","",FALSE,"","",""
"src/Form/GpiMigrateSettings.php:106","Data types","","",FALSE,"","",""
"config/schema/gpi_migrate.schema.yml:0","Data will not be migrated for entities older than specified age in seconds","","",FALSE,"","",""
"src/Form/GpiMigrateSettings.php:63","Do you also want to install the corresponding language?","","",FALSE,"","",""
"config/schema/gpi_migrate.schema.yml:0","Domain ID the migration is run for","","",FALSE,"","",""
"src/Plugin/migrate/source/GgwEventAnEnrollment.php:77","Email address","E-Mail Adresse","",FALSE,"","",""
"src/Plugin/migrate/source/GgwEventAnEnrollment.php:72","Enrollment ID","","",FALSE,"","",""
"src/Plugin/migrate/source/GgwRedirect.php:156","Entity ID","","",FALSE,"","",""
"src/Plugin/migrate/source/GgwFlag.php:76","Entity Id","","",FALSE,"","",""
"config/install/migrate_plus.migration.gpi_event_an_enrollment.yml:0","Event AN Enrollment","","",FALSE,"","",""
"src/Plugin/migrate/source/GgwEventAnEnrollment.php:71","Event ID","","",FALSE,"","",""
"config/install/migrate_plus.migration.gpi_file_private.yml:0","File private","","",FALSE,"","",""
"config/install/migrate_plus.migration.gpi_file.yml:0","File public","","",FALSE,"","",""
"src/Plugin/migrate/source/GgwEventAnEnrollment.php:75","First name","Vorname","",FALSE,"","",""
"src/Plugin/migrate/source/GgwFlag.php:75","Flag Id","","",FALSE,"","",""
"config/install/migrate_plus.migration.gpi_flag.yml:0","Flags such a follow node data","","",FALSE,"","",""
"config/install/migrate_plus.migration_group.gpi_migrate.yml:0","GGW Migration","","",FALSE,"","",""
"gpi_migrate.info.yml:0","GPI Migrate","","",FALSE,"","",""
"config/schema/gpi_migrate.schema.yml:0","GPI Migrate Settings","","",FALSE,"","",""
"gpi_migrate.routing.yml:0","GPI migration settings","","",FALSE,"","",""
"gpi_migrate.links.menu.yml:0","GPI migrations settings","","",FALSE,"","",""
