"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/MessageTemplateDeleteConfirm.php:38","'%template is used by 1 message on your site. You cannot remove this message template until you have removed all of the %template messages.'","","",FALSE,"","",""
"config/optional/views.view.message.yml:0;0;0",",",",","",FALSE,"","",""
"config/optional/views.view.message.yml:0","'- All -'","'- Alle -'","",FALSE,"","",""
"modules/message_example/config/optional/message.template.example_user_register.yml:0","<p><a href='[message:user-url]'>@{message:user-name}</a> registered.</p>
","","",FALSE,"","",""
"modules/message_example/config/optional/message.template.example_create_node.yml:0","<p><a href='[message:user-url]'>[message:user-name]</a> created <a href='[message:node-url]'>[message:node-title]</a></p>
 <p>[message:node-render]</p>
","","",FALSE,"","",""
"modules/message_example/config/optional/message.template.example_create_comment.yml:0","<p><a href='[message:user-url]'>[message:user-name]</a>&nbsp;<a href='[message:comment-url]'>commented</a> on&nbsp;[message:node-title]</p>
 <p>[message:node-render]</p>
","","",FALSE,"","",""
"message.info.yml:0","A general message logging utility.","","",FALSE,"","",""
"src/Form/MessageTemplateForm.php:79","A unique machine-readable name for this message template. It must only contain lowercase letters, numbers, and underscores. This name will be used for constructing the URL of the %message-add page, in which underscores will be converted into hyphens.","","",FALSE,"","",""
"modules/message_example/config/optional/message.template.example_create_comment.yml:0","A user created comment.","","",FALSE,"","",""
"src/FormElement/MessageTemplateMultipleTextField.php:77","Add another item","Weiteren Eintrag hinzufügen","",FALSE,"","",""
"src/Form/MessageTemplateForm.php:80","Add message","Nachricht hinzufügen","",FALSE,"","",""
"message.routing.yml:0","Add message template","","",FALSE,"","",""
"message.permissions.yml:0","Administer message entries through the backend.","","",FALSE,"","",""
"message.permissions.yml:0","Administer message templates","","",FALSE,"","",""
"message.permissions.yml:0","Administer message templates that can be used to log an event.","","",FALSE,"","",""
"message.permissions.yml:0","Administer messages","","",FALSE,"","",""
"src/MessageListBuilder.php:98","Anonymous","","",FALSE,"","",""
"config/optional/views.view.message.yml:0","Apply","Anwenden","",FALSE,"","",""
"src/Form/MessageTemplateDeleteConfirm.php:18","Are you sure you want to delete the message template %template?","Möchten Sie die Nachrichtenvorlage %template wirklich löschen?","",FALSE,"","",""
"src/Form/DeleteMultiple.php:66","Are you sure you want to delete this item?","Möchten Sie diesen Eintrag wirklich löschen?","",FALSE,"","",""
"src/Entity/Message.php:197","Arguments","Argumente","",FALSE,"","",""
"config/optional/views.view.message.yml:0","Asc","aufsteigend","",FALSE,"","",""
"config/optional/views.view.message.yml:0","Author","Autor:in","",FALSE,"","",""
"modules/message_example/message_example.tokens.inc:22","Author name","Name des Autors","",FALSE,"","",""
"modules/message_example/message_example.tokens.inc:27","Author url","","",FALSE,"","",""
"src/Form/MessageSettingsForm.php:107","Auto delete messages referencing the following entities","","",FALSE,"","",""
"src/Form/MessageTemplateForm.php:103","Clear empty tokens","","",FALSE,"","",""
"modules/message_example/config/optional/field.field.message.example_create_comment.field_comment_reference.yml:0","Comment reference","","",FALSE,"","",""
"modules/message_example/message_example.tokens.inc:33","Comment url","","",FALSE,"","",""
"src/Plugin/migrate/source/MessageTemplateSource.php:73","Concats the id of the message type and the delta of the message text.","","",FALSE,"","",""
"src/Form/MessageSettingsForm.php:99","Configure how messages will be deleted.","","",FALSE,"","",""
"src/MessageListBuilder.php:60","Created","Erstellt","",FALSE,"","",""
"src/Entity/Message.php:182","Created by","Erstellt von","",FALSE,"","",""
"src/Entity/Message.php:192","Created on","Erstellt am","",FALSE,"","",""
"message.tokens.inc:39","Date created","Erstellungsdatum","",FALSE,"","",""
"config/schema/message.schema.yml:0","Days","Tage","",FALSE,"","",""
"src/Plugin/MessagePurge/Days.php:14","Days","","",FALSE,"MessagePurge","",""
"src/Form/MessageTemplateDeleteConfirm.php:25","Delete","löschen","",FALSE,"","",""
"src/Form/DeleteMultiple.php:98","Delete message ID @id for template @template","","",FALSE,"","",""
"config/schema/message.schema.yml:0","Delete message configuration","","",FALSE,"","",""
"src/Form/MessageTemplateForm.php:136","Delete message template","","",FALSE,"","",""
"src/Plugin/QueueWorker/MessageDeletionWorker.php:10","Delete messages","Nachrichten löschen","",FALSE,"","",""
"src/Plugin/QueueWorker/MessageCheckAndDeleteWorker.php:10","Delete messages if an entity is referenced","","",FALSE,"","",""
"src/Plugin/MessagePurge/Days.php:14","Delete messages older than a given amount of days.","","",FALSE,"","",""
"src/Plugin/Action/DeleteMessage.php:11","Delete selected content","Ausgewählten Inhalt löschen","",FALSE,"","",""
"src/Form/DeleteMultiple.php:117","Deleted 1 message.","1 Nachricht wurde gelöscht.","",FALSE,"","",""
"src/Form/DeleteMultiple.php:116","Deleted @count messages.","'@count Nachrichten wurden gelöscht.'","",FALSE,"","",""
"src/Form/MessageTemplateDeleteConfirm.php:53","Deleted message template %name","","",FALSE,"","",""
"src/Plugin/views/field/GetText.php:54","Delta","","",FALSE,"","",""
"config/optional/views.view.message.yml:0","Desc","Absteigend","",FALSE,"","",""
"src/Form/MessageTemplateForm.php:85","Description","Beschreibung","",FALSE,"","",""
"message.links.menu.yml:0","Display all messages.","","",FALSE,"","",""
"message.links.task.yml:0","Edit","Bearbeiten","",FALSE,"","",""
"message.routing.yml:0","Edit message template","","",FALSE,"","",""
"src/MessagePurgePluginManager.php:68","Enabled","Aktiviert","",FALSE,"","",""
"config/schema/message.schema.yml:0","Entity type","Entitätstyp","",FALSE,"","",""
"modules/message_example/config/optional/message.template.example_create_comment.yml:0","Example - Create comment","","",FALSE,"","",""
"modules/message_example/config/optional/message.template.example_create_node.yml:0","Example - Create node","","",FALSE,"","",""
"modules/message_example/config/optional/message.template.example_user_register.yml:0","Example - User register","","",FALSE,"","",""
"modules/message_example/message_example.info.yml:0","Example message for working with the message module.","","",FALSE,"","",""
"config/schema/message.schema.yml:0","Field settings","Feldeinstellungen","",FALSE,"","",""
"config/install/core.entity_view_mode.message.full.yml:0","Full content","","",FALSE,"","",""
"message.views.inc:14","Get the message text","","",FALSE,"","",""
"message.permissions.yml:0","Grant permission to view the messages in the site.","","",FALSE,"","",""
"src/Entity/Message.php:198","Holds the arguments of the message in serialise format.","","",FALSE,"","",""
"config/optional/views.view.message.yml:0","Items per page","Elemente pro Seite","",FALSE,"","",""
"src/Form/MessageTemplateForm.php:62","Label","Beschriftung","",FALSE,"","",""
"src/MessageListBuilder.php:76","Language","Sprache","",FALSE,"","",""
"src/Entity/Message.php:178","Language code","Sprachkürzel","",FALSE,"","",""
"config/schema/message.schema.yml:0","Machine-readable name","Maschinenlesbarer Name","",FALSE,"","",""
"message.links.menu.yml:0","Manage message templates.","","",FALSE,"","",""
"config/optional/views.view.message.yml:0","Master","","",FALSE,"","",""
"src/Plugin/MessagePurge/Quota.php:9","Maximal (approximate) amount of messages to keep.","","",FALSE,"","",""
"src/Plugin/MessagePurge/Quota.php:28","Maximal (approximate) amount of messages.","","",FALSE,"","",""
"src/Plugin/MessagePurge/Days.php:75","Maximal message age in days.","","",FALSE,"","",""
"config/optional/views.view.message.yml:0;0;0","Message","Nachricht","",FALSE,"","",""
"config/optional/views.view.message.yml:0","Message ID","Nachrichten-ID","",FALSE,"","",""
"config/schema/message.schema.yml:0","Message Text","Nachrichtentext","",FALSE,"","",""
"message.tokens.inc:34","Message UID","","",FALSE,"","",""
"src/Plugin/migrate/source/MessageSource.php:52","Message create time.","","",FALSE,"","",""
"modules/message_example/message_example.info.yml:0","Message example","","",FALSE,"","",""
"src/Plugin/migrate/source/MessageSource.php:53","Message language.","","",FALSE,"","",""
"config/optional/views.view.message.yml:0","Message operations bulk form","","",FALSE,"","",""
"src/Plugin/migrate/source/MessageSource.php:50","Message replace arguments.","","",FALSE,"","",""
"config/schema/message.schema.yml:0","Message settings","Nachrichteneinstellungen","",FALSE,"","",""
"message.links.menu.yml:0","Message settings.","Nachrichten Einstellungen","",FALSE,"","",""
"config/optional/views.view.message.yml:0","Message template","Nachrichtenvorlage","",FALSE,"","",""
"message.routing.yml:0","Message templates","Nachrichten-Vorlagen","",FALSE,"","",""
"config/optional/views.view.message.yml:0","Message text","Text der Nachricht","",FALSE,"","",""
"src/Plugin/migrate/source/MessageTemplateSource.php:71","Message text format.","","",FALSE,"","",""
