"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:803","'@bundle_label @bundle of type @entity_type.'","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:783","'@entity_type Schema'","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:317","'@route_type @method'","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:291","'@route_type: @fieldName (@targetType)'","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:351","Collection endpoint","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:832","Configuration entity @entity_type","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:303","Create (@tag)","Erstelle (@tag)","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:784","Describes the payload for @entity_type entities.","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:579","Embed related entities in the response. For example: use a query string like <code>?include=comments.author</code> to include all the entities referenced by <code>comments</code> and all the entities referenced by <code>author</code> on those entities!. @link.","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:367","Individual endpoint","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:888","JSON API","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:29","JSON:API","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:300","List (@tag)","","",FALSE,"","",""
"openapi_jsonapi.info.yml:0","OpenAPI JSON:API","","",FALSE,"","",""
"openapi_jsonapi.info.yml:0","OpenAPI support for the JSON:API module.","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:566","Pagination can be a deceptively complex topic. It's easy to fall into traps and not follow best-practices. @link.","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:385","Related endpoint","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:404","Relationship endpoint","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:314","Remove (@tag)","Entferne (@tag)","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:981","Resource ID","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:980","Resource type name","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:614","The %label object","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:553","The JSON:API module allows you to sort collections based on properties in the resource or in nested resources. @link.","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:488","The JSON:API module exposes entity revisions as resource versions. @link.","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:540","The JSON:API module has some of the most robust and feature-rich filtering features around. All of that power comes with a bit of a learning curve though. @link.","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:527","The relationship field name","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:605","The resource identifier object","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:511","The uuid of the @entity @bundle","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:906","This is a JSON API compliant implementation","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:311","Update (@tag)","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:308","View (@tag)","","",FALSE,"","",""
"openapi_jsonapi.info.yml:0","Web Services","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:410","resource identifier object","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:372;391","resource object","","",FALSE,"","",""
"src/Plugin/openapi/OpenApiGenerator/JsonApiGenerator.php:356","resource objects","","",FALSE,"","",""
