"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/openapi/OpenApiGenerator/RestGenerator.php:142","'@entity_type Schema'","","","False","","",""
"src/Plugin/openapi/OpenApiGenerator/RestGenerator.php:222","'@method a @entity_type'","","","False","","",""
"src/Plugin/openapi/OpenApiGenerator/RestGenerator.php:143","Describes the payload for @entity_type entities.","","","False","","",""
"src/Plugin/openapi/OpenApiGenerator/RestGenerator.php:173","Entity type: @label","","","False","","",""
"openapi_rest.info.yml:0","OpenAPI REST","","","False","","",""
"openapi_rest.info.yml:0","OpenAPI support for the REST module.","","","False","","",""
"src/Plugin/openapi/OpenApiGenerator/RestGenerator.php:22","REST","","","False","","",""
"src/Plugin/openapi/OpenApiGenerator/RestGenerator.php:458","REST API","","","False","","",""
"src/Plugin/openapi/OpenApiGenerator/RestGenerator.php:362","The @id,id, of the @type.","","","False","","",""
"src/Plugin/openapi/OpenApiGenerator/RestGenerator.php:372","The @label object","","","False","","",""
"src/Plugin/openapi/OpenApiGenerator/RestGenerator.php:465","The REST API provide by the core REST module.","","","False","","",""
"openapi_rest.info.yml:0","Web Services","","","False","","",""
