"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"openid_connect.module:153","'%name is connected to an external authentication system.'","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:179","'- No mapping -'","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:195","<br/><strong>Note:</strong> The module will not update user roles with no mapped external groups. If all mappings to one of the roles are removd, users will keep that role until it is removed in the Drupal user administration.","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:227","<strong><em>Please note:</em> This option has security implications, only use with trusted OpenID Connect providers.</strong><br />If disabled, authentication will fail for accounts with existing email addresses, users may connect existing accounts on their personal Connected Accounts page in a secure way.","","","False","","",""
"src/Plugin/OpenIDConnectClient/OpenIDConnectLinkedinClient.php:130","'@message. Details: @error_message'","","","False","","",""
"src/Controller/OpenIDConnectRedirectController.php:454","'@provider does not support log out. You are logged out of this site but not out of the OpenID Connect provider.'","","","False","","",""
"openid_connect.info.yml:0","A pluggable client implementation for the OpenID Connect protocol.","","","False","","",""
"openid_connect.module:24","A pluggable client implementation for the OpenID Connect protocol. You can enable available OpenID Connect clients within the <a href="":settings"">OpenID Connect settings</a> page. For more information, see the <a href="":documentation"">online documentation for the OpenID Connect module</a>.","","","False","","",""
"src/Plugin/OpenIDConnectClient/OpenIDConnectFacebookClient.php:56","API Version","","","False","","",""
"openid_connect.module:23","About","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:131","Above","","","False","","",""
"src/Controller/OpenIDConnectRedirectController.php:305","Account successfully connected with @provider.","","","False","","",""
"src/Form/OpenIDConnectAccountsForm.php:183","Account successfully disconnected from @client.","","","False","","",""
"openid_connect.routing.yml:0","Add OpenID Connect client","","","False","","",""
"src/OpenIDConnectClaims.php:242","Address","","","False","","",""
"openid_connect.permissions.yml:0","Administer OpenID Connect clients","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:220","Advanced","","","False","","",""
"src/Plugin/OpenIDConnectClientBase.php:243","Allowed domains","","","False","","",""
"src/OpenIDConnect.php:466","Another user is already connected to this @provider account.","","","False","","",""
"src/Form/OpenIDConnectClientDeleteForm.php:20","Are you sure you want to delete OpenID Connect client %label?","","","False","","",""
"src/Plugin/OpenIDConnectClient/OpenIDConnectGenericClient.php:62","Authorization endpoint","","","False","","",""
"src/Plugin/OpenIDConnectClient/OpenIDConnectGenericClient.php:42","Auto discover endpoints","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:226","Automatically connect existing users","","","False","","",""
"openid_connect.install:25","Automatically connect existing users enabled","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:132","Below","","","False","","",""
"src/OpenIDConnectClaims.php:212","Birthdate","","","False","","",""
"src/OpenIDConnectClaims.php:214","Birthday","","","False","","",""
"src/OpenIDConnectClaims.php:166","Casual name","","","False","","",""
"src/Plugin/OpenIDConnectClientBase.php:231","Client ID","","","False","","",""
"src/Plugin/OpenIDConnectClientBase.php:237","Client secret","","","False","","",""
"openid_connect.links.task.yml:0","Clients","","","False","","",""
"openid_connect.links.menu.yml:0","Configure OpenID Connect clients.","","","False","","",""
"src/Form/OpenIDConnectAccountsForm.php:158","Connect with @client_title","","","False","","",""
"openid_connect.routing.yml:0","Connected Accounts","","","False","","",""
"src/Form/OpenIDConnectAccountsForm.php:145","Connected as %sub","","","False","","",""
"src/Controller/OpenIDConnectRedirectController.php:308","Connecting with @provider could not be completed due to an error.","","","False","","",""
"src/Controller/OpenIDConnectRedirectController.php:288","Could not authenticate with @provider.","","","False","","",""
