"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"openid_connect.module:173","'%name is connected to an external authentication system.'","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:220","'- No mapping -'","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:233","<strong><em>Please note:</em> This option has security implications, only use with trusted OpenID Connect providers.</strong><br />If disabled, authentication will fail for accounts with existing email addresses, users may connect existing accounts on their personal Connected Accounts page in a secure way.","","","False","","",""
"src/Plugin/OpenIDConnectClient/OpenIDConnectLinkedinClient.php:135","'@message. Details: @error_message'","","","False","","",""
"openid_connect.info.yml:0","A pluggable client implementation for the OpenID Connect protocol.","","","False","","",""
"openid_connect.module:26","A pluggable client implementation for the OpenID Connect protocol. You can enable available OpenID Connect clients within the <a href="":settings"">OpenID Connect settings</a> page. For more information, see the <a href="":documentation"">online documentation for the OpenID Connect module</a>.","","","False","","",""
"src/Plugin/OpenIDConnectClient/OpenIDConnectFacebookClient.php:54","API Version","","","False","","",""
"openid_connect.module:25","About","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:180","Above","","","False","","",""
"src/Controller/OpenIDConnectRedirectController.php:220","Account successfully connected with @provider.","","","False","","",""
"src/Form/OpenIDConnectAccountsForm.php:195","Account successfully disconnected from @client.","","","False","","",""
"src/OpenIDConnectClaims.php:252","Address","","","False","","",""
"openid_connect.permissions.yml:0","Administer OpenID Connect clients","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:226","Advanced","","","False","","",""
"src/OpenIDConnect.php:433","Another user is already connected to this @provider account.","","","False","","",""
"src/Plugin/OpenIDConnectClient/OpenIDConnectGenericClient.php:39","Authorization endpoint","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:232","Automatically connect existing users","","","False","","",""
"openid_connect.install:69","Automatically connect existing users enabled","","","False","","",""
"src/Form/OpenIDConnectSettingsForm.php:181","Below","","","False","","",""
"src/OpenIDConnectClaims.php:222","Birthdate","","","False","","",""
"src/OpenIDConnectClaims.php:224","Birthday","","","False","","",""
"src/OpenIDConnectClaims.php:176","Casual name","","","False","","",""
