"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Services/UserManagementService.php:130","'%name has been deleted.'","'%name wurde gelöscht.'","","False","","",""
"src/Services/UserManagementService.php:119","'%name has been disabled.'","","","False","","",""
"src/Services/UserManagementService.php:180","'%name has been notified.'","","","False","","",""
"src/Form/ConfirmationForm.php:94","...and @more more.","","","False","","",""
"purge_users.module:255","'@count Users has been purged.'","","","False","","",""
"purge_users.module:260","An error occurred while processing %error_operation with arguments: @arguments","","","False","","",""
"src/Form/SettingsForm.php:205","Any user with one of the selected role will be excluded.","","","False","","",""
"src/Form/SettingsForm.php:196","Any user with one of the selected roles will be included, unless that user has a role among the one selected in the exclude roles field.","","","False","","",""
"src/Form/ConfirmationForm.php:47","Are you sure you want to cancel these user accounts?","","","False","","",""
"purge_users.links.task.yml:0","Auto Purge Users","","","False","","",""
"config/schema/purge_users.schema.yml:0","Before deletion notification e-mail enable","","","False","","",""
"config/schema/purge_users.schema.yml:0","Before deletion notification e-mail period","","","False","","",""
"config/schema/purge_users.schema.yml:0","Before deletion notification e-mail value","","","False","","",""
"src/Services/UserManagementService.php:120","Blocked user: %name %email.","","","False","","",""
"config/schema/purge_users.schema.yml:0","Blocked users enable","","","False","","",""
"config/schema/purge_users.schema.yml:0","Blocked users period","","","False","","",""
"config/schema/purge_users.schema.yml:0","Blocked users value","","","False","","",""
"src/Form/SettingsForm.php:295","Body of user before deletion notification e-mail","","","False","","",""
"src/Form/SettingsForm.php:255","Body of user notification e-mail","","","False","","",""
"src/Form/ConfirmationForm.php:61","Cancel","Abbrechen","","False","","",""
"src/Form/SettingsForm.php:326","Check to send email notification before purging users.","","","False","","",""
"src/Form/SettingsForm.php:275","Check to send email notification to purged users.","","","False","","",""
"src/Form/ConfirmationForm.php:54","Confirm","","","False","","",""
"src/Form/SettingsForm.php:259;299","Customize the body of the notification e-mail sent to the user.","","","False","","",""
"src/Form/SettingsForm.php:249;290","Customize the subject of the notification e-mail sent to the user.","","","False","","",""
"src/Form/SettingsForm.php:74;106;139;172;314","Days","","","False","","",""
"src/Form/SettingsForm.php:55","Dear User, 

Your account has been deleted due the website’s policy to automatically remove users who match certain criteria. If you have concerns regarding the deletion, please talk to the administrator of the website. 

Thank you","Liebe:r Nutzer:in, 

Dein Konto wurde aufgrund der Richtlinien der Website gelöscht, Nuter:innen, die bestimmte Kriterien erfüllen, automatisch zu entfernen. Wenn du Bedenken bezüglich der Löschung hast, wende dich bitte an den/die Administrator:in der Website.

Danke","","False","","",""
"src/Form/SettingsForm.php:56","Dear User, 

Your account will be deleted soon due the website’s policy to automatically remove users who match certain criteria. If you have concerns regarding the deletion, please talk to the administrator of the website.  

Thank you","","","False","","",""
"src/Form/ConfirmationForm.php:116","Delete users","","","False","","",""
"src/Form/ConfirmationForm.php:119","Delete users operation has encountered an error.","","","False","","",""
"src/Form/ConfirmationForm.php:117","Delete users operation is starting...","","","False","","",""
"src/Services/UserManagementService.php:131","Deleted user: %name %email.","","","False","","",""
"config/schema/purge_users.schema.yml:0","Disregard blocked users enable","","","False","","",""
"src/Form/SettingsForm.php:226","Disregard inactive/blocked users","","","False","","",""
"src/Form/SettingsForm.php:228","Do not look at inactive and blocked users. If you use a cancellation method that blocks users, this should normally be enabled, or blocked users will be included in the processing and make it unnecessarily heavy.","","","False","","",""
"src/Form/SettingsForm.php:274;325","Enable","","","False","","",""
"src/Form/SettingsForm.php:84;117;150;183","Enabled","","","False","","",""
"src/Form/SettingsForm.php:214","Follow site's policy","","","False","","",""
"config/schema/purge_users.schema.yml:0","Inactive users enable","","","False","","",""
"config/schema/purge_users.schema.yml:0","Inactive users period","","","False","","",""
"config/schema/purge_users.schema.yml:0","Inactive users value","","","False","","",""
"config/schema/purge_users.schema.yml:0","Last logged in enable","","","False","","",""
"config/schema/purge_users.schema.yml:0","Last logged in period","","","False","","",""
"config/schema/purge_users.schema.yml:0","Last logged in value","","","False","","",""
"config/schema/purge_users.schema.yml:0","List of excluded roles","","","False","","",""
"config/schema/purge_users.schema.yml:0","List of included roles","","","False","","",""
"src/Form/SettingsForm.php:75;107;140;173;315","Months","","","False","","",""
"config/schema/purge_users.schema.yml:0","Never logged in enable","","","False","","",""
"config/schema/purge_users.schema.yml:0","Never logged in period","","","False","","",""
"config/schema/purge_users.schema.yml:0","Never logged in value","","","False","","",""
"src/Form/SettingsForm.php:480","No user account found in the system to purge or notify.","","","False","","",""
"src/Form/SettingsForm.php:281","Notification User Before Deletion","","","False","","",""
"src/Form/SettingsForm.php:438","Notification before purging users is enabled.","","","False","","",""
"src/Services/UserManagementService.php:181","Notified user: %name %email.","","","False","","",""
"src/Plugin/QueueWorker/NotifyUsersQueueWorker.php:13","Notify Users Tasks Worker: Notification Users","","","False","","",""
"config/schema/purge_users.schema.yml:0","Notify text body","","","False","","",""
"config/schema/purge_users.schema.yml:0","Notify text subject","","","False","","",""
"src/Form/SettingsForm.php:71;103;136;169;311","Period","","","False","","",""
"src/Form/SettingsForm.php:384","Please enable one of the Conditions:  Never logged in users, Not logged in users, Inactive users or Blocked users.","","","False","","",""
"src/Form/ConfirmationForm.php:118","Processed @current out of @total.","","","False","","",""
"purge_users.info.yml:0","Purge Users","","","False","","",""
"src/Plugin/QueueWorker/PurgeUsersQueueWorker.php:14","Purge Users Tasks Worker: Purge Users","","","False","","",""
"purge_users.info.yml:0","Purge inactive users after a set interval.","","","False","","",""
"config/schema/purge_users.schema.yml:0","Purge method","","","False","","",""
"src/Form/SettingsForm.php:233","Purge on cron","","","False","","",""
"config/schema/purge_users.schema.yml:0","Purge on cron enable","","","False","","",""
"src/Form/SettingsForm.php:380","Purge period should be more than 10 days.","","","False","","",""
"src/Form/ConfirmationForm.php:33","Purge user confirmation","","","False","","",""
"purge_users.routing.yml:0","Purge users","","","False","","",""
"purge_users.routing.yml:0","Purge users confirm","","","False","","",""
"src/Form/SettingsForm.php:332","Purge users now","","","False","","",""
"src/Form/SettingsForm.php:435","Purge users operation is scheduled for next cron.","","","False","","",""
"src/Form/SettingsForm.php:156","Purge users who have been blocked for","","","False","","",""
"src/Form/SettingsForm.php:59","Purge users who have never logged in for","","","False","","",""
"src/Form/SettingsForm.php:90","Purge users who have not logged in for","","","False","","",""
"src/Form/SettingsForm.php:123","Purge users whose account has not been activated for","","","False","","",""
"src/Form/SettingsForm.php:189","Role limitation","","","False","","",""
"config/schema/purge_users.schema.yml:0;0","Role machine name","","","False","","",""
"src/Form/SettingsForm.php:204","Select roles to exclude from the purge","","","False","","",""
"src/Form/SettingsForm.php:195","Select roles to include in the purge","","","False","","",""
"config/schema/purge_users.schema.yml:0","Send notification email enable","","","False","","",""
"src/Form/SettingsForm.php:286","Subject of user before deletion notification e-mail","","","False","","",""
"src/Form/SettingsForm.php:245","Subject of user notification e-mail","","","False","","",""
"src/Form/SettingsForm.php:239","User Deletion Notification","","","False","","",""
"src/Services/UserManagementService.php:199","User id %uid notification skipped.","","","False","","",""
"src/Form/SettingsForm.php:65;96;129;162;305","Value","","","False","","",""
"src/Form/SettingsForm.php:376","Value must be a number.","","","False","","",""
"src/Form/SettingsForm.php:388","Value should not be empty.","","","False","","",""
"src/Form/SettingsForm.php:219","When cancelling a user account","","","False","","",""
"src/Form/SettingsForm.php:76;108;141;174;316","Year","","","False","","",""
"src/Form/SettingsForm.php:392","You can not both purge blocked users and disregard them.","","","False","","",""
"src/Form/SettingsForm.php:396","You can not both purge inactive users and disregard them.","","","False","","",""
"src/Form/SettingsForm.php:53","Your account is deleted","","","False","","",""
"src/Form/SettingsForm.php:54","Your account will be deleted","","","False","","",""
