"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/RedirectSettingsForm.php:56","(formerly Global Redirect features)","","","False","","",""
"config/install/views.view.redirect.yml:0",", ",", ","","False","","",""
"modules/redirect_404/config/install/views.view.redirect_404.yml:0","'- All -'","'- Alle -'","","False","","",""
"src/Form/RedirectForm.php:74","'- All languages -'","","","False","","",""
"config/install/views.view.redirect.yml:0","300 Multiple Choices","","","False","","",""
"config/install/views.view.redirect.yml:0","301 Moved Permanently","","","False","","",""
"config/install/views.view.redirect.yml:0","302 Found","","","False","","",""
"config/install/views.view.redirect.yml:0","303 See Other","","","False","","",""
"config/install/views.view.redirect.yml:0","304 Not Modified","","","False","","",""
"config/install/views.view.redirect.yml:0","305 Use Proxy","","","False","","",""
"config/install/views.view.redirect.yml:0","307 Temporary Redirect","","","False","","",""
"redirect.module:59","404 (or Not Found) error message is an HTTP standard response code indicating that the client was able to communicate with a given server, but the server could not find what was requested. Please install the <a href="":extend"">Redirect 404</a> submodule to be able to log all paths that have resulted in 404 errors.","","","False","","",""
"modules/redirect_404/config/schema/redirect_404.schema.yml:0","404 error database logging settings.","","","False","","",""
"modules/redirect_404/redirect_404.module:40","404 error database logs to keep","","","False","","",""
"modules/redirect_404/config/schema/redirect_404.schema.yml:0","404 error database logs to keep.","","","False","","",""
"redirect.module:55","<a href="":fix_404"">""Fix 404 pages""</a> lists all paths that have resulted in 404 errors and do not yet have any redirects assigned to them. This 404 (or Not Found) error message is an HTTP standard response code indicating that the client was able to communicate with a given server, but the server could not find what was requested.","","","False","","",""
"redirect.module:262","A redirect set for a specific language will always be used when requesting this page in that language, and takes precedence over redirects set for <em>All languages</em>.","","","False","","",""
"modules/redirect_domain/redirect_domain.module:13","About","Info","","False","","",""
"src/Plugin/migrate/source/d7/PathRedirect.php:67","Access","","","False","","",""
"redirect.routing.yml:0","Add URL redirect","","","False","","",""
"redirect.module:146","Add URL redirect from this page to another location","","","False","","",""
"modules/redirect_domain/src/Form/RedirectDomainForm.php:90","Add another","","","False","","",""
"modules/redirect_404/src/Plugin/views/field/Redirect404Operations.php:94","Add redirect","","","False","","",""
"modules/redirect_404/redirect_404.links.menu.yml:0","Add redirects for 404 pages.","","","False","","",""
"redirect.permissions.yml:0","Administer global URL redirection settings","","","False","","",""
"redirect.permissions.yml:0","Administer individual URL redirections","","","False","","",""
"modules/redirect_404/redirect_404.module:42","All","Alle","","False","","",""
"redirect.module:260","All languages","","","False","","",""
"config/schema/redirect.schema.yml:0","Allow redirections on admin paths.","","","False","","",""
"modules/redirect_domain/redirect_domain.info.yml:0","Allows users to redirect between domains.","","","False","","",""
"redirect.info.yml:0","Allows users to redirect from old URLs to new URLs.","","","False","","",""
"redirect.generate.inc:176","An error occurred while processing @operation with arguments : @args","","","False","","",""
"src/Form/RedirectDeleteForm.php:15","Are you sure you want to delete the URL redirect from %source to %redirect?","","","False","","",""
"src/Form/RedirectDeleteMultipleForm.php:90","Are you sure you want to delete this redirect?","","","False","","",""
"modules/redirect_404/config/install/views.view.redirect_404.yml:0","Asc","aufsteigend","","False","","",""
"src/Form/RedirectSettingsForm.php:30","Automatically create redirects when URL aliases are changed.","","","False","","",""
"src/Form/RedirectSettingsForm.php:71","Check access to the redirected page","","","False","","",""
"modules/redirect_404/redirect_404.module:48","Clear all 404 log entries","","","False","","",""
"redirect.module:61","Configure Global Redirects","","","False","","",""
"redirect.links.menu.yml:0","Configure behavior for URL redirects.","","","False","","",""
"modules/redirect_404/config/install/views.view.redirect_404.yml:0","Count","","","False","","",""
"config/install/views.view.redirect.yml:0","Created","Erstellt","","False","","",""
"modules/redirect_404/config/install/views.view.redirect_404.yml:0","Daily count","","","False","","",""
"src/Form/RedirectSettingsForm.php:48","Default redirect status","","","False","","",""
"src/Form/RedirectDeleteMultipleForm.php:104","Delete","Löschen","","False","","",""
"redirect.routing.yml:0","Delete URL redirect","","","False","","",""
"redirect.generate.inc:28","Delete all URL redirects before generating new URL redirects.","","","False","","",""
"src/Plugin/Action/DeleteRedirect.php:11","Delete redirect","","","False","","",""
"config/schema/redirect.schema.yml:0","Delete redirect configuration","","","False","","",""
"src/Form/RedirectDeleteMultipleForm.php:135","Deleted 1 redirect.","","","False","","",""
"src/Form/RedirectDeleteMultipleForm.php:134","Deleted @count redirects.","","","False","","",""
"redirect.generate.inc:76","Deleted URL redirect @rid.","","","False","","",""
"modules/redirect_404/config/install/views.view.redirect_404.yml:0","Desc","Absteigend","","False","","",""
"modules/redirect_domain/src/Form/RedirectDomainForm.php:43","Destination","","","False","","",""
"src/Form/RedirectSettingsForm.php:42","Display a warning message to users when they are redirected.","","","False","","",""
"modules/redirect_domain/config/schema/redirect_domain.schema.yml:0","Domain redirects","","","False","","",""
"redirect.routing.yml:0;0","Edit URL redirect","","","False","","",""
"src/Form/RedirectSettingsForm.php:61","Enabling this will automatically redirect to the canonical URL of any page. That includes redirecting to an alias if existing, removing trailing slashes, ensure the language prefix is set and similar clean-up.","","","False","","",""
"src/Form/RedirectSettingsForm.php:60","Enforce clean and canonical URLs.","","","False","","",""
"src/Entity/Redirect.php:298","Enter an internal Drupal path or path alias to redirect (e.g. %example1 or %example2). Fragment anchors (e.g. %anchor) are <strong>not</strong> allowed.","","","False","","",""
"modules/redirect_domain/redirect_domain.module:21","Example Configuration","","","False","","",""
"modules/redirect_domain/redirect_domain.module:26","Example Redirects","","","False","","",""
"modules/redirect_404/config/install/views.view.redirect_404.yml:0","Filter","","","False","","",""
"modules/redirect_404/src/Form/RedirectFix404Form.php:99","Filter 404s","","","False","","",""
"modules/redirect_404/config/install/views.view.redirect_404.yml:0","Fix 404 pages","","","False","","",""
"modules/redirect_404/redirect_404.links.action.yml:0","Fix 404 pages with URL redirects","","","False","","",""
"src/Form/RedirectSettingsForm.php:38","For example, given a redirect from %source to %redirect, if a user visits %sourcequery they would be redirected to %redirectquery. The query strings in the redirection will always take precedence over the current query string.","","","False","","",""
"src/Plugin/migrate/source/PathRedirect.php:46","Fragment","","","False","","",""
"config/install/views.view.redirect.yml:0;0","From","","","False","","",""
"modules/redirect_domain/src/Form/RedirectDomainForm.php:41","From domain","","","False","","",""
"redirect.generate.inc:33","Generate","","","False","","",""
