"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"html/modules/custom/regiotwente_landing_page/config/install/views.view.regio_twente_news.yml:0",",","","",FALSE,"","",""
"html/modules/custom/regiotwente_landing_page/config/install/views.view.featured_group_reference.yml:0","'- All -'","","",FALSE,"","",""
"html/modules/custom/regiotwente_landing_page/config/install/views.view.newest_users.yml:0;0","'- Alle -'","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/config/install/views.view.search_all.yml:0","<h4 class=""section-title"">All results</h4>","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/regiotwente_core.install:591","'@language assigned as default'","","",FALSE,"","",""
"html/themes/custom/regiotwente/templates/profile/profile--profile--default.html.twig:126","'@profile_name has not shared profile information.'","","",FALSE,"","",""
"html/themes/custom/regiotwente/color/color.inc:13","Accent color","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/config/install/views.view.activity_stream.yml:0","Activity Stream","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/regiotwente_core.install:583","Added language: @language","","",FALSE,"","",""
"html/themes/custom/regiotwente/templates/profile/profile--profile--default.html.twig:91","Address","","",FALSE,"","",""
"html/modules/custom/regiotwente_landing_page/config/install/views.view.newest_users.yml:0","Aflopend","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/config/install/views.view.search_all.yml:0","All","","",FALSE,"","",""
"html/modules/custom/regiotwente_landing_page/config/install/views.view.newest_users.yml:0;0","All members","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/config/install/user.settings.yml:0","Anonymous","","",FALSE,"","",""
"html/modules/custom/regiotwente_landing_page/config/install/views.view.regio_twente_news.yml:0","Apply","","",FALSE,"","",""
"html/modules/custom/regiotwente_landing_page/config/install/views.view.regio_twente_news.yml:0","Asc","","",FALSE,"","",""
"html/themes/custom/regiotwente/theme-settings.php:38","Border radius","","",FALSE,"","",""
"html/themes/custom/regiotwente/regiotwente.info.yml:0","Breadcrumb","","",FALSE,"","",""
"html/themes/custom/regiotwente/theme-settings.php:69","Button border radius (px)","","",FALSE,"","",""
"html/themes/custom/regiotwente/theme-settings.php:55","Card border radius (px)","","",FALSE,"","",""
"html/themes/custom/regiotwente/os-builder/kss-assets/drupal-core.js:0","Changed","","",FALSE,"","",""
"html/themes/custom/regiotwente/regiotwente.info.yml:0","Complementary bottom","","",FALSE,"","",""
"html/themes/custom/regiotwente/regiotwente.info.yml:0","Complementary top","","",FALSE,"","",""
"html/themes/custom/regiotwente/templates/profile/profile--profile--default.html.twig:72","Contact information","","",FALSE,"","",""
"html/themes/custom/regiotwente/regiotwente.info.yml:0","Content","","",FALSE,"","",""
"html/themes/custom/regiotwente/regiotwente.info.yml:0","Content bottom","","",FALSE,"","",""
"html/themes/custom/regiotwente/regiotwente.info.yml:0","Content top","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/regiotwente_core.info.yml:0","Core feature that provide Regio Twente specific features.","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/regiotwente_core.install:553","Could not add language. Is the 'language' module enabled?","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/regiotwente_core.install:601","Could not add translations. Is the 'locale' module enabled?","","",FALSE,"","",""
"html/modules/custom/regiotwente_demo_landing/regiotwente_demo_landing.install:20","Could not import landing. Is the 'yaml_content' module enabled?","","",FALSE,"","",""
"html/modules/custom/regiotwente_landing_page/config/install/views.view.featured_group_reference.yml:0","Custom selection handler for group that will be selected as featured.","","",FALSE,"","",""
"html/themes/custom/regiotwente/theme-settings.php:71","Define the roundness of buttons corners.","","",FALSE,"","",""
"html/themes/custom/regiotwente/theme-settings.php:57","Define the roundness of cards corners.","","",FALSE,"","",""
"html/themes/custom/regiotwente/theme-settings.php:64","Define the roundness of the corners of form-controls, like <code>input</code>, <code>textarea</code> and <code>select</code>","","",FALSE,"","",""
"html/modules/custom/regiotwente_demo_landing/regiotwente_demo_landing.info.yml:0","Demo landing page for Regio Twente","","",FALSE,"","",""
"html/modules/custom/regiotwente_landing_page/config/install/views.view.regio_twente_news.yml:0","Desc","","",FALSE,"","",""
"html/modules/custom/regiotwente_landing_page/config/install/views.view.newest_users.yml:0","Displays a block and page for the newest users on the platform based on Profile","","",FALSE,"","",""
"html/themes/custom/regiotwente/os-builder/kss-assets/drupal-core.js:0","Drag to re-order","","",FALSE,"","",""
"html/themes/custom/regiotwente/templates/profile/profile--profile--default.html.twig:84","E-mail","","",FALSE,"","",""
"html/themes/custom/regiotwente/templates/node/node--hero.html.twig:82","Edit content","","",FALSE,"","",""
"html/themes/custom/regiotwente/templates/profile/profile--profile--hero.html.twig:32","Edit profile information","","",FALSE,"","",""
"html/modules/features/regiotwente_gdpr/regiotwente_gdpr.info.yml:0","Enables the social_gdpr module and contains the Regiotwente GDPR blocks.","","",FALSE,"","",""
"html/modules/custom/regiotwente_landing_page/config/install/views.view.featured_group_reference.yml:0","Entity Reference","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/config/install/views.view.activity_stream.yml:0","Explore","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/config/install/views.view.activity_stream.yml:0","Explore Stream","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/config/install/views.view.activity_stream.yml:0","Explore page for LU","","",FALSE,"","",""
"html/modules/custom/regiotwente_landing_page/config/install/views.view.featured_group_reference.yml:0","Featured group reference","","",FALSE,"","",""
"html/modules/custom/regiotwente_core/regiotwente_core.install:645","File to import at @filepath not found.","","",FALSE,"","",""
