"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"schemata.permissions.yml:0","Access the different data models","","","False","","",""
"schemata_json_schema/src/Normalizer/jsonapi/ListDataDefinitionNormalizer.php:60","Entity attributes","","","False","","",""
"schemata_json_schema/src/Normalizer/jsonapi/RelationshipFieldDefinitionNormalizer.php:67","Entity relationships","","","False","","",""
"schemata.info.yml:0","Provide schema definitions of Drupal entities for type validation, code generation, and documentation.","","","False","","",""
"schemata_json_schema/schemata_json_schema.info.yml:0","Provides a data models for entity types and bundles in JSON schema format.","","","False","","",""
"schemata_json_schema/src/Normalizer/jsonapi/RelationshipFieldDefinitionNormalizer.php:105","Referenced resource","","","False","","",""
"schemata_json_schema/src/Normalizer/jsonapi/SchemataSchemaNormalizer.php:63","Resource ID","","","False","","",""
"schemata_json_schema/src/Normalizer/jsonapi/SchemataSchemaNormalizer.php:58","Resource type","Ressourcentyp","","False","","",""
"src/SchemaFactory.php:113","Schema generated for Entity Type (%entity_type) and Bundle (%bundle).","","","False","","",""
"schemata.info.yml:0","Schemata","","","False","","",""
"schemata_json_schema/schemata_json_schema.info.yml:0","Schemata in JSON Schema","","","False","","",""
"src/SchemaFactory.php:96","Specified Entity Bundle ""%bundle"" does not exist.","","","False","","",""
"schemata_json_schema/schemata_json_schema.info.yml:0","Web services","Webservices","","False","","",""
