"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/facets_map_widget/src/Plugin/facets/widget/RptMapWidget.php:8","A configurable widget that builds an location array with results.","","","False","","",""
"modules/search_api_location_views/config/schema/search_api_location_views.schema.yml:0","A mapping of values","","","False","","",""
"src/LocationInput/LocationInputPluginBase.php:59","Add one line per option for “Range” you want to provide. The first part of each line is the distance in kilometres, everything after the first space is the label. ""-"" as the distance ignores the location for filtering, but will still use it for facets, sorts and distance calculation. Skipping the distance altogether (i.e., starting the line with a space) will provide an option for ignoring the entered location completely.","","","False","","",""
"modules/search_api_location_views/search_api_location_views.info.yml:0","Adds Views integration for the Search API Location module.","","","False","","",""
"modules/search_api_location_geocoder/search_api_location_geocoder.info.yml:0","Adds support for the geocoder module to Search API location.","","","False","","",""
"src/Plugin/search_api_location/location_input/Map.php:60","Border color","","","False","","",""
"src/Plugin/search_api_location/location_input/Map.php:68","Border weight","","","False","","",""
"src/LocationInput/LocationInputPluginBase.php:71","Choose the units for the distance.","","","False","","",""
"modules/search_api_location_views/config/schema/search_api_location_views.schema.yml:0","Distance","","","False","","",""
"modules/search_api_location_views/config/schema/search_api_location_views.schema.yml:0","Distance from","","","False","","",""
"src/LocationInput/LocationInputPluginBase.php:58","Distance options","","","False","","",""
"src/LocationInput/LocationInputPluginBase.php:70","Distance units","","","False","","",""
"modules/facets_map_widget/src/Plugin/facets/processor/RptMapProcessor.php:9","Facets Map Processor","","","False","","",""
"modules/facets_map_widget/facets_map_widget.info.yml:0","Facets Map Widget","","","False","","",""
"src/Plugin/search_api_location/location_input/Map.php:76","Fill color","","","False","","",""
"src/Plugin/search_api_location/location_input/Map.php:84","Fill transparency","","","False","","",""
"modules/search_api_location_views/config/schema/search_api_location_views.schema.yml:0","Geocode input plugin","","","False","","",""
"js/location-picker.js:0","Geocode was not successful for the following reason: ","","","False","","",""
"modules/search_api_location_geocoder/src/Plugin/search_api_location/location_input/Geocode.php:13","Geocoded input","","","False","","",""
"js/location-picker.js:0","Geocoder failed due to: ","","","False","","",""
"modules/search_api_location_geocoder/src/Plugin/search_api_location/location_input/Geocode.php:130","Geocoder plugins","","","False","","",""
"modules/search_api_location_views/src/Plugin/views/filter/SearchApiFilterLocation.php:105","Input method","","","False","","",""
"modules/facets_map_widget/src/Plugin/facets/widget/RptMapWidget.php:8","Interactive map showing the clustered heatmap","","","False","","",""
"src/Plugin/search_api/data_type/LocationDataType.php:7","Latitude/Longitude","","","False","","",""
"src/Plugin/search_api_location/location_input/Map.php:8","Let user choose a location on a map.","","","False","","",""
"src/Plugin/search_api_location/location_input/Raw.php:8","Let user enter a location as decimal latitude and longitude, separated by a comma.","","","False","","",""
"modules/search_api_location_geocoder/src/Plugin/search_api_location/location_input/Geocode.php:13","Let user enter an address that will be geocoded.","","","False","","",""
"modules/search_api_location_views/config/schema/search_api_location_views.schema.yml:0","List of geocode plugins","","","False","","",""
"src/Plugin/search_api/data_type/LocationDataType.php:7","Location data type implementation","","","False","","",""
"modules/search_api_location_views/config/schema/search_api_location_views.schema.yml:0","Location input plugin name","","","False","","",""
"src/Plugin/search_api_location/location_input/Map.php:8","Map","","","False","","",""
"modules/search_api_location_views/config/schema/search_api_location_views.schema.yml:0","Map radius background color","","","False","","",""
"modules/search_api_location_views/config/schema/search_api_location_views.schema.yml:0","Map radius background transparency","","","False","","",""
"modules/search_api_location_views/config/schema/search_api_location_views.schema.yml:0","Map radius border color","","","False","","",""
