"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Utility/CommandHelper.php:391","!index was successfully scheduled for reindexing.","","",FALSE,"","",""
"src/Plugin/views/argument/SearchApiAllTerms.php:200","""All taxonomy term fields"" contextual filter could not be applied as no indexed fields were found matching the given vocabularies of the given terms (@terms).","","",FALSE,"","",""
"src/Plugin/views/argument/SearchApiAllTerms.php:146","""All taxonomy term fields"" contextual filter could not be applied as taxonomy term %label (ID: @id) belongs to vocabulary %vocabulary, not contained in any indexed fields.","","",FALSE,"","",""
"search_api.drush.inc:286","'% Complete'","'% fertig'","",FALSE,"","",""
"src/Form/IndexFieldsForm.php:419","'%field_id is a reserved value and cannot be used as the machine name of a normal field.'","","",FALSE,"","",""
"src/Plugin/search_api/display/ViewsDisplayDeriver.php:99","'%view_description – Represents the display %display_title of view %view_name.'","","",FALSE,"","",""
"search_api.views.inc:77;822;835","(No description available)","","",FALSE,"","",""
"modules/search_api_db/search_api_db_defaults/config/optional/views.view.search_content.yml:0","'- All -'","'- Alle -'","",FALSE,"","",""
"src/Form/IndexForm.php:274","'- No server -'","","",FALSE,"","",""
"src/IndexBatchHelper.php:194","1 item could not be indexed. Check the logs for details.","","",FALSE,"","",""
"src/Plugin/views/filter/SearchApiUser.php:44","<>","","",FALSE,"","",""
"src/Form/IndexRebuildTrackerConfirmForm.php:37","<p>The complete information about existing and indexed items for this index will be deleted and will have to be rebuilt.</p><p>This should usually not be necessary, but can help if some existing items aren't contained in the index's tracking data for whatever reason (in other words, when the total number of items to be indexed is less than it should be).</p><p>This action cannot be undone.</p>","","",FALSE,"","",""
"src/Form/IndexFieldsForm.php:171","<p>The data type of a field determines how it can be used for searching and filtering. The boost is used to give additional weight to certain fields, for example titles or tags.</p> <p>For information about the data types available for indexing, see the <a href="":url"">data types table</a> at the bottom of the page.</p>","","",FALSE,"","",""
"src/Plugin/views/filter/SearchApiUser.php:28;36","'='","","",FALSE,"","",""
"search_api.views.inc:80;684","'@datasource datasource'","","",FALSE,"","",""
"search_api.views.inc:738","'@entity_type relationship'","","",FALSE,"","",""
"search_api.views.inc:91","'@field (indexed field)'","","",FALSE,"","",""
"search_api.views.inc:821","'@field_name: @label'","","",FALSE,"","",""
"src/Utility/CommandHelper.php:475","'@index was not found'","","",FALSE,"","",""
"src/Utility/CommandHelper.php:445","'@index was successfully cleared.'","","",FALSE,"","",""
"search_api.theme.inc:343;437","'@indexed/@total indexed'","","",FALSE,"","",""
"search_api.views.inc:820","'@label referenced from @field_name'","'@label wird von @field_name referenziert'","",FALSE,"","",""
"src/Plugin/search_api/processor/Property/AggregatedFieldProperty.php:144","A @type aggregation of the following fields: @fields.","","",FALSE,"","",""
"src/Plugin/search_api/processor/Highlight.php:634","A PCRE error (#%error_num) occurred during results highlighting.","","",FALSE,"","",""
"src/Plugin/search_api/processor/AddURL.php:35","A URI where the item can be accessed","","",FALSE,"","",""
"src/Plugin/search_api/processor/TypeBoost.php:69","A boost of 1.00 is the default. Assign a boost of 0.00 to not score the item at all.","","",FALSE,"","",""
"config/schema/search_api.datasource.schema.yml:0","A bundle machine name","","",FALSE,"","",""
"src/Display/DisplayPluginBase.php:11","A few words about this search display","","",FALSE,"","",""
"config/schema/search_api.index.schema.yml:0","A label for the field","","",FALSE,"","",""
"config/optional/tour.tour.search-api-index-fields.yml:0","A label for the field that will be used to refer to the field in most places in the user interface.","","",FALSE,"","",""
"config/schema/search_api.datasource.schema.yml:0","A language code","Ein Sprachkürzel","",FALSE,"","",""
"config/schema/search_api.views.schema.yml:0;0","A list of all the bundles and their configured view mode","","",FALSE,"","",""
"config/schema/search_api.processor.schema.yml:0","A property that should be part of the aggregation","","",FALSE,"","",""
"modules/search_api_db/search_api_db_defaults/config/optional/views.view.search_content.yml:0","A search page preconfigured to search through the content of your site","","",FALSE,"","",""
"src/Form/IndexAddFieldsForm.php:403","Add","Hinzufügen","",FALSE,"","",""
"config/schema/search_api.processor.schema.yml:0","Add URL configuration","","",FALSE,"","",""
"src/Plugin/search_api/processor/AggregatedFields.php:11","Add customized aggregations of existing fields to the index.","","",FALSE,"","",""
"config/optional/tour.tour.search-api-index-fields.yml:0","Add fields","Felder hinzufügen","",FALSE,"","",""
"src/Form/IndexAddFieldsForm.php:171","Add fields to index %index","","",FALSE,"","",""
"search_api.links.action.yml:0","Add index","Index hinzufügen","",FALSE,"","",""
"config/optional/tour.tour.search-api-index-form.yml:0","Add or edit a Search API index","","",FALSE,"","",""
"config/optional/tour.tour.search-api-server-form.yml:0","Add or edit a Search API server","","",FALSE,"","",""
"src/Form/IndexForm.php:125","Add search index","","",FALSE,"","",""
"src/Form/ServerForm.php:79","Add search server","","",FALSE,"","",""
"search_api.links.action.yml:0","Add server","Server hinzufügen","",FALSE,"","",""
"config/optional/tour.tour.search-api-server-form.yml:0","Adding or editing a Server","","",FALSE,"","",""
"config/optional/tour.tour.search-api-index-form.yml:0","Adding or editing an index","","",FALSE,"","",""
"src/Plugin/search_api/processor/NumberFieldBoost.php:11","Adds a boost to indexed items based on the value of a numeric field.","","",FALSE,"","",""
"src/Plugin/search_api/processor/TypeBoost.php:11","Adds a boost to indexed items based on their datasource and/or bundle.","","",FALSE,"","",""
"src/Plugin/search_api/processor/Highlight.php:17","Adds a highlighted excerpt to results and highlights returned fields.","","",FALSE,"","",""
"src/Plugin/search_api/processor/RenderedItem.php:21","Adds an additional field containing the rendered item as it would look when viewed.","","",FALSE,"","",""
"src/Plugin/search_api/processor/ContentAccess.php:22","Adds content access checks for nodes and comments.","","",FALSE,"","",""
"src/Plugin/search_api/processor/AddURL.php:10","Adds the item's URL to the indexed data.","","",FALSE,"","",""
"src/Plugin/search_api/processor/LanguageWithFallback.php:15","Adds the item's language to the indexed data, and considers language fallbacks.","","",FALSE,"","",""
"search_api.permissions.yml:0","Administer Search API","","",FALSE,"","",""
"config/optional/tour.tour.search-api-index-form.yml:0","Advanced options","Erweiterte Optionen","",FALSE,"","",""
"src/Plugin/search_api/processor/AggregatedFields.php:37","Aggregated field","","",FALSE,"","",""
"config/schema/search_api.processor.schema.yml:0","Aggregated field configuration","","",FALSE,"","",""
"src/Plugin/search_api/processor/AggregatedFields.php:11","Aggregated fields","","",FALSE,"","",""
"src/Plugin/search_api/processor/NumberFieldBoost.php:67","Aggregation","","",FALSE,"","",""
"src/Plugin/search_api/processor/Property/AggregatedFieldProperty.php:44","Aggregation type","Zusammenfassungstyp","",FALSE,"","",""
"search_api.drush.inc:174","Alias to clear all search indexes on the search server @server.","","",FALSE,"","",""
"search_api.drush.inc:122","Alias to clear all search indexes.","","",FALSE,"","",""
"search_api.drush.inc:63","Alias to disable all enabled indexes.","","",FALSE,"","",""
"search_api.drush.inc:164","Alias to disable the @server search server.","","",FALSE,"","",""
"search_api.drush.inc:53","Alias to disable the search index with the ID @name.","","",FALSE,"","",""
"search_api.drush.inc:43","Alias to enable all disabled indexes.","","",FALSE,"","",""
"search_api.drush.inc:154","Alias to enable the @server search server.","","",FALSE,"","",""
"search_api.drush.inc:33","Alias to enable the search index with the ID @name.","","",FALSE,"","",""
"search_api.drush.inc:84","Alias to index all items for all enabled indexes.","","",FALSE,"","",""
"search_api.drush.inc:24","Alias to list all search indexes.","","",FALSE,"","",""
"search_api.drush.inc:145","Alias to list all search servers.","","",FALSE,"","",""
"search_api.drush.inc:101","Alias to schedule all search indexes for reindexing .","","",FALSE,"","",""
