"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Block/ShariffBlock.php:253","A string that will be appended to the share url. Disabled when empty.","","","False","","",""
"shariff.module:25","About Shariff","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:79","Activated services","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:90","AddThis","","","False","","",""
"shariff.install:29","Available","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:266","Backend URL","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:340","Blank","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:10","Blocks","Blöcke","","False","","",""
"src/Plugin/Block/ShariffBlock.php:103","Buffer","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:154","Button Style","","","False","","",""
"config/schema/shariff.schema.yml:0","Button layout","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:135","CSS","","","False","","",""
"config/schema/shariff.schema.yml:0","CSS variant","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:370","Canonical URL","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:281","Category to be used for Flattr.","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:120","Colored","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:139","Complete (Contains also Font Awesome)","","","False","","",""
"shariff.links.menu.yml:0","Configure Shariff sharing button default settings.","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:94","Diaspora","","","False","","",""
"shariff.module:245","Display of Shariff sharing buttons using default settings.","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:65","Do not display block if Web Share API is supported","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:101","E-Mail","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:84","Facebook","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:356","Fixed title to be used as share text in Twitter/Whatsapp.
      Normally you want to leave it as it is, then page's DC.title/DC.creator or page title is used.","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:93","Flattr","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:280","Flattr category","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:294","Flattr user","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:95","Flipboard","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:121","Grey","","","False","","",""
"src/Form/ShariffSettingsForm.php:89","Hide block if Web Share API is supported","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:180","Horizontal","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:337","How the above URL should be opened. Please choose a display option.","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:161","Icon","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:162","Icon Count","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:238","If a mailto: link is provided in Mail link above, then this value is used as the mail body.
 Left empty the page title is used.","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:223","If a mailto: link is provided in Mail link above, then this value is used as the mail subject.
 Left empty the page's current (canonical) URL or og:url is used.","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:102","Info Button","","","False","","",""
"config/schema/shariff.schema.yml:0","Info Link","","","False","","",""
"config/schema/shariff.schema.yml:0","Information display link","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:85","LinkedIn","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:237","Mail body","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:207","Mail link","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:222","Mail subject","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:308","Media url","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:309","Media url to be shared (Pinterest).","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:140","Minimal (If Font Awesome is already included in your site)","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:141","None (Without any CSS)","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:175","Orientation","","","False","","",""
"config/schema/shariff.schema.yml:0","Orientation of the buttons","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:86","Pinterest","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:136","Please choose a CSS variant. Font Awesome is used to display the services icons.","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:155","Please choose a button style.
      With ""icon only"" the icon is shown, with ""icon-count"" icon and counter and with ""standard icon"", text and counter are shown, depending on the display size.
      Please note: For showing counters you have to provide a working Shariff backend URL.","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:117","Please choose a layout option.","","","False","","",""
"src/Plugin/Block/ShariffBlock.php:80","Please define for which services a sharing button should be included.","","","False","","",""
