"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Field/FieldType/AdvancedImageItem.php:82","<em>Copyright</em> field required","Feld <em>Copyright</em> erforderlich","","False","","",""
"social_advanced_image.info.yml:0","Adds support for advanced attributes on images like a copyright attribute.","","","False","","",""
"src/Plugin/Field/FieldWidget/AdvancedImageCropAttributeWidget.php:16","Advanced Crop Image","","","False","","",""
"src/Plugin/Field/FieldWidget/AdvancedImageAttributeWidget.php:14","Advanced Image","","","False","","",""
"config/schema/social_advanced_image.schema.yml:0","Advanced Image Crop widget settings","","","False","","",""
"src/Plugin/Filter/FilterAdvancedImage.php:11","Advanced Images","","","False","","",""
"src/Plugin/CKEditorPlugin/AdvancedImageCopyright.php:9","Advanced image copyright widget","","","False","","",""
"src/Plugin/Field/FieldType/AdvancedImageItem.php:8","Alt","","","False","","",""
"src/Entity/ImageAttribute.php:130","Changed","Geändert","","False","","",""
"src/Plugin/Field/FieldType/AdvancedImageItem.php:8","Copyright","Copyright","","True","","",""
"src/Plugin/Field/FieldWidget/AdvancedImageCropAttributeWidget.php:95","Copyright attribute: @bool","Copyright Attribut: @bool","","False","","",""
"src/Plugin/CKEditorPlugin/AdvancedImageCopyright.php:62","Copyright button","Copyright Button","","False","","",""
"src/Plugin/Field/FieldWidget/AdvancedImageCropAttributeWidget.php:146","Copyright text","Copyright Text","","False","","",""
"src/Entity/ImageAttribute.php:126","Created","Erstellt","","False","","",""
"src/Plugin/Field/FieldWidget/AdvancedImageCropAttributeWidget.php:81","Display copyright attribute","Copyright-Attribut anzeigen","","False","","",""
"src/Plugin/Field/FieldType/AdvancedImageItem.php:75","Enable <em>Copyright</em> field","Feld <em>Copyright</em> aktivieren","","False","","",""
"src/Plugin/Field/FieldType/AdvancedImageItem.php:8","File","Datei","","False","","",""
"src/Entity/ImageAttribute.php:122","File ID","Datei-ID","","False","","",""
"src/Plugin/Field/FieldType/AdvancedImageItem.php:8","Image Advanced","Bild Erweitert","","False","","",""
"src/Entity/ImageAttribute.php:10","Image attribute","Bildattribut","","False","","",""
"src/Entity/ImageAttribute.php:101","Name","Name","","False","","",""
"src/Plugin/Field/FieldWidget/AdvancedImageCropAttributeWidget.php:96","No","Nein","","False","","",""
"src/Plugin/Field/FieldType/AdvancedImageItem.php:8","Reference","Verweis","","False","","",""
"social_advanced_image.info.yml:0","Social","Sozial","","False","","",""
"social_advanced_image.info.yml:0","Social Advanced Image","","","False","","",""
"src/Plugin/Field/FieldWidget/AdvancedImageCropAttributeWidget.php:148","The copyright attribute is used as a tooltip when the mouse hovers over the image.","Das Copyright-Attribut wird als Tooltip verwendet, wenn die Maus über das Bild fährt.","","False","","",""
"src/Entity/ImageAttribute.php:135","The copyright value.","Der Copyright Wert.","","False","","",""
"src/Plugin/Field/FieldWidget/AdvancedImageCropAttributeWidget.php:83","The copyright will only be shown when it has been supplied","Das Copyright wird erst angezeigt, wenn es eingefügt wurde","","False","","",""
"src/Entity/ImageAttribute.php:123","The file id that the attribute belongs to.","","","False","","",""
"src/Entity/ImageAttribute.php:102","The name of the Image attribute entity.","","","False","","",""
"src/Entity/ImageAttribute.php:127","The time that the entity was created.","Der Erstellungszeitpunkt der Entität.","","False","","",""
"src/Entity/ImageAttribute.php:131","The time that the entity was last edited.","Der letzte Aktualisierungszeitpunkt der Entität.","","False","","",""
"src/Plugin/Field/FieldType/AdvancedImageItem.php:8","This field stores the ID of an image file as an integer value.","","","False","","",""
"src/Plugin/Field/FieldType/AdvancedImageItem.php:8","Title","Titel","","False","","",""
"src/Plugin/Filter/FilterAdvancedImage.php:11","Uses <code>data-*</code> attributes on <code>&lt;img&gt;</code> tags to add advanced functionalities to images.","","","False","","",""
"src/Plugin/Field/FieldWidget/AdvancedImageCropAttributeWidget.php:96","Yes","Ja","","False","","",""
