"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Utility/SocialApiImplementerInstaller.php:49","'@name could not be installed because @library was not found. @name must be installed using Composer. Please read the installation instructions.'","","","False","","",""
"src/Utility/SocialApiImplementerInstaller.php:39","'@name could not be installed because an incompatible version of @library was detected. Please read the installation instructions.'","","","False","","",""
"social_api.permissions.yml:0","Administer Social API autoposting","","","False","","",""
"social_api.permissions.yml:0","Administer Social API blocks","","","False","","",""
"social_api.permissions.yml:0","Administer Social API user authentication","","","False","","",""
"social_api.permissions.yml:0","Administer Social API widgets","","","False","","",""
"social_api.info.yml:0","Common interface for communicating with social networking services.","","","False","","",""
"src/User/UserManager.php:107","Failed to to query entity. Exception: @message","","","False","","",""
"src/Controller/SocialApiController.php:49","Module","Modul","","False","","",""
"social_api.permissions.yml:0","Perform administration tasks for Social API Autoposting","","","False","","",""
"social_api.permissions.yml:0","Perform administration tasks for Social API Blocks","","","False","","",""
"social_api.permissions.yml:0","Perform administration tasks for Social API Plugins","","","False","","",""
"social_api.permissions.yml:0","Perform administration tasks for Social API user authentication","","","False","","",""
"social_api.info.yml:0","Social","","","False","","",""
"social_api.routing.yml:0","Social API","","","False","","",""
"social_api.links.menu.yml:0","Social API settings","","","False","","",""
"src/Controller/SocialApiController.php:50","Social Network","","","False","","",""
"src/Controller/SocialApiController.php:65","There are no social integrations enabled.","","","False","","",""
