"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_app.permissions.yml:0","Administer App Settings","","",FALSE,"","",""
"social_app.links.menu.yml:0","Administer app settings.","","",FALSE,"","",""
"src/Form/SocialAppSettingsForm.php:70","Android","","",FALSE,"","",""
"src/Form/SocialAppSettingsForm.php:76;111","App name","","",FALSE,"","",""
"social_app.routing.yml:0","App settings","","",FALSE,"","",""
"src/Form/SocialAppSettingsForm.php:93","Code","","",FALSE,"","",""
"src/Form/SocialAppSettingsForm.php:79;87;114;125","E.g. @value","","",FALSE,"","",""
"src/Plugin/Push/FirebasePush.php:12","Firebase","","",FALSE,"","",""
"src/Plugin/ActivityDestination/SocialAppPushActivityDestination.php:7","Firebase Push","","",FALSE,"","",""
"social_app.info.yml:0","Integrate Open Social to mobile application.","","",FALSE,"","",""
"src/Plugin/Push/FirebasePush.php:112","Mobile app","","",FALSE,"","",""
"src/Plugin/ActivitySend/SocialAppPushSend.php:9","Push notifications to the Open Social mobile app.","","",FALSE,"","",""
"src/Form/SocialAppSettingsForm.php:137","Save","Speichern","",FALSE,"","",""
"social_app.info.yml:0","Social","Sozial","",FALSE,"","",""
"social_app.info.yml:0","Social App","","",FALSE,"","",""
"src/Form/SocialAppSettingsForm.php:122","Team name","","",FALSE,"","",""
"social_app.module:88","The @username's device token @token has been deleted successfully from user device tokens group.","","",FALSE,"","",""
"social_app.module:91","The @username's device token @token has not been deleted from user device tokens group.","","",FALSE,"","",""
"src/Form/SocialAppSettingsForm.php:152","The configuration options have been saved.","","",FALSE,"","",""
"src/Form/SocialAppSettingsForm.php:105","iOS","","",FALSE,"","",""
