"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/install/views.view.birthday.yml:0","'- All -'","'- Alle -'","",FALSE,"","",""
"config/install/views.view.birthday.yml:0;0","/birthday","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","All","","",FALSE,"","",""
"social_birthday.info.yml:0","Allows for the module to select a birthday field on the profile and use the widgets","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0;0","Apply","Anwenden","",FALSE,"","",""
"config/install/views.view.birthday.yml:0;0","Asc","aufsteigend","",FALSE,"","",""
"src/Plugin/UserExportPlugin/UserBirthday.php:24;9","Birthday","","",FALSE,"","",""
"src/Plugin/Block/BirthdayFilterBlock.php:13","Birthday Filter","","",FALSE,"","",""
"config/install/core.entity_view_mode.profile.birthday_normal.yml:0","Birthday normal","","",FALSE,"","",""
"config/install/core.entity_view_mode.profile.birthday_small.yml:0","Birthday small","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0;0","Desc","Absteigend","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","Displays birthdays from today into the future","","",FALSE,"","",""
"templates/block--birthday-filter.html.twig:56","Filter","Filter","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","Items per page","Elemente pro Seite","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","Last »","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","Master","","",FALSE,"","",""
"src/Form/BirthdayFilter.php:34","Month","Monat","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","Next ›","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","Offset","Versatz","",FALSE,"","",""
"social_birthday.module:119","Post a birthday wish","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0;0","Reset","Zurücksetzen","",FALSE,"","",""
"config/install/views.view.birthday.yml:0;0","See more","","",FALSE,"","",""
"social_birthday.info.yml:0","Social","Sozial","",FALSE,"","",""
"social_birthday.info.yml:0","Social Birthday","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0;0","Sort by","Sortieren nach","",FALSE,"","",""
"social_birthday.module:133","Today","Heute","",FALSE,"","",""
"src/SocialBirthdayOverride.php:60","Upcoming Birthdays","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0;0;0","Upcoming birthdays","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","Upcoming birthdays in the current year","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","User","Nutzer:in","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","block_upcoming_birthdays","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","contextual_month","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","filter_birthday_next_greater_than_today","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","filter_birthday_next_no_empty","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","filter_profiletype","","",FALSE,"","",""
"social_birthday.module:198","in the community","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","msg_noresult","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","page_currentyear","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","sort_birthday_next","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","« First","","",FALSE,"","",""
"config/install/views.view.birthday.yml:0","‹ Previous","","",FALSE,"","",""
