"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_idea/social_idea.module:232","'%action idea'","","","False","","",""
"modules/social_challenge_phase/config/install/core.entity_view_display.phase.phase.small_teaser.yml:0","'-'","","","False","Date range separator","",""
"social_challenge.module:431;498;515","'- Any -'","'- beliebig -'","","False","","",""
"templates/group--challenge--teaser.html.twig:53","1 idea","","","False","","",""
"templates/group--challenge--teaser.html.twig:29","1 participant","","","False","","",""
"modules/social_vote/social_vote.module:153","'@amount vote(s)'","","","False","","",""
"modules/social_challenge_phase/src/Form/PhaseDeleteForm.php:48","'@type: deleted %title.'","","","False","","",""
"modules/social_challenge_phase/src/Entity/Phase.php:164","A boolean indicating whether the Phase is published.","","","False","","",""
"modules/social_challenge_kpi/social_challenge_kpi.module:17","About","Info","","False","","",""
"modules/social_idea_coauthors/src/Controller/CoauthorController.php:139","Accept","Akzeptieren","","False","","",""
"src/Plugin/views/filter/ChallengePhasesStatus.php:210","Active","Aktiv","","False","","",""
"modules/social_idea_coauthors/social_idea_coauthors.module:245","Add another co-author","","","False","","",""
"social_challenge.routing.yml:0","Add challenge","","","False","","",""
"modules/social_challenge_phase/social_challenge_phase.permissions.yml:0","Add entity content","","","False","","",""
"config/optional/block.block.group_add_idea_block.yml:0","Add idea","","","False","","",""
"modules/social_challenge_phase/social_challenge_phase.routing.yml:0","Add phase","","","False","","",""
"modules/social_challenge_visibility/social_challenge_visibility.info.yml:0","Add visibility options to challenge and ideas.","","","False","","",""
"modules/social_secret_challenge/social_secret_challenge.info.yml:0","Adds Secret Challenge Group as a group type.","","","False","","",""
"modules/social_idea_coauthors/social_idea_coauthors.permissions.yml:0;0","Administer idea coauthors","","","False","","",""
"modules/social_challenge_phase/social_challenge_phase.group.permissions.yml:0","Administer permissions of a phase","","","False","","",""
"modules/social_challenge_phase/social_challenge_phase.permissions.yml:0","Administer settings","","","False","","",""
"modules/social_challenge_phase/src/Plugin/QueueWorker/AdvanceIdeasWorker.php:12","Advance ideas worker","","","False","","",""
"modules/social_challenge_phase/config/optional/system.action.idea_advance_action.yml:0","Advance selected ideas","","","False","","",""
"modules/social_idea_coauthors/social_idea_coauthors.module:37","All @label","","","False","","",""
"social_challenge.install:95","All challenges","","","False","","",""
"social_challenge.module:1195","All participants","","","False","","",""
"src/Plugin/views/filter/ChallengePhasesStatus.php:120","Allowed values","","","False","","",""
"modules/social_challenge_visibility/social_challenge_visibility.module:45","Altering the visibility options could result in changes in access for content within this group.","","","False","","",""
"modules/social_idea_coauthors/social_idea_coauthors.routing.yml:0","Approve coauthorship","","","False","","",""
"modules/social_challenge_phase/src/Form/PhaseDeleteForm.php:20","Are you sure you want to delete phase %name?","","","False","","",""
"modules/social_challenge_phase/social_challenge_phase.module:196","Automatically advance the ideas based on the following criteria:","","","False","","",""
"modules/social_challenge_phase/social_challenge_phase.module:190","Best","","","False","","",""
"social_challenge.module:385","By submitting this form you will become a member of the challenge.","","","False","","",""
"social_challenge.module:723","Challenge","","","False","","",""
"src/Plugin/search_api/processor/ChallengePhasesStatus.php:81","Challenge ""active/inactive"" status by phases.","","","False","","",""
"social_challenge.module:1212","Challenge Events","","","False","","",""
