"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/ChatConversationPermissionProvider.php:75","'@bundle: Create @type'","'@bundle:@type erstellen'","","False","","",""
"src/ChatConversationPermissionProvider.php:68","'@bundle: Read all @type'","'@bundle: Alles lesen @type'","","False","","",""
"config/install/social_chat.message_content_type.user_event.yml:0","A User Event message.","Eine Nachricht über ein Benutzerereignis.","","False","","",""
"config/install/social_chat.conversation_type.chat_group.yml:0","A chat group that is not linked to an Open Social group.","Eine Chatgruppe, die nicht mit einer Open Social Gruppe verbunden ist.","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationFromWrapper.php:9","A class instance containing conversation information.","Eine Klasseninstanz, die Konversationsinformationen enthält.","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatParticipantFromWrapper.php:9","A class instance containing participant information.","Eine Klasseninstanz, die Teilnehmerinformationen enthält.","","False","","",""
"config/install/social_chat.conversation_type.private.yml:0","A conversation between two users.","Ein Gespräch zwischen zwei Benutzern.","","False","","",""
"config/install/social_chat.message_content_type.deleted.yml:0","A deleted message.","Eine gelöschte Nachricht.","","False","","",""
"src/Entity/ChatMessage.php:152","A unique ID provided by the client which can be used to link subscription messages to mutations in cache deduplication.","Eine eindeutige, vom Kunden bereitgestellte ID, die verwendet werden kann, um Abonnementnachrichten mit Mutationen bei der Cache-Deduplizierung zu verknüpfen.","","False","","",""
"src/Entity/ChatParticipant.php:108","Active","Aktiv","","False","","",""
"src/Plugin/GraphQL/DataProducer/Mutation/AddParticipantsToChatGroupChatConversation.php:13","Add Participants To Chat Group Chat Conversation","Teilnehmer zum Chat hinzufügen Gruppenchat-Konversation","","False","","",""
"src/Plugin/GraphQL/DataProducer/Mutation/AddParticipantsToChatGroupChatConversationInput.php:13","Add Participants To Chat Group Chat Conversation Input","Teilnehmer zum Chat hinzufügen Gruppenchat Konversationseingabe","","False","","",""
"src/Plugin/GraphQL/DataProducer/Mutation/AddParticipantsToChatGroupChatConversationInput.php:13","AddParticipantsToChatGroupChatConversationInput","AddParticipantsToChatGroupChatConversationInput","","False","","",""
"src/Plugin/GraphQL/DataProducer/Mutation/AddParticipantsToChatGroupChatConversation.php:13","AddParticipantsToChatGroupChatConversationPayload","AddParticipantsToChatGroupChatConversationPayload","","False","","",""
"src/Entity/ChatParticipant.php:149","Admin","Administrator","","False","","",""
"social_chat.permissions.yml:0","Administer Chat Group Conversations","Verwalten von Chat-Gruppengesprächen","","False","","",""
"src/Plugin/GraphQL/DataProducer/Connection/UserConversations.php:12","After","Danach","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatMessageReceiptFromEdge.php:9","An edge containing message receipt.","Eine Kante, die den Empfang einer Nachricht enthält.","","False","","",""
"src/Entity/ChatParticipant.php:110","Archived","Archiviert","","False","","",""
"src/Plugin/GraphQL/DataProducer/Connection/UserConversations.php:12","Before","Davor","","False","","",""
"social_chat.module:238;241","Chat","Chat","","False","","",""
"src/Plugin/GraphQL/DataProducer/Connection/ConversationParticipants.php:11","Chat Conversation","Chat-Konversation","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationCanSendMessages.php:9","Chat Conversation Can Send Messages","Chat-Konversation kann Nachrichten senden","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationParticipant.php:10","Chat Conversation Participant","Chat-Gesprächsteilnehmer","","False","","",""
"src/Plugin/GraphQL/DataProducer/Connection/MessageRecipients.php:11","Chat Message","Chat-Nachricht","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatMessageReceipt.php:10","Chat Message Receipt","Chat-Nachrichten-Empfang","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationParticipant.php:10","Chat Participant","Chat-Teilnehmer","","False","","",""
"social_chat.install:50","Chat Subscription Endpoint","Chat-Abonnement-Endpunkt","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationFromWrapper.php:9","Chat conversation from data structure","Chat-Konversation aus Datenstruktur","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatMessageReceiptIsRead.php:8","Chat message receipt is read","Empfang der Chatnachricht wird gelesen","","False","","",""
"src/Plugin/GraphQL/DataProducer/Payload/PayloadChatConversation.php:10","ChatConversationInterface","ChatConversationInterface","","False","","",""
"src/Plugin/GraphQL/DataProducer/Payload/PayloadChatMessage.php:10","ChatMessageInterface","ChatMessageInterface","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationSendMessageRole.php:10","ChatParticipantRole","ChatParticipantRole","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatReadStatusUnreadCount.php:8","ChatReadStatusWrapper","ChatReadStatusWrapper","","False","","",""
"src/Entity/ChatMessage.php:151","Client Unique ID","Eindeutige Kunden-ID","","False","","",""
"src/Entity/ChatParticipant.php:232","Conversation","Konversation","","False","","",""
"src/Plugin/GraphQL/DataProducer/Connection/ConversationMessages.php:18","Conversation Messages","Konversationsnachrichten","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatParticipantFromWrapper.php:9","Conversation Participant from data structure","Gesprächsteilnehmer aus Datenstruktur","","False","","",""
"src/Plugin/GraphQL/DataProducer/Connection/ConversationParticipants.php:11","Conversation Participants","Konversation Teilnehmer","","False","","",""
"src/Entity/ChatConversation.php:220","Conversation created on","Konversation erstellt am","","False","","",""
"src/Plugin/GraphQL/DataProducer/ChatConversationFromWrapper.php:9","Conversation entity","Konversationseinheit","","False","","",""
"src/Entity/ChatConversationType.php:8","Conversation type","Art der Konversation","","False","","",""
"src/Entity/ChatConversationType.php:8","Conversation types","Gesprächstypen","","False","","",""
"src/Entity/ChatConversation.php:13","Conversations","Konversationen","","False","","",""
