"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/SocialCloneGroupHelper.php:72","'@label (cloned)'","","","False","","",""
"social_clone_group.permissions.yml:0","Administer Group clone settings","","","False","","",""
"src/Form/SocialCloneGroupSettingsForm.php:75","Allow to clone exising groups","","","False","","",""
"social_clone_group.permissions.yml:0","Allow to create a group clone","","","False","","",""
"src/Form/SocialCloneGroupConfirmForm.php:92","Are you sure you want to create a copy of the @group","","","False","","",""
"social_clone_group.links.task.yml:0","Clone","Klonen","","False","","",""
"src/Form/SocialCloneGroupConfirmForm.php:118","Clone @group","","","False","","",""
"config/schema/social_clone_group.schema.yml:0","Clone Group Settings","","","False","","",""
"social_clone_group.routing.yml:0","Clone group settings","","","False","","",""
"social_clone_group.links.menu.yml:0","Configure Social Clone group settings","","","False","","",""
"social_clone_group.permissions.yml:0","Create a clone of the group","","","False","","",""
"src/Form/SocialCloneGroupSettingsForm.php:74","Enable clone group","","","False","","",""
"config/schema/social_clone_group.schema.yml:0","Group type","","","False","","",""
"src/Form/SocialCloneGroupSettingsForm.php:91","Group types","","","False","","",""
"src/Form/SocialCloneGroupSettingsForm.php:92","Group types which allowed to be cloned","","","False","","",""
"social_clone_group.info.yml:0","Provides possibility to clone existing groups.","","","False","","",""
"social_clone_group.info.yml:0","Social","","","False","","",""
"social_clone_group.info.yml:0","Social Clone Group","","","False","","",""
