"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:126","Accept","Akzeptieren","","False","","",""
"social_collaboration.module:111","Add another editor","","","False","","",""
"social_collaboration.permissions.yml:0","Administer Collaboration Settings","","","False","","",""
"social_collaboration.links.menu.yml:0","Administer collaborative editing settings.","","","False","","",""
"social_collaboration.info.yml:0","Allows content creators to permit other users to collaboratively edit the content.","","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.info.yml:0","Allows to request a co-authorship for the content.","","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.routing.yml:0","Approve co-authorship","","","False","","",""
"config/schema/social_collaboration.schema.yml:0","Bundle ID","","","False","","",""
"config/optional/block.block.socialblue_coauthors_block.yml:0","Co-authors","Co-Autoren","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:251","Co-authorship request was accepted. Your response has been sent to the requester as a private message.","Der Antrag auf Co-Autorenschaft wurde angenommen. Deine Antwort wurde als private Nachricht an die:den Anfragende:n gesendet.","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:278","Co-authorship request was declined. Your response has been sent to the requester as a private message.","Der Antrag auf Co-Autorenschaft wurde abgelehnt. Deine Antwort wurde als private Nachricht an die:den Anfragende:n gesendet.","","False","","",""
"social_collaboration.routing.yml:0","Collaboration settings","","","False","","",""
"social_collaboration.permissions.yml:0","Configure which content types can have collaborative editing","","","False","","",""
"src/Form/SocialCollaborationSettingsForm.php:78","Content types","Inhaltstypen","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:132","Decline","Ablehnen","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.routing.yml:0","Decline co-authorship","","","False","","",""
"src/Plugin/Block/SocialCollaborationBlock.php:16","Editors","Bearbeiter*innen","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:134","Hello :content_owner, <br><br> I would like to contribute to the content @node_link. Please let me know if it's OK. <br><br> @accept_link | @decline_link","","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:152","Hello :requester, <br><br> Thank you for your interest. Unfortunately, your request is declined. <br><br> Please feel free to participate by voting for this content or leave your comments.","","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:144","Hello :requester, <br><br> Thank you for your interest. You have been added as a coauthor of the content @node_link. <br><br> Look forward to collaborating with you.","","","False","","",""
"modules/social_collaboration_request/src/Plugin/Block/CollaborationRequestCoauthorship.php:158","I want to contribute","","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.routing.yml:0","Request co-authorship","","","False","","",""
"modules/social_collaboration_request/config/optional/block.block.socialblue_collaboration_request_coauthorship.yml:0","Request co-authorship of content","","","False","","",""
"modules/social_collaboration_request/src/Plugin/Block/CollaborationRequestCoauthorship.php:160","Request sent","Anfrage wurde gesendet","","False","","",""
"src/Form/SocialCollaborationSettingsForm.php:79","Select which content types can have collaborative editing.","","","False","","",""
"social_collaboration.links.menu.yml:0","Settings for collaboration and multiple editors","","","False","","",""
"src/Form/SocialCollaborationSettingsForm.php:93","Show co-authors block","","","False","","",""
"config/schema/social_collaboration.schema.yml:0","Show co-authors block.","","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.info.yml:0","Social","Sozial","","False","","",""
"social_collaboration.info.yml:0","Social Collaboration","","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.info.yml:0","Social Collaboration Request","","","False","","",""
"config/schema/social_collaboration.schema.yml:0","Social Collaboration Settings","","","False","","",""
"config/schema/social_collaboration.schema.yml:0","The node entity bundles for which to enable collaborative editing.","","","False","","",""
"modules/social_collaboration_request/social_collaboration_request.module:18","User can request co-authorship","","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:79","You cannot request co-authorship for another user","","","False","","",""
"modules/social_collaboration_request/src/Controller/CollaborationRequestController.php:93","Your request has been sent to the content author as a private message.","","","False","","",""
"social_collaboration.info.yml:0","social","","","False","","",""
