"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_comment_export.permissions.yml:0","Access to export comments of a node","","","False","","",""
"social_comment_export.module:50","Add link to export","","","False","","",""
"social_comment_export.info.yml:0","Adds ability to export comments to a CSV.","","","False","","",""
"src/Controller/SocialCommentExportController.php:121","Attachments","Anhänge","","False","","",""
"src/Controller/SocialCommentExportController.php:115","Author name","Name des Autors","","False","","",""
"src/Controller/SocialCommentExportController.php:119","Comment ID","Kommentar-ID","","False","","",""
"src/Controller/SocialCommentExportController.php:120","Comment body","","","False","","",""
"src/Controller/SocialCommentExportController.php:124","Comment link","","","False","","",""
"src/Controller/SocialCommentExportController.php:118","Country","Land","","False","","",""
"social_comment_export.permissions.yml:0","Export comments","","","False","","",""
"src/Controller/SocialCommentExportController.php:117","Function","Funktion","","False","","",""
"src/Controller/SocialCommentExportController.php:123","Likes","","","False","","",""
"src/Controller/SocialCommentExportController.php:122","Parent comment","Übergeordneter Kommentar","","False","","",""
"social_comment_export.info.yml:0","Social","","","False","","",""
"social_comment_export.info.yml:0","Social Comment Export","","","False","","",""
"src/Controller/SocialCommentExportController.php:116","Username","Benutzername","","False","","",""
