"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_content_export.info.yml:0","Adds ability to export content to a CSV.","Fügt die Möglichkeit hinzu, Inhalte in eine CSV-Datei zu exportieren.","","False","","",""
"src/Plugin/CommentExportPlugin/CommentAuthor.php:8","Author","Autor:in","","False","","",""
"src/Plugin/CommentExportPlugin/CommentBody.php:8","Comment","Kommentar","","False","","",""
"src/Plugin/CommentExportPlugin/CommentLink.php:8","Comment link","Kommentarlink","","False","","",""
"src/Plugin/ContentExportPlugin/ContentAnalyticsComments.php:8","Comments","Kommentare","","False","","",""
"src/Plugin/ContentExportPlugin/ContentId.php:8","Content ID","Inhalts-ID","","False","","",""
"src/Plugin/CommentExportPlugin/CommentContentId.php:9","Content Id","Inhalt Id","","False","","",""
"src/Plugin/CommentExportPlugin/CommentContentTitle.php:9","Content Title","Inhalt Titel","","False","","",""
"src/Plugin/CommentExportPlugin/CommentContentType.php:10","Content Type","Inhaltstyp","","False","","",""
"src/Plugin/Action/ExportContent.php:164","Could not save the export file on: %name.","Die exportierte Datei konnte nicht gespeichert werden: %name.","","False","","",""
"src/Plugin/Action/ExportContent.php:163","Could not save the export file.","Die exportierte Datei konnte nicht gespeichert werden.","","False","","",""
"src/Plugin/ContentExportPlugin/ContentCreateDate.php:12","Created","Erstellt","","False","","",""
"src/Plugin/Action/ExportContent.php:156","Download file","Datei herunterladen","","False","","",""
"src/Plugin/Action/ExportContent.php:158","Export is complete. @link","Der Export ist abgeschlossen. @link","","False","","",""
"src/Plugin/Action/ExportComment.php:21","Export the selected comments to CSV","Exportieren Sie die ausgewählten Kommentare in CSV","","False","","",""
"src/Plugin/Action/ExportContent.php:23","Export the selected content to CSV","Exportieren Sie den ausgewählten Inhalt in CSV","","False","","",""
"src/Plugin/ContentExportPlugin/ContentGroup.php:12","Group","Gruppe","","False","","",""
"src/Plugin/CommentExportPlugin/CommentId.php:8","ID","ID","","False","","",""
"src/Plugin/ContentExportPlugin/ContentAnalyticsLikes.php:8","Likes","Likes","","False","","",""
"social_content_export.info.yml:0","Social","Sozial","","False","","",""
"social_content_export.info.yml:0","Social Content Export","Export von sozialen Inhalten","","False","","",""
"src/Plugin/ContentExportPlugin/ContentTitle.php:8","Title","Titel","","False","","",""
