"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/QuizForm.php:197","'%grade Point(s)'","","","False","","",""
"social_course_quiz.module:100","'- Any -'","'- beliebig -'","","False","","",""
"src/Plugin/Field/FieldFormatter/DurationFieldFormatter.php:29","1 minute per attempt","","","False","","",""
"modules/social_course_quiz_import/src/SocialCourseQuizImportBatch.php:267","1 question successfully imported:","","","False","","",""
"src/Form/QuestionForm.php:109","'@type answers'","","","False","","",""
"src/Controller/QuizStatisticsController.php:326","Action","","","False","","",""
"src/Form/AttemptsForm.php:137","Add","","","False","","",""
"src/Service/SocialCourseQuizHelper.php:288","Add extra attempts","","","False","","",""
"social_course_quiz.routing.yml:0","Add question","","","False","","",""
"social_course_quiz.permissions.yml:0","Administer questions","","","False","","",""
"modules/social_course_quiz_import/src/Form/SocialCourseQuizImportForm.php:30","Allowed types: @extensions.","","","False","","",""
"src/Plugin/views/filter/QuizFilter.php:56","Allowed values","","","False","","",""
"modules/social_course_quiz_import/src/SocialCourseQuizImportBatch.php:262","An error occurred and processing did not complete.","","","False","","",""
"src/Entity/Answer.php:10","Answer","","","False","","",""
"src/Entity/Answer.php:80","Answer text","","","False","","",""
"src/Entity/Question.php:180","Answers","","","False","","",""
"src/Entity/Attempt.php:14","Attempt","","","False","","",""
"social_course_quiz.module:294","Attempt @attempt/@attempts","","","False","","",""
"src/Plugin/Field/FieldFormatter/AttemptsFieldFormatter.php:12","Attempts","","","False","","",""
"src/Controller/QuizStatisticsController.php:329","Attempts are absent.","","","False","","",""
"src/QuestionListBuilder.php:77","Author","Autor:in","","False","","",""
"src/EntityOwnerTrait.php:50","Authored by","","","False","","",""
"src/Form/QuestionPreviewForm.php:85","Back to question editing","","","False","","",""
"social_course_quiz.links.action.yml:0","Back to questions overview","","","False","","",""
"src/Form/AttemptsForm.php:123","Cancel","Abbrechen","","False","","",""
"src/Entity/QuizEntityBase.php:39","Changed","Geändert","","False","","",""
"src/Entity/Choise.php:10","Choise","","","False","","",""
"src/Entity/Choise.php:10","Choises","","","False","","",""
"social_course_quiz.module:532","Complete on %date at %time","","","False","","",""
"src/Form/QuizForm.php:358","Complete quiz","","","False","","",""
"social_course_quiz.module:911","Complete quiz to proceed","","","False","","",""
"src/Controller/QuizStatisticsController.php:238","Completion date","","","False","","",""
"social_course_quiz.module:755","Congratulations, you have passed!","","","False","","",""
"src/Entity/QuizEntityBase.php:53","Correct","","","False","","",""
"social_course_quiz.module:806","Correct answer","","","False","","",""
"src/Plugin/Field/FieldFormatter/CountFieldFormatter.php:12","Count items","","","False","","",""
"social_course_quiz.module:66","Create a new question","","","False","","",""
"src/Entity/QuizEntityBase.php:36","Created","Erstellt","","False","","",""
"src/Entity/Question.php:118","Default mark","","","False","","",""
"src/Entity/Answer.php:86","Defines if it is correct or not.","","","False","","",""
"social_course_quiz.routing.yml:0","Delete question","","","False","","",""
"src/Controller/QuizStatisticsController.php:170","Deleted user","Gelöschte:r Benutzer:in","","False","","",""
"src/Plugin/Field/FieldFormatter/CountFieldFormatter.php:12","Display count items.","","","False","","",""
"src/Plugin/Field/FieldFormatter/DurationFieldFormatter.php:8","Duration","","","False","","",""
"social_course_quiz.routing.yml:0","Edit question","","","False","","",""
"templates/quiz--status-messages.html.twig:34","Error message","","","False","","",""
"src/Controller/QuizStatisticsController.php:259","Extra","","","False","","",""
"src/Service/SocialCourseQuizHelper.php:226","Extra attempts for @user","","","False","","",""
"src/Controller/QuizStatisticsController.php:296","Failed: @mark%","","","False","","",""
"modules/social_course_quiz_import/src/Form/SocialCourseQuizImportForm.php:29","File","Datei","","False","","",""
"src/Form/QuizForm.php:305","Finish","","","False","","",""
"src/Form/QuestionPreviewForm.php:97","Full","","","False","","",""
"src/Entity/QuestionViewsData.php:50","How many people answered of the question.","","","False","","",""
"src/Entity/QuestionViewsData.php:59","How many quizzes used the question.","","","False","","",""
"modules/social_course_quiz_import/social_course_quiz_import.links.action.yml:0","Import","","","False","","",""
"modules/social_course_quiz_import/social_course_quiz_import.info.yml:0","Import questions from Moodle XML.","","","False","","",""
"modules/social_course_quiz_import/src/Form/SocialCourseQuizImportForm.php:56","Importing quiz questions...","","","False","","",""
"src/Entity/QuizEntityBase.php:52","Incorrect","","","False","","",""
"templates/quiz--status-messages.html.twig:36","Informative message","","","False","","",""
"social_course_quiz.module:480","Last attempt was made on %date.","","","False","","",""
