"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_dashboard.module:113","Create New Dashboard","Neues Dashboard erstellen","",FALSE,"","",""
"config/optional/node.type.dashboard.yml:0","Dashboard","","",FALSE,"","",""
"config/optional/field.field.node.dashboard.field_dashboard_image.yml:0","Image","","",FALSE,"","",""
"social_dashboard.install:334","Image field.","","",FALSE,"","",""
"config/optional/field.field.node.dashboard.layout_builder__layout.yml:0","Layout","","",FALSE,"","",""
"social_dashboard.module:115","New Dashboard","Neues Dashboard","",FALSE,"","",""
"social_dashboard.info.yml:0","Provides the ability to create dashboards using the layout builder.","","",FALSE,"","",""
"src/Plugin/LayoutBuilderRestriction/SocialBlockRestriction.php:13","Restrict blocks for the Dashboard","","",FALSE,"","",""
"social_dashboard.info.yml:0","Social","Sozial","",FALSE,"","",""
"src/Plugin/LayoutBuilderRestriction/SocialBlockRestriction.php:13","Social Block Restriction","","",FALSE,"","",""
"social_dashboard.info.yml:0","Social Dashboard","","",FALSE,"","",""
"social_dashboard.permissions.yml:0","View dashboard content","","",FALSE,"","",""
"social_dashboard.permissions.yml:0","View the dashboard content type.","","",FALSE,"","",""
"config/optional/field.field.node.dashboard.field_content_visibility.yml:0","Visibility","Sichtbarkeit","",FALSE,"","",""
