"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Block/DashboardNavigationBlock.php:170","(This block is only visible to content and site managers)","","","False","","",""
"social_dashboard.permissions.yml:0","Access contextual links gives permission to all contextual links, which is way too much, this permission allows certain user roles to access all contextual links on all pages, otherwise it is limited to just dashboard.","","","False","","",""
"social_dashboard.module:51","Cancel","Abbrechen","","False","","",""
"social_dashboard.module:305","Create New Dashboard","","","False","","",""
"config/optional/node.type.dashboard.yml:0","Dashboard","","","False","","",""
"config/optional/block.block.socialblue_dashboardnavigation.yml:0","Dashboard Navigation","","","False","","",""
"src/Plugin/Block/DashboardNavigationBlock.php:161","Delete","löschen","","False","","",""
"src/Plugin/Block/DashboardNavigationBlock.php:180","Edit","Bearbeiten","","False","","",""
"src/Plugin/Block/DashboardNavigationBlock.php:158","Information","","","False","","",""
"src/Controller/ChooseBlockController.php:103","KPI Analytics","","","False","","",""
"config/optional/field.field.node.dashboard.layout_builder__layout.yml:0","Layout","","","False","","",""
"social_dashboard.module:307","New Dashboard","","","False","","",""
"social_dashboard.info.yml:0","Provides the ability to create dashboards using the layout builder.","","","False","","",""
"social_dashboard.module:574","Read more","","","False","","",""
"social_dashboard.module:54","Remove all sections","","","False","","",""
"src/Plugin/LayoutBuilderRestriction/SocialBlockRestriction.php:14","Restrict blocks for the Dashboard","","","False","","",""
"src/Plugin/Block/DashboardNavigationBlock.php:160","Revisions","","","False","","",""
"social_dashboard.module:50","Save","Speichern","","False","","",""
"social_dashboard.module:340","Section title","","","False","","",""
"social_dashboard.info.yml:0","Social","Sozial","","False","","",""
"src/Plugin/LayoutBuilderRestriction/SocialBlockRestriction.php:14","Social Block Restriction","","","False","","",""
"social_dashboard.info.yml:0","Social Dashboard","","","False","","",""
"social_dashboard.permissions.yml:0","View all contextual links","","","False","","",""
"social_dashboard.permissions.yml:0","View dashboard content","","","False","","",""
"social_dashboard.permissions.yml:0","View the dashboard content type.","","","False","","",""
"config/optional/field.field.node.dashboard.field_content_visibility.yml:0","Visibility","","","False","","",""
