"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/install/core.entity_view_display.node.discussion.small_teaser.yml:0","'-'","","",FALSE,"Date range separator","",""
"modules/social_discussion_tagging/social_discussion_tagging.module:37;55","'- Any -'","'- beliebig -'","",FALSE,"","",""
"templates/node--discussion--small-teaser.html.twig:22","1 comment","","",FALSE,"","",""
"modules/social_discussion_room/src/Controller/RoomController.php:263","< Back","","",FALSE,"","",""
"modules/social_discussion_room/src/Controller/RoomController.php:315","'@time ago by @author'","","",FALSE,"","",""
"modules/social_discussion_content_block/social_discussion_content_block.info.yml:0","A custom block to generate a list of discussions according to specific filters.","","",FALSE,"","",""
"modules/social_discussion_kpi/social_discussion_kpi.module:17","About","Info","",FALSE,"","",""
"social_discussion.permissions.yml:0","Access to configuration of the Social Discussion module","","",FALSE,"","",""
"src/Plugin/ActivityAction/CreateUnpublishedComment.php:8","Action that is triggered when an unpublished comment is created","","",FALSE,"","",""
"templates/node--discussion--full.html.twig:36","Add new comment","Neuen Kommentar hinzufügen","",FALSE,"","",""
"social_discussion.permissions.yml:0","Administer discussions","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/QueryDiscussion.php:10","After","","",FALSE,"","",""
"modules/social_discussion_anonymous/src/Plugin/ActivityEntityCondition/CommentAnonymouslyAllActivityEntityCondition.php:8","All comments (anonymously)","","",FALSE,"","",""
"src/SocialDiscussionInstallHelper.php:129","All discussions","","",FALSE,"","",""
"modules/social_discussion_anonymous/social_discussion_anonymous.module:70","Allow post comment anonymously","","",FALSE,"","",""
"modules/social_discussion_anonymous/social_discussion_anonymous.permissions.yml:0","Allow to view anonymous member url in discussion comments","","",FALSE,"","",""
"modules/social_discussion_group/social_discussion_group.module:315","Allow users to create discussion in a group","","",FALSE,"","",""
"modules/social_discussion_tagging/social_discussion_tagging.info.yml:0","Allows adding tags to Discussions.","","",FALSE,"","",""
"modules/social_discussion_anonymous/social_discussion_anonymous.module:71","Allows authors to allow users to post a comment anonymously in the discussion","","",FALSE,"","",""
"modules/social_discussion_group/social_discussion_group.info.yml:0","Allows to add Discussions to Open Social group types.","","",FALSE,"","",""
"modules/social_discussion_secret_group/social_discussion_secret_group.info.yml:0","Allows to add Discussions to a Secret Groups.","","",FALSE,"","",""
"modules/social_discussion_anonymous/social_discussion_anonymous.module:461","Anonymous","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/QueryDiscussion.php:10","Before","","",FALSE,"","",""
"src/Form/DiscussionConfigForm.php:66","Body","Textkörper","",FALSE,"","",""
"modules/social_discussion_group/src/Plugin/Field/FieldFormatter/CommentGroupDiscussionFormatter.php:12","Comment on group discussion","","",FALSE,"","",""
"modules/social_discussion_anonymous/templates/comment--field-discussion-comments.html.twig:28","Commented anonymously","","",FALSE,"","",""
"modules/social_discussion_room/src/Controller/RoomController.php:193;284","Comments","Kommentare","",FALSE,"","",""
"src/Plugin/Block/GroupAddDiscussionBlock.php:64","Create Discussion","Diskussion erstellen","",FALSE,"","",""
"social_discussion.module:298","Create New Discussion","Neue Diskussion erstellen","",FALSE,"","",""
"modules/social_discussion_room/src/Controller/RoomController.php:166","Create room","","",FALSE,"","",""
"social_discussion.views.inc:16;26","Custom sort","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Field/DateRangeSubfield.php:8","Date","Datum","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Field/DateRangeSubfield.php:8","Date range type","","",FALSE,"","",""
"templates/node--discussion--teaser.html.twig:10","Discission: &nbsp;","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/DiscussionModerators.php:11","Discussion","Diskussion","",FALSE,"","",""
"src/Plugin/Block/DiscussionAddBlock.php:10","Discussion add block","","",FALSE,"","",""
"src/Plugin/ActivityContext/DiscussionCommentOwnerActivityContext.php:9","Discussion comment owner","","",FALSE,"","",""
"src/Form/DiscussionConfigForm.php:36","Discussion ends email notification","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/DiscussionModerators.php:11","Discussion moderators","","",FALSE,"","",""
"modules/social_discussion_room/config/install/taxonomy.vocabulary.discussion_room.yml:0","Discussion room","","",FALSE,"","",""
"modules/social_discussion_room/social_discussion_room.routing.yml:0","Discussion rooms","","",FALSE,"","",""
"config/schema/social_discussion.schema.yml:0","Discussion settings","","",FALSE,"","",""
"templates/node--discussion--featured.html.twig:14;17","Discussion: &nbsp;","","",FALSE,"","",""
"modules/social_discussion_room/src/Controller/RoomController.php:192","Discussions","Diskussionen","",FALSE,"","",""
"src/Plugin/UserExportPlugin/UserAnalyticsDiscussionsCreated.php:24;9","Discussions created","","",FALSE,"","",""
"social_discussion.routing.yml:0","Discussions settings","","",FALSE,"","",""
"modules/social_discussion_group/social_discussion_group.module:146","Discussions were disabled and attached discussions were unpublished.","","",FALSE,"","",""
"modules/social_discussion_group/social_discussion_group.module:142","Discussions were enabled and attached discussions were published.","","",FALSE,"","",""
"src/Form/DiscussionConfigForm.php:37","Enable and edit email messages sent to creator when discussion ends.","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/QueryDiscussion.php:10","EntityConnection","","",FALSE,"","",""
"modules/social_discussion_tagging/config/optional/block.block.exposedformuser_discussionspage_user_discussions.yml:0","Filter","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/QueryDiscussion.php:10","First","","",FALSE,"","",""
"modules/social_discussion_group/social_discussion_group.module:308","General discussion settings","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/Field/DateRangeSubfield.php:8","Get timestamp from provided date range field.","","",FALSE,"","",""
"src/Plugin/Block/GroupAddDiscussionBlock.php:12","Group add discussion","","",FALSE,"","",""
"modules/social_discussion_kpi/social_discussion_kpi.info.yml:0","Implements KPI Analytics for Discussion content type.","","",FALSE,"","",""
"modules/social_discussion_kpi/social_discussion_kpi.module:18","Implements KPI Analytics for Social Discussion feature.","","",FALSE,"","",""
"config/schema/social_discussion.schema.yml:0","Language code","","",FALSE,"","",""
"src/Plugin/GraphQL/DataProducer/QueryDiscussion.php:10","Last","","",FALSE,"","",""
"modules/social_discussion_room/src/Controller/RoomController.php:194;285","Last active","","",FALSE,"","",""
