"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_eu_login.permissions.yml:0","Administer EU Login settings","","","False","","",""
"social_eu_login.permissions.yml:0","Allows the user to access to EU Login settings page","","","False","","",""
"social_eu_login.info.yml:0","Authentication against the OpenEuropa Authentication service","","","False","","",""
"src/Form/EULoginSettingsForm.php:45","Disable EU Login synchronization for fields:","","","False","","",""
"src/Plugin/Block/SocialEuLoginBlock.php:68;69","Log in","Anmelden","","False","","",""
"src/Plugin/Block/SocialEuLoginBlock.php:128","Log out","","","False","","",""
"src/Plugin/Block/SocialEuLoginBlock.php:110;111","Logged in","","","False","","",""
"social_eu_login.install:18","More about the EU Login","","","False","","",""
"social_eu_login.info.yml:0","OEC","","","False","","",""
"src/Form/EULoginSettingsForm.php:48","Organization","","","False","","",""
"social_eu_login.links.menu.yml:0","Provide general settings for EU Login","","","False","","",""
"src/Form/EULoginSettingsForm.php:56","Save configuration","","","False","","",""
"src/Plugin/Block/SocialEuLoginBlock.php:78","Sign in with the EU Login","","","False","","",""
"src/Plugin/Block/SocialEuLoginBlock.php:121","Signed in as","","","False","","",""
"social_eu_login.info.yml:0","Social EU Login","","","False","","",""
"config/optional/block.block.socialeuloginblock.yml:0","Social EU Login Block","","","False","","",""
"config/schema/social_eu_login.schema.yml:0","Social EU Login settings","","","False","","",""
"src/Form/EULoginSettingsForm.php:46","The chosen fields will be disabled from synchronization when user sign up with EU Login.","","","False","","",""
