"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SocialJsonApiSettings.php:49","Add new consumer","","",FALSE,"","",""
"social_json_api.permissions.yml:0","Allow to configure the JSON API in Open Social.","","",FALSE,"","",""
"social_json_api.permissions.yml:0","Configure Social JSON Api","","",FALSE,"","",""
"src/Form/SocialJsonApiSettings.php:39","Consumers","","",FALSE,"","",""
"src/Form/SocialJsonApiSettings.php:40","Consumers can access the API. The main goal is that the developer of a consumer application will create the consumer. That consumer will provide the configuration necessary for that particular application.","","",FALSE,"","",""
"social_json_api.install:38","Could not generate the Simple OAuth keys needed for the JSON API. These were either created already or you will need to create those by hand.","","",FALSE,"","",""
"social_json_api.install:34","Could not generate the Simple OAuth keys needed for the JSON API. You will need to create those by hand.","","",FALSE,"","",""
"src/Form/SocialJsonApiSettings.php:63","Documentation","","",FALSE,"","",""
"src/Form/SocialJsonApiSettings.php:64","Documentation for the API is available for sitemanagers.","","",FALSE,"","",""
"social_json_api.routing.yml:0","JSON API settings","","",FALSE,"","",""
"src/Form/SocialJsonApiSettings.php:70","OAuth 2.0 Grants","","",FALSE,"","",""
"src/Form/SocialJsonApiSettings.php:69","Open Social JSON API Documentation","","",FALSE,"","",""
"social_json_api.links.menu.yml:0","Settings for Social JSON API.","","",FALSE,"","",""
"social_json_api.info.yml:0","Social","Sozial","",FALSE,"","",""
"social_json_api.info.yml:0","Social JSON API","","",FALSE,"","",""
"social_json_api.info.yml:0","This module enables a JSON API for your Open Social site.","","",FALSE,"","",""
