"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Block/NavigationBlock.php:237","(This block is only visible to content and site managers)","(Dieser Block ist nur für Content- und Site-Manager sichtbar)","","False","","",""
"social_layout_builder.permissions.yml:0","Access contextual links gives permission to all contextual links, which is way too much, this permission allows certain user roles to access all contextual links on all pages, otherwise it is limited to just dashboard.","Zugriff auf kontextbezogene Links gibt die Erlaubnis, auf alle kontextbezogenen Links zuzugreifen, was viel zu viel ist. Diese Erlaubnis erlaubt es bestimmten Benutzerrollen, auf alle kontextbezogenen Links auf allen Seiten zuzugreifen, ansonsten ist sie nur auf das Dashboard beschränkt.","","False","","",""
"social_layout_builder.module:64","Cancel","Abbrechen","","False","","",""
"src/Plugin/Block/NavigationBlock.php:221","Delete","löschen","","False","","",""
"src/Plugin/Block/NavigationBlock.php:247","Edit","Bearbeiten","","False","","",""
"src/Plugin/Block/NavigationBlock.php:207","Information","Information","","False","","",""
"src/Controller/ChooseBlockController.php:110","KPI Analytics","KPI Analysetools","","False","","",""
"src/Plugin/Block/NavigationBlock.php:212","Layout","Layout","","False","","",""
"social_layout_builder.info.yml:0","Provides the base stuff for using layout builder.","Stellt die Grundlagen für die Verwendung des Layout-Builders bereit.","","False","","",""
"social_layout_builder.module:466","Read more","Weiterlesen","","False","","",""
"social_layout_builder.module:67","Remove all sections","Alle Abschnitte entfernen","","False","","",""
"src/Plugin/Block/NavigationBlock.php:217","Revisions","Revisionen","","False","","",""
"social_layout_builder.module:63","Save","Speichern","","False","","",""
"social_layout_builder.module:113","Section title","Titel des Abschnitts","","False","","",""
"social_layout_builder.info.yml:0","Social","Sozial","","False","","",""
"social_layout_builder.info.yml:0","Social Layout Builder","Social Layout Builder","","False","","",""
"config/optional/block.block.socialblue_sociallayoutbuldernavigation.yml:0","Social Layout Builder Navigation","Social Layout Builder Navigation","","False","","",""
"src/Plugin/Block/NavigationBlock.php:227","Translate","Übersetzen","","False","","",""
"social_layout_builder.module:102","Uses for administration only.","Wird nur für die Verwaltung verwendet.","","False","","",""
"social_layout_builder.permissions.yml:0","View all contextual links","Alle kontextbezogenen Links anzeigen","","False","","",""
