"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SocialMailchimpSettingsForm.php:278","About the newsletters","","",FALSE,"","",""
"social_mailchimp.permissions.yml:0","Administer social mailchimp settings","","",FALSE,"","",""
"social_mailchimp.permissions.yml:0","Allow to access the administration form to configure social mailchimp settings","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:262","Allow users to sign up for Mailchimp newsletters","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:171","Audience","","",FALSE,"","",""
"modules/social_newsletter_dashboard/src/Plugin/Block/CommunityNewsletterBlock.php:12","Community Newsletters","","",FALSE,"","",""
"social_mailchimp.links.menu.yml:0","Configure social mailchimp settings","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:270","Consent link label","","",FALSE,"","",""
"modules/social_newsletter_dashboard/src/Plugin/Block/CommunityNewsletterBlock.php:12","Custom","","",FALSE,"","",""
"modules/social_newsletter_dashboard/src/Plugin/Block/CommunityNewsletterBlock.php:67","Description","","",FALSE,"","",""
"src/Form/CommunityNewsletterForm.php:144","Email address","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:148","Enable connection with Mailchimp","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:217","Field in Mailchimp system","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:141","Mailchimp configuration","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:248","Mailchimp consent","","",FALSE,"","",""
"social_mailchimp.routing.yml:0","Mailchimp settings","","",FALSE,"","",""
"src/Form/CommunityNewsletterForm.php:186","Missing audience ID.","","",FALSE,"","",""
"modules/social_newsletter_landing_page/social_newsletter_landing_page.module:31","Newsletter form","","",FALSE,"","",""
"social_mailchimp.module:117","Newsletters","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:123","Please add your Mailchimp key @mailchimp_settings and create an audience within your @audience_dashboard account.","","",FALSE,"","",""
"src/Form/CommunityNewsletterForm.php:195","Please fill in valid email address.","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:202","Please select the user profile fields that will be share within Mailchimp","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:201","Profile fields","","",FALSE,"","",""
"modules/social_newsletter_dashboard/social_newsletter_dashboard.info.yml:0","Provides possibility to add signup block on Dashboard","","",FALSE,"","",""
"modules/social_newsletter_landing_page/social_newsletter_landing_page.info.yml:0","Provides possibility to add signup block on Landing pages","","",FALSE,"","",""
"social_mailchimp.info.yml:0","Provides synchronization with Mailchimp system","","",FALSE,"","",""
"social_mailchimp.module:111","Sign up for @url","","",FALSE,"","",""
"modules/social_newsletter_landing_page/social_newsletter_landing_page.info.yml:0","Social","","",FALSE,"","",""
"social_mailchimp.info.yml:0","Social Mailchimp","","",FALSE,"","",""
"modules/social_newsletter_dashboard/social_newsletter_dashboard.info.yml:0","Social Newsletter Dashboard","","",FALSE,"","",""
"modules/social_newsletter_landing_page/social_newsletter_landing_page.info.yml:0","Social Newsletter Landing Page","","",FALSE,"","",""
"src/Form/CommunityNewsletterForm.php:150","Subscribe","Abonnieren","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:172","The Mailchimps audience list where users will be saved.","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:218","The user profile field","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:287","Unsubscribe users from the Mailchimp newsletter after being removed or blocked on the platform","","",FALSE,"","",""
"src/Form/CommunityNewsletterForm.php:119","You can cancel your subscription on the @link.","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:312","You cannot use single profile field for multiple fields in Mailchimp system","","",FALSE,"","",""
"src/Form/CommunityNewsletterForm.php:203","You have already subscribed to the @label.","Sie haben das @label bereits abonniert.","",FALSE,"","",""
"src/Form/CommunityNewsletterForm.php:227","You have subscribed to the @label successfully.","","",FALSE,"","",""
"src/Form/CommunityNewsletterForm.php:105","You have subscribed to the @label.","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:279","users can read more about the newsletters before signing up.","","",FALSE,"","",""
"src/Form/SocialMailchimpSettingsForm.php:263","users can sign up for Mailchimp newsletters during the sign up process and on their settings page.","","",FALSE,"","",""
