"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/install/social_matchmaking.settings.yml:0","<p>Start your journey by exploring organizations that align with your interests. Visit our platform and get started!</p>
","","","False","","",""
"config/install/social_matchmaking.settings.yml:0","<p>We're excited to introduce a new match that aligns with your interests. Visit our platform and discover more!</p>
","","","False","","",""
"social_matchmaking.tokens.inc:170;217","'@count follower'","","","False","","",""
"src/Form/SocialMatchmakingSettingsForm.php:193","'@count followers'","","","False","","",""
"src/Plugin/Field/FieldWidget/SocialMatchmakingTagsProfileWidget.php:241","Add category","","","False","","",""
"social_matchmaking.permissions.yml:0","Administer Matchmaking Settings","","","False","","",""
"src/Plugin/Field/FieldWidget/SocialMatchmakingTagsProfileWidget.php:449","All Essential and some Optional categories align, providing a well-balanced variety of matches","","","False","","",""
"src/Plugin/Field/FieldWidget/SocialMatchmakingTagsProfileWidget.php:452","All categories align for ideal matches, but keep in mind, this level may limit the number of results","","","False","","",""
"src/SocialMatchTagsOverrides.php:259","Apply","","","False","","",""
"src/SocialMatchTagsOverrides.php:264","Asc","","","False","","",""
"src/Plugin/Field/FieldWidget/SocialMatchmakingTagsProfileWidget.php:433","Balance","","","False","","",""
"social_matchmaking.links.menu.yml:0","Customize the notification received by users about their matches","","","False","","",""
"src/Plugin/Field/FieldWidget/SocialMatchmakingTagsProfileWidget.php:212","Delete","","","False","","",""
"src/SocialMatchTagsOverrides.php:265","Desc","","","False","","",""
"src/Form/SocialMatchmakingSettingsForm.php:93;137","Description","","","False","","",""
"src/Controller/TagsController.php:23","Edit","","","False","","",""
"src/Form/SocialMatchmakingSettingsForm.php:100;144","Email preview","","","False","","",""
"src/Plugin/Field/FieldWidget/SocialMatchmakingTagsProfileWidget.php:137","Essential","","","False","","",""
"src/Plugin/Field/FieldType/MatchmakingTagsProfile.php:32","Essential or Optional","","","False","","",""
"src/Plugin/Field/FieldWidget/SocialMatchmakingTagsProfileWidget.php:432","Exploration","","","False","","",""
"social_matchmaking.tokens.inc:24","Fields","","","False","","",""
"src/Form/SocialMatchmakingSettingsForm.php:186","Global community for peace, justice, and strong institutions advancement","","","False","","",""
"social_matchmaking.tokens.inc:143","Go to settings","","","False","","",""
"src/Form/SocialMatchmakingSettingsForm.php:67","Hi member_name,","","","False","","",""
"src/Form/SocialMatchmakingSettingsForm.php:185","International network for life below water and on land preservation","","","False","","",""
"src/Plugin/ActivityContext/SocialMatchmakingActivityContext.php:8","Match Organization content activity context","","","False","","",""
"src/Plugin/ActivityContext/SocialMatchmakingProfileActivityContext.php:8","Match Profile content activity context","","","False","","",""
"src/Plugin/Field/FieldWidget/SocialMatchmakingTagsProfileWidget.php:429","Match level","","","False","","",""
"src/Entity/SocialMatching.php:54","Match quality","","","False","","",""
"social_matchmaking.info.yml:0","Match user profiles to organizations based on tag compatibility.","","","False","","",""
"src/Plugin/QueueWorker/SocialMatchmakingWorker.php:14","Matchmaking","","","False","","",""
"src/Plugin/Field/FieldType/MatchmakingTagsProfile.php:9","Matchmaking Tags Profile","","","False","","",""
"src/Plugin/Field/FieldWidget/SocialMatchmakingTagsProfileWidget.php:9","Matchmaking Tags Profile Widget","","","False","","",""
"social_matchmaking.links.task.yml:0","Matchmaking notifications","","","False","","",""
"social_matchmaking.links.menu.yml:0","Matchmaking settings","","","False","","",""
"src/Plugin/UserExportPlugin/UserMatchmakingTags.php:28","Matchmaking tags","","","False","","",""
"config/schema/social_matchmaking.schema.yml:0;0","Message","","","False","","",""
"social_matchmaking.tokens.inc:39","Message user match","","","False","","",""
"src/Form/SocialMatchmakingSettingsForm.php:73","New match","","","False","","",""
"src/Plugin/ActivityContext/SocialNoMatchProfileActivityContext.php:8","No match Profile content activity context","","","False","","",""
"src/Plugin/Field/FieldWidget/SocialMatchmakingTagsProfileWidget.php:186","None","","","False","","",""
"social_matchmaking.routing.yml:0","Notifications","","","False","","",""
