"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/NodeStatisticsSettingsForm.php:61","1 day","","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:58","1 hour","1 Stunde","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:52","1 minute","1 Minute","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:55","10 minutes","10 Minuten","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:60","12 hours","12 Stunden","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:56","15 minutes","","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:53","2 minutes","","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:57","30 minutes","30 Minuten","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:51","30 seconds","","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:54","5 minutes","5 Minuten","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:59","6 hours","6 Stunden","","False","","",""
"social_node_statistics.permissions.yml:0","Administer node statistics caching","","","False","","",""
"social_node_statistics.permissions.yml:0","Administer node statistics settings","","","False","","",""
"config/schema/social_node_statistics.schema.yml:0","Max age in seconds","","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:63","Max age of views count caching","","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:73","Minimum number of new views before cache invalidation","","","False","","",""
"config/schema/social_node_statistics.schema.yml:0","Minimum number of views before cache invalidation","","","False","","",""
"social_node_statistics.routing.yml:0","Node Statistics","","","False","","",""
"social_node_statistics.links.menu.yml:0","Node Statistics settings","","","False","","",""
"config/schema/social_node_statistics.schema.yml:0","Node types views should be tracked for","","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:64","Select how long before the views count cache on a node display is invalidated.","","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:43","Select which node types views should be tracked for.","","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:74","Set the minimum number of new views before the views count cache on a node display is invalidated.","","","False","","",""
"social_node_statistics.links.menu.yml:0","Settings for Social Node Statistics module.","","","False","","",""
"social_node_statistics.info.yml:0","Social","","","False","","",""
"social_node_statistics.info.yml:0","Social Node Statistics","","","False","","",""
"src/Form/NodeStatisticsSettingsForm.php:42","Track views for node types","","","False","","",""
"social_node_statistics.info.yml:0","Tracks views for nodes.","","","False","","",""
"social_node_statistics.module:45","view","","","False","","",""
