"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_o365_delve/src/Form/SocialO365DelveSettingsForm.php:191","'- None -'","'- Keine -'","","False","","",""
"social_o365.module:28","'@action with <b>Social Accounts</b>'","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:554","A freeform text entry field for the user to describe themselves.","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:639","A list for the user to describe their interests.","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:709","A list for the user to enumerate the schools they have attended.","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:679","A list for the user to enumerate their past projects.","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:704","A list for the user to enumerate their responsibilities.","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:714","A list for the user to enumerate their skills.","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:734","A two letter country code (ISO standard 3166).","","","False","","",""
"modules/social_o365_delve/src/Form/SocialO365DelveSettingsForm.php:233","Create referenced entities if they don't already exist","","","False","","",""
"modules/social_o365_delve/src/Form/SocialO365DelveSettingsForm.php:261","Decide which Address field to map to","","","False","","",""
"modules/social_o365_delve/src/Form/SocialO365DelveSettingsForm.php:119","Description","","","False","","",""
"social_o365.module:21","Log in","","","False","","",""
"modules/social_o365_delve/social_o365_delve.links.task.yml:0","Microsoft Azure & Delve","","","False","","",""
"modules/social_o365_delve/src/Form/SocialO365DelveSettingsForm.php:117","Microsoft user property","","","False","","",""
"modules/social_o365_delve/social_o365_delve.routing.yml:0","Office 365 Azure & Delve settings","","","False","","",""
"modules/social_o365_delve/src/Form/SocialO365DelveSettingsForm.php:108","On this page you can configure all the fields from Microsoft to be mapped with fields in Open Social.
        When a user logs in we will try to collect data from your Microsoft instance based on the Microsoft user property
        and import that data in to the user's Profile within Open Social based on the mapping field you selected. 
        Note: Some of these fields require a Microsoft Office 365 account for them to work.","","","False","","",""
"modules/social_o365_delve/src/Form/SocialO365DelveSettingsForm.php:120","Open Social mapping field","","","False","","",""
"config/schema/social_o365.schema.yml:0","Per-connector entity settings","","","False","","",""
"modules/social_o365_delve/social_o365_delve.info.yml:0","Provides Office 365 Azure & Delve integration.","","","False","","",""
"social_o365.info.yml:0","Provides Office 365 integration for Social.","","","False","","",""
"config/schema/social_o365.schema.yml:0","Role","","","False","","",""
"social_o365.module:93","Select role","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:564","Sets the age group of the user. Allowed values: null, minor, notAdult and adult.","","","False","","",""
"social_o365.module:20","Sign up","","","False","","",""
"modules/social_o365_delve/social_o365_delve.info.yml:0","Social","Sozial","","False","","",""
"social_o365.info.yml:0","Social Office 365","","","False","","",""
"modules/social_o365_delve/social_o365_delve.info.yml:0","Social Office 365 Azure & Delve integration","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:421;432","Something went wrong Beta: @error","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:401","Something went wrong: @error","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:654","The SMTP address for the user.","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:669","The URL for the user's personal site.","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:569","The birthday of the user.","","","False","","",""
"modules/social_o365_delve/src/SocialO365DelveUserManager.php:579","The city in which the user is located.","","","False","","",""
