"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_pendo.module:50","A unique name for this client.","Ein eindeutiger Name für diesen Client.","","False","","",""
"social_pendo.module:48","Client Name","Name des Kunden","","False","","",""
"social_pendo.module:70","Debug track event data","Debuggen von Track-Ereignisdaten","","False","","",""
"social_pendo.info.yml:0","Integrates Pendo Insights with Open Social","Integriert Pendo Insights mit Open Social","","False","","",""
"social_pendo.module:20","Pendo client name is missing, please add one <a href=""@url"">here</a>.","Der Pendo-Kundenname fehlt, bitte fügen Sie hier einen <a href=""@url"">ein</a>.","","False","","",""
"src/EventSubscriber/SocialPendoEventSubscriber.php:137","Response: @code","Antwort: @code","","False","","",""
"social_pendo.info.yml:0","Social","Sozial","","False","","",""
"social_pendo.info.yml:0","Social Pendo","Soziales Pendo","","False","","",""
"social_pendo.module:63","To find your ""Pendo track event secret key"", navigate to 
your Subscription Settings and choose your app. Under the ""App Details,"" click 
on ""Show"" next to ""Track Event Shared Secret.""","Um Ihren ""Pendo track event secret key"" zu finden, navigieren Sie zu 
Ihre Abonnementeinstellungen und wählen Sie Ihre App aus. Klicken Sie unter den ""App-Details"" auf 
auf ""Anzeigen"" neben ""Track Event Shared Secret"".","","False","","",""
"social_pendo.module:55","Track API endpoint","API-Endpunkt verfolgen","","False","","",""
"social_pendo.module:61","Track event secret key","Verfolgen Sie den geheimen Schlüssel des Ereignisses","","False","","",""
