"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_poll.info.yml:0","Allows community managers to create polls for their members.","","",FALSE,"","",""
"config/install/core.entity_view_mode.poll.block.yml:0","Block","","",FALSE,"","",""
"config/install/core.entity_view_mode.poll.group.yml:0","Group","Gruppe","",FALSE,"","",""
"config/optional/block.block.socialblue_group_polls_block.yml:0","Group polls","","",FALSE,"","",""
"src/Plugin/Block/SocialPollRecentBlock.php:15","Lists (Views)","Listen (Ansichten)","",FALSE,"","",""
"templates/block--social-poll-recent-block.html.twig:38","Most recent Poll","Neueste Umfrage","",FALSE,"","",""
"src/Plugin/Block/SocialPollRecentBlock.php:15","Most recent poll","Neueste Umfrage","",FALSE,"","",""
"config/optional/field.field.paragraph.poll_item.field_poll.yml:0","Poll","Umfrage","",FALSE,"","",""
"config/optional/paragraphs.paragraphs_type.poll_item.yml:0","Poll item","Umfrage item","",FALSE,"","",""
"src/Plugin/Block/SocialPollRecentBlock.php:75","Select a poll you would like to show in the block, leave it empty to show the most recently created.","Wähle eine Umfrage aus, die du im Block anzeigen möchtest. Lass es leer, um die zuletzt erstellte anzuzeigen.","",FALSE,"","",""
"src/Plugin/Block/SocialPollRecentBlock.php:74","Select a poll.","Wähle eine Umfrage aus.","",FALSE,"","",""
"social_poll.info.yml:0","Social","Sozial","",FALSE,"","",""
"social_poll.info.yml:0","Social Poll","","",FALSE,"","",""
