"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_profile_extra.info.yml:0","Extends Social Profile module with additional fields.","","","False","","",""
"config/schema/social_profile_extra.schema.yml:0","Field","","","False","","",""
"config/schema/social_profile_extra.schema.yml:0","Fields","","","False","","",""
"src/Plugin/Field/FieldFormatter/SocialProfileExtraLinkFormatter.php:8","Link","","","False","","",""
"social_profile_extra.info.yml:0","Social","Sozial","","False","","",""
"social_profile_extra.module:112;115","Social Links","","","False","","",""
"social_profile_extra.info.yml:0","Social Profile Extra","","","False","","",""
"config/schema/social_profile_extra.schema.yml:0","Social Profile Extra settings","","","False","","",""
"src/SocialProfileExtraInstallHelper.php:134","Social links","","","False","","",""
"src/Plugin/Validation/Constraint/SocialProfileExtraLinkConstraint.php:7","Social network","","","False","Validation","",""
