"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_resource_library_tagging/config/install/facets.facet.tags_no_value.yml:0","'- All -'","'- Alle -'","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0;0","<div class=""total-results"">@total resources</div>","","",FALSE,"","",""
"src/Form/SocialResourceLibrarySettings.php:147","AND","","",FALSE,"","",""
"src/Form/SocialResourceLibrarySettings.php:149","AND filters are exclusive and narrow the result set. OR filters are inclusive and widen the result set.","","",FALSE,"","",""
"social_resource_library.permissions.yml:0","Access to resource library search page.","","",FALSE,"","",""
"social_resource_library.permissions.yml:0","Administer resource library settings","","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Advanced options","Erweiterte Optionen","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","All","Alle","",FALSE,"","",""
"src/Form/SocialResourceLibrarySettings.php:101","All items of the selected entity types will be included in the resource library automatically.","","",FALSE,"","",""
"src/SocialResourceLibraryInstallHelper.php:139","All resources","","",FALSE,"","",""
"social_resource_library.permissions.yml:0","Allow to access the social_resource_library settings form.","","",FALSE,"","",""
"src/Form/SocialResourceLibrarySettings.php:111","Allowed entity types","","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Alphabetical","","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Apply","Anwenden","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Asc","aufsteigend","",FALSE,"","",""
"config/install/facets.facet.content_type_no_value.yml:0","Content type","Inhaltstyp","",FALSE,"","",""
"src/Form/SocialResourceLibrarySettings.php:117","Content types","Inhaltstypen","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Creation date","Erstellungsdatum","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Creation date Desc|New to old
Creation date Asc|Old to new
Alphabetical Asc|Alphabetical A - Z
Alphabetical Desc|Alphabetical Z - A","","",FALSE,"","",""
"src/Plugin/views/display/Page.php:115","Default exposed form","","",FALSE,"","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:8","Dependent facet","","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Desc","Absteigend","",FALSE,"","",""
"src/Plugin/views/display/Page.php:10","Display the view as a page, with a URL and menu links.","Die Ansicht als Seite mit einer URL und Menüeinträgen anzeigen.","",FALSE,"","",""
"src/Plugin/facets/processor/DependentFacetProcessor.php:8","Display this facet depending on the state of another facet.","","",FALSE,"","",""
"src/Plugin/views/display/Page.php:94","Enabled","Aktiviert","",FALSE,"","",""
"social_resource_library.module:220","Enter a keyword","","",FALSE,"","",""
"modules/social_resource_library_tagging/templates/facets-item-list--split-tags.html.twig:23","Facet","","",FALSE,"","",""
"src/Form/SocialResourceLibrarySettings.php:136","Filter operator","","",FALSE,"","",""
"config/install/facets.facet.group_type_no_value.yml:0","Group type","Gruppentyp","",FALSE,"","",""
"src/Form/SocialResourceLibrarySettings.php:124","Group types","","",FALSE,"","",""
"src/Plugin/views/display/Page.php:86","Include facets to exposed form","","",FALSE,"","",""
"config/install/field.field.node.topic.field_exclude_from_library.yml:0","Include in the resource library","","",FALSE,"","",""
"social_resource_library.module:291","Include this entity in the resource library","","",FALSE,"","",""
"src/Plugin/views/display/Page.php:93","Item name","","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Items per page","Elemente pro Seite","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Last »","Letzte »","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Master","","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","No results found.","Keine Ergebnisse gefunden.","",FALSE,"","",""
"templates/no-results.html.twig:4","No results were found in the resource library. Type in a new keyword or/and use different filters.","","",FALSE,"","",""
"src/Form/SocialResourceLibrarySettings.php:146","OR","","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Offset","Versatz","",FALSE,"","",""
"src/Form/SocialResourceLibrarySettings.php:143","Operator","","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Page","Seite","",FALSE,"","",""
"config/install/views.view.search_resources.yml:0","Page (no value)","Seite (kein Wert)","",FALSE,"","",""
"src/Form/SocialResourceLibrarySettings.php:84","Please choose how resources should be selected","","",FALSE,"","",""
"src/Form/SocialResourceLibrarySettings.php:137","Please choose how search filter should work.","","",FALSE,"","",""
